Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
friends_total,asr_scored,,text,Friends_Total,,,,,,,,,,,,,
family_total,asr_scored,,text,Family_Total,,,,,,,,,,,,,
job_total,asr_scored,,text,Job_Total,,,,,,,,,,,,,
education_total,asr_scored,,text,Education_Total,,,,,,,,,,,,,
mean_adaptive_total,asr_scored,,text,Mean_Adaptive_Total,,,,,,,,,,,,,
personal_strengths_total,asr_scored,,text,Personal_Strengths_Total,,,,,,,,,,,,,
anxious__depressed_total,asr_scored,,text,Anxious__Depressed_Total,,,,,,,,,,,,,
withdrawn_total,asr_scored,,text,Withdrawn_Total,,,,,,,,,,,,,
somatic_complaints_total,asr_scored,,text,Somatic_Complaints_Total,,,,,,,,,,,,,
thought_problems_total,asr_scored,,text,Thought_Problems_Total,,,,,,,,,,,,,
attention_problems_total,asr_scored,,text,Attention_Problems_Total,,,,,,,,,,,,,
aggressive_behavior_total,asr_scored,,text,Aggressive_Behavior_Total,,,,,,,,,,,,,
rule_breaking_behavior_total,asr_scored,,text,Rule_Breaking_Behavior_Total,,,,,,,,,,,,,
intrusive_total,asr_scored,,text,Intrusive_Total,,,,,,,,,,,,,
internalizing_problems_total,asr_scored,,text,Internalizing_Problems_Total,,,,,,,,,,,,,
externalizing_problems_total,asr_scored,,text,Externalizing_Problems_Total,,,,,,,,,,,,,
total_problems_total,asr_scored,,text,Total_Problems_Total,,,,,,,,,,,,,
critical_items_total,asr_scored,,text,Critical_Items_Total,,,,,,,,,,,,,
tobacco_times_per_day_total,asr_scored,,text,Tobacco_Times_Per_Day_Total,,,,,,,,,,,,,
alcohol_days_drunk_total,asr_scored,,text,Alcohol_Days_Drunk_Total,,,,,,,,,,,,,
drugs_days_used_total,asr_scored,,text,Drugs_Days_Used_Total,,,,,,,,,,,,,
mean_substance_use_total,asr_scored,,text,Mean_Substance_Use_Total,,,,,,,,,,,,,
depressive_problems_total,asr_scored,,text,Depressive_Problems_Total,,,,,,,,,,,,,
anxiety_problems_total,asr_scored,,text,Anxiety_Problems_Total,,,,,,,,,,,,,
somatic_problems_total,asr_scored,,text,Somatic_Problems_Total,,,,,,,,,,,,,
avoidant_personality_problems_total,asr_scored,,text,Avoidant_Personality_Problems_Total,,,,,,,,,,,,,
ad_h_problems_total,asr_scored,,text,AD_H_Problems_Total,,,,,,,,,,,,,
antisocial_personality_total,asr_scored,,text,Antisocial_Personality_Total,,,,,,,,,,,,,
inattention_problems_subscale_total,asr_scored,,text,Inattention_Problems_Subscale_Total,,,,,,,,,,,,,
hyperactivity_impulsivity_problems_subscale_total,asr_scored,,text,Hyperactivity_Impulsivity_Problems_Subscale_Total,,,,,,,,,,,,,
sluggish_cognitive_tempo_total,asr_scored,,text,Sluggish_Cognitive_Tempo_Total,,,,,,,,,,,,,
obsessive_compulsive_problems_total,asr_scored,,text,Obsessive_Compulsive_Problems_Total,,,,,,,,,,,,,
friends_tscore,asr_scored,,text,Friends_Percentile,,,,,,,,,,,,,
family_tscore,asr_scored,,text,Family_Percentile,,,,,,,,,,,,,
job_tscore,asr_scored,,text,Job_Percentile,,,,,,,,,,,,,
education_tscore,asr_scored,,text,Education_Percentile,,,,,,,,,,,,,
mean_adaptive_tscore,asr_scored,,text,Mean_Adaptive_Percentile,,,,,,,,,,,,,
personal_strengths_tscore,asr_scored,,text,Personal_Strengths_Percentile,,,,,,,,,,,,,
anxious__depressed_tscore,asr_scored,,text,Anxious__Depressed_Percentile,,,,,,,,,,,,,
withdrawn_tscore,asr_scored,,text,Withdrawn_Percentile,,,,,,,,,,,,,
somatic_complaints_tscore,asr_scored,,text,Somatic_Complaints_Percentile,,,,,,,,,,,,,
thought_problems_tscore,asr_scored,,text,Thought_Problems_Percentile,,,,,,,,,,,,,
attention_problems_tscore,asr_scored,,text,Attention_Problems_Percentile,,,,,,,,,,,,,
aggressive_behavior_tscore,asr_scored,,text,Aggressive_Behavior_Percentile,,,,,,,,,,,,,
rule_breaking_behavior_tscore,asr_scored,,text,Rule_Breaking_Behavior_Percentile,,,,,,,,,,,,,
intrusive_tscore,asr_scored,,text,Intrusive_Percentile,,,,,,,,,,,,,
internalizing_problems_tscore,asr_scored,,text,Internalizing_Problems_Percentile,,,,,,,,,,,,,
externalizing_problems_tscore,asr_scored,,text,Externalizing_Problems_Percentile,,,,,,,,,,,,,
total_problems_tscore,asr_scored,,text,Total_Problems_Percentile,,,,,,,,,,,,,
critical_items_tscore,asr_scored,,text,Critical_Items_Percentile,,,,,,,,,,,,,
tobacco_times_per_day_tscore,asr_scored,,text,Tobacco_Times_Per_Day_Percentile,,,,,,,,,,,,,
alcohol_days_drunk_tscore,asr_scored,,text,Alcohol_Days_Drunk_Percentile,,,,,,,,,,,,,
drugs_days_used_tscore,asr_scored,,text,Drugs_Days_Used_Percentile,,,,,,,,,,,,,
mean_substance_use_tscore,asr_scored,,text,Mean_Substance_Use_Percentile,,,,,,,,,,,,,
depressive_problems_tscore,asr_scored,,text,Depressive_Problems_Percentile,,,,,,,,,,,,,
anxiety_problems_tscore,asr_scored,,text,Anxiety_Problems_Percentile,,,,,,,,,,,,,
somatic_problems_tscore,asr_scored,,text,Somatic_Problems_Percentile,,,,,,,,,,,,,
avoidant_personality_problems_tscore,asr_scored,,text,Avoidant_Personality_Problems_Percentile,,,,,,,,,,,,,
ad_h_problems_tscore,asr_scored,,text,AD_H_Problems_Percentile,,,,,,,,,,,,,
antisocial_personality_tscore,asr_scored,,text,Antisocial_Personality_Percentile,,,,,,,,,,,,,
inattention_problems_subscale_tscore,asr_scored,,text,Inattention_Problems_Subscale_Percentile,,,,,,,,,,,,,
