Condition,FixationDur
LgReward,1500
Triangle,3500
LgPun,1500
SmallReward,3500
LgReward,1500
LgPun,2500
LgReward,3500
LgPun,2000
Triangle,1500
SmallPun,4000
Triangle,2000
Triangle,3000
SmallReward,3000
SmallPun,3000
LgReward,2000
SmallPun,2000
LgPun,3000
SmallPun,1500
LgReward,3000
LgPun,4000
SmallReward,2500
LgPun,3500
Triangle,1500
LgReward,2500
Triangle,1500
Triangle,2000
LgReward,4000
Triangle,2500
SmallPun,2500
SmallReward,2000
LgReward,2000
SmallPun,2000
SmallPun,1500
SmallReward,1500
SmallReward,1500
LgPun,1500
SmallReward,4000
SmallPun,1500
SmallReward,2000
SmallPun,3500
Triangle,1500
SmallPun,1500
LgPun,2000
LgPun,1500
SmallReward,1500
Triangle,4000
LgReward,1500
SmallReward,1500
LgReward,1500
LgPun,1500
