Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,14.073339980997844,None,2000,16.09032465601922,None,None,16.09032465601922,None,1.65,1,18.107784134015674,None,1,1,0.1800944689894095,18.107784134015674,None,You won $0.20!,0.2,2,1,0.35,100.0,0.1800944689894095,[1],0,0,3,,,0000,Practice,2,2019_Aug_27_1534,MID,3.1.5,59.95212426988811,
LgReward,2000,0,1,1,1,,20.079440409026574,None,2000,22.107425290014362,None,None,22.107425290014362,None,1.65,2,24.10847981501138,None,1,1,0.2193591760005802,24.10847981501138,None,You won $5.00!,5.2,1,2,0.35,100.0,0.19972682249499485,"[1, 1]",0,0,3,,,0000,Practice,2,2019_Aug_27_1534,MID,3.1.5,59.95212426988811,
SmallPun,2000,0,2,2,2,,26.059357093006838,None,2000,28.092358840018278,None,None,28.092358840018278,None,1.65,3,30.092786370019894,None,1,1,0.25893280198215507,30.092786370019894,None,You did not lose $0.20!,5.2,5,3,0.3,100.0,0.21946214899071492,[],100.0,3,3,Adjusting RT...,,0000,Practice,2,2019_Aug_27_1534,MID,3.1.5,59.95212426988811,
LgPun,2000,0,3,3,3,,32.060565414023586,None,2000,34.093282507004915,None,None,34.093282507004915,None,1.7,4,36.09290903501096,None,1,1,0.2108188759884797,36.09290903501096,None,You did not lose $5.00!,5.2,4,4,0.3,100.0,0.21730133074015612,[1],100.0,3,3,,,0000,Practice,2,2019_Aug_27_1534,MID,3.1.5,59.95212426988811,
Triangle,2000,0,4,4,4,,38.06170795002254,None,2000,40.09296391601674,None,None,40.09296391601674,None,1.7,5,42.09428876300808,None,1,1,0.201429207023466,42.09428876300808,None,You did not win or lose anything!,5.2,3,4,0.3,100.0,0.2141269059968181,[1],100.0,3,3,,,0000,Practice,2,2019_Aug_27_1534,MID,3.1.5,59.95212426988811,
LgReward,2000,0,5,5,5,,44.094285841012606,None,2000,46.09318390401313,None,None,46.09318390401313,None,1.7,6,48.12837381201098,None,1,1,0.1913439570053015,48.12837381201098,None,You won $5.00!,10.2,1,5,0.3,100.0,0.21032974783156533,"[1, 1]",100.0,3,3,,,0000,Practice,2,2019_Aug_27_1534,MID,3.1.5,59.95212426988811,
SmallPun,2000,0,6,6,6,,50.06366509501822,None,2000,52.094965025025886,None,None,52.094965025025886,None,1.7,7,54.09551374602597,None,1,1,0.20830900900182314,54.09551374602597,None,You did not lose $0.20!,10.2,5,6,0.25,100.0,0.21004107085588788,[],100.0,6,3,Adjusting RT...,,0000,Practice,2,2019_Aug_27_1534,MID,3.1.5,59.95212426988811,
SmallReward,2000,0,7,7,7,,56.078949612012366,None,2000,58.09554060001392,None,1,58.09554060001392,None,1.75,8,60.11305231100414,None,None,0,,60.11305231100414,None,You did not win $0.20!,10.2,2,7,0.25,87.5,0.21004107085588788,[0],100.0,6,3,,0.2883078480081167,0000,Practice,2,2019_Aug_27_1534,MID,3.1.5,59.95212426988811,
Triangle,2000,0,8,8,8,,62.0654283320182,None,2000,64.09645949600963,None,None,64.09645949600963,None,1.75,9,66.09681750100572,None,None,0,,66.09681750100572,None,You did not win or lose anything!,10.2,3,7,0.25,77.77777777777779,0.21004107085588788,[0],100.0,6,3,,,0000,Practice,2,2019_Aug_27_1534,MID,3.1.5,59.95212426988811,
LgReward,2000,0,9,9,9,,68.08039455101243,None,2000,70.0974145240034,None,None,70.0974145240034,None,1.75,10,72.11412892100634,None,None,0,,72.11412892100634,None,You did not win $5.00!,10.2,1,8,0.25,70.0,0.21004107085588788,"[0, 0]",100.0,6,3,,,0000,Practice,2,2019_Aug_27_1534,MID,3.1.5,59.95212426988811,
