Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,22.51662219094578,None,2000,24.519302428991068,None,None,24.519302428991068,None,1.65,1,26.584497509000357,None,1,1,0.18430429400177673,26.584497509000357,None,You won $0.20!,0.2,2,1,0.35,100.0,0.18430429400177673,[1],0,0,3,None,0.18430429400177673,,,0000,Practice,2,2019_Sep_01_0844,MID,3.1.5,60.247519955167704,
LgReward,2000,0,1,1,1,,28.650992602983024,None,2000,30.685352722997777,None,None,30.685352722997777,None,1.65,2,32.735164491983596,None,1,1,0.2497867050115019,32.735164491983596,None,You won $5.00!,5.2,1,2,0.35,100.0,0.21704549950663932,"[1, 1]",0,0,3,None,0.2497867050115019,,,0000,Practice,2,2019_Sep_01_0844,MID,3.1.5,60.247519955167704,
SmallPun,2000,0,2,2,2,,34.7844522499945,None,2000,36.81918468797812,None,None,36.81918468797812,None,1.65,3,38.85157339897705,None,1,1,0.29334818496135995,38.85157339897705,None,You did not lose $0.20!,5.2,5,3,0.3,100.0,0.24247972799154618,[],100.0,3,3,None,0.29334818496135995,Adjusting RT...,,0000,Practice,2,2019_Sep_01_0844,MID,3.1.5,60.247519955167704,
LgPun,2000,0,3,3,3,,40.88530273496872,None,2000,42.91932983597508,None,None,42.91932983597508,None,1.7,4,44.951685298001394,None,1,1,0.19327131001045927,44.951685298001394,None,You did not lose $5.00!,5.2,4,4,0.3,100.0,0.23017762349627446,[1],100.0,3,3,None,0.19327131001045927,,,0000,Practice,2,2019_Sep_01_0844,MID,3.1.5,60.247519955167704,
Triangle,2000,0,4,4,4,,46.98607954895124,None,2000,49.01984513696516,None,None,49.01984513696516,None,1.7,5,51.05257574096322,None,None,0,,51.05257574096322,None,You did not win or lose anything!,5.2,3,4,0.3,80.0,0.23017762349627446,[1],100.0,3,3,1,0.29156388000119476,,-0.008436119998805225,0000,Practice,2,2019_Sep_01_0844,MID,3.1.5,60.247519955167704,
LgReward,2000,0,5,5,5,,53.11893873894587,None,2000,55.152966193971224,None,None,55.152966193971224,None,1.7,6,57.20309258898487,None,1,1,0.1898417320335284,57.20309258898487,None,You won $5.00!,10.2,1,5,0.3,83.33333333333334,0.22211044520372525,"[1, 1]",100.0,3,3,None,0.1898417320335284,,,0000,Practice,2,2019_Sep_01_0844,MID,3.1.5,60.247519955167704,
SmallPun,2000,0,6,6,6,,59.2365920219454,None,2000,61.269837486965116,None,None,61.269837486965116,None,1.7,7,63.3029743739753,None,1,1,0.2018523680162616,63.3029743739753,None,You did not lose $0.20!,10.2,5,6,0.25,85.71428571428571,0.21873409900581464,[],100.0,6,3,None,0.2018523680162616,Adjusting RT...,,0000,Practice,2,2019_Sep_01_0844,MID,3.1.5,60.247519955167704,
SmallReward,2000,0,7,7,7,,65.35322158999043,None,2000,67.38761859096121,None,None,67.38761859096121,None,1.75,8,69.4273082249565,None,1,1,0.1976685660192743,69.4273082249565,None,You won $0.20!,10.399999999999999,2,7,0.25,87.5,0.2157247371505946,[1],100.0,6,3,None,0.1976685660192743,,,0000,Practice,2,2019_Sep_01_0844,MID,3.1.5,60.247519955167704,
Triangle,2000,0,8,8,8,,71.46996154094813,None,2000,73.5046700599487,None,None,73.5046700599487,None,1.75,9,75.53731954697287,None,1,1,0.21551530400756747,75.53731954697287,None,You did not win or lose anything!,10.399999999999999,3,7,0.25,88.88888888888889,0.2156985580077162,[1],100.0,6,3,None,0.21551530400756747,,,0000,Practice,2,2019_Sep_01_0844,MID,3.1.5,60.247519955167704,
LgReward,2000,0,9,9,9,,77.58782329800306,None,2000,79.61070515599567,None,None,79.61070515599567,None,1.75,10,81.67147781897802,None,1,1,0.18540419201599434,81.67147781897802,None,You won $5.00!,15.399999999999999,1,8,0.25,90.0,0.21233251734196934,"[1, 1]",100.0,6,3,None,0.18540419201599434,,,0000,Practice,2,2019_Sep_01_0844,MID,3.1.5,60.247519955167704,
LgPun,2000,0,10,10,10,,83.70519201498246,None,2000,85.73825851397123,None,None,85.73825851397123,None,1.75,11,87.7715257529635,None,1,1,0.189425103017129,87.7715257529635,None,You did not lose $5.00!,15.399999999999999,4,9,0.2,90.9090909090909,0.2100417759094853,[],100.0,9,3,None,0.189425103017129,Adjusting RT...,,0000,Practice,2,2019_Sep_01_0844,MID,3.1.5,60.247519955167704,
SmallPun,2000,0,11,11,11,,89.82171424699482,None,2000,91.84619164594915,None,None,91.84619164594915,None,1.8,12,93.88840653799707,None,None,0,,93.88840653799707,None,You lost $0.20!,15.2,5,10,0.2,83.33333333333334,0.2100417759094853,[0],100.0,9,3,1,0.19858814902836458,,-0.001411850971635431,0000,Practice,2,2019_Sep_01_0844,MID,3.1.5,60.247519955167704,
SmallReward,2000,0,12,12,12,,95.92989758198382,None,2000,97.96287175198086,None,None,97.96287175198086,None,1.8,13,100.01289296499453,None,None,0,,100.01289296499453,None,You did not win $0.20!,15.2,2,11,0.2,76.92307692307693,0.2100417759094853,"[0, 0]",100.0,9,3,1,0.19061024899128826,,-0.009389751008711755,0000,Practice,2,2019_Sep_01_0844,MID,3.1.5,60.247519955167704,
LgPun,2000,0,13,13,13,,102.05596890096786,None,2000,104.08131046697963,None,None,104.08131046697963,None,1.8,14,106.1231565179769,None,None,0,,106.1231565179769,None,You lost $5.00!,10.2,4,12,0.22,71.42857142857143,0.2100417759094853,[],50.0,12,3,1,0.21442863400327042,Adjusting RT...,-0.0055713659967295825,0000,Practice,2,2019_Sep_01_0844,MID,3.1.5,60.247519955167704,
Triangle,2000,0,14,14,14,,108.15674580394989,None,2000,110.18101790599758,None,None,110.18101790599758,None,1.78,15,112.22268844995415,None,None,0,,112.22268844995415,None,You did not win or lose anything!,10.2,3,12,0.22,66.66666666666666,0.2100417759094853,[],50.0,12,3,None,0.21442863400327042,,,0000,Practice,2,2019_Sep_01_0844,MID,3.1.5,60.247519955167704,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000,Practice,2,2019_Sep_01_0844,MID,3.1.5,60.247519955167704,
