Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgPun,2500,0,0,0,0,TimeVersion6.csv,15.232966294977814,None,2500,17.248852958990028,None,None,17.248852958990028,None,1.68,1,19.749934412975563,None,1,1,0.22587070599547587,19.749934412975563,None,You did not lose $5.00!,0,4,1,0.32,100.0,0.22587070599547587,[1],0,0,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
LgReward,1500,0,1,1,1,,21.733366731001297,None,1500,23.750249089993304,None,None,23.750249089993304,None,1.68,2,25.267754851985956,None,None,0,,25.267754851985956,None,You did not win $5.00!,0,1,2,0.32,50.0,0.22587070599547587,"[1, 0]",0,0,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
LgPun,1500,0,2,2,2,,27.220657203986775,None,1500,29.251355984975817,None,None,29.251355984975817,None,1.68,3,30.75129011197714,None,1,1,0.2085065600113012,30.75129011197714,None,You did not lose $5.00!,0,4,3,0.3,66.66666666666666,0.21718863300338853,[],66.66666666666666,3,3,Adjusting RT...,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
SmallReward,2000,0,3,3,3,,32.73490466098883,None,2000,34.75220707798144,None,None,34.75220707798144,None,1.7,4,36.768815514980815,None,1,1,0.1989716270181816,36.768815514980815,None,You won $0.20!,0.2,2,4,0.3,75.0,0.21111629767498621,[1],66.66666666666666,3,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
Triangle,2000,0,4,4,4,,38.72168866900029,None,2000,40.75325229598093,None,None,40.75325229598093,None,1.7,5,42.75280200599809,None,1,1,0.19903685597819276,42.75280200599809,None,You did not win or lose anything!,0.2,3,4,0.3,80.0,0.20809643725078786,[1],66.66666666666666,3,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
SmallReward,1500,0,5,5,5,,44.73827368099592,None,1500,46.75354352800059,None,None,46.75354352800059,None,1.7,6,48.270338560978416,None,None,0,,48.270338560978416,None,You did not win $0.20!,0.2,2,5,0.3,66.66666666666666,0.20809643725078786,"[1, 0]",66.66666666666666,3,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
Triangle,1500,0,6,6,6,,50.22248542497982,None,1500,52.254382190003525,None,None,52.254382190003525,None,1.7,7,53.754652146977605,None,None,0,,53.754652146977605,None,You did not win or lose anything!,0.2,3,5,0.3,57.14285714285714,0.20809643725078786,"[1, 0]",66.66666666666666,3,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
LgPun,1500,0,7,7,7,,55.72341408499051,None,1500,57.755213234981056,None,None,57.755213234981056,None,1.7,8,59.25543230900075,None,1,1,0.2083655440073926,59.25543230900075,None,You did not lose $5.00!,0.2,4,6,0.27999999999999997,62.5,0.2081502586021088,[],66.66666666666666,6,3,Adjusting RT...,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
LgReward,2000,0,8,8,8,,61.23919682498672,None,2000,63.25580860499758,None,1,63.25580860499758,None,1.72,9,65.27277205899009,None,None,0,,65.27277205899009,None,You did not win $5.00!,0.2,1,7,0.27999999999999997,55.55555555555556,0.2081502586021088,[0],66.66666666666666,6,3,,1.8400119419966359,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
SmallPun,4000,0,9,9,9,,67.22475512899109,None,4000,69.25616993897711,None,1,69.25616993897711,None,1.72,10,73.2574664609856,None,None,0,,73.2574664609856,None,You lost $0.20!,0.0,5,8,0.27999999999999997,50.0,0.2081502586021088,"[0, 0]",66.66666666666666,6,3,,2.1756566380208824,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
LgPun,1500,0,10,10,10,,75.22565829797531,None,1500,77.25714472599793,None,None,77.25714472599793,None,1.72,11,78.75788148099673,None,None,0,,78.75788148099673,None,You lost $5.00!,-5.0,4,9,0.31999999999999995,45.45454545454545,0.2081502586021088,[],33.33333333333333,9,3,Adjusting RT...,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
SmallReward,1500,0,11,11,11,,80.74078344297595,None,1500,82.75788366197958,None,None,82.75788366197958,None,1.6800000000000002,12,84.27481283398811,None,None,0,,84.27481283398811,None,You did not win $0.20!,-5.0,2,10,0.31999999999999995,41.66666666666667,0.2081502586021088,[0],33.33333333333333,9,3,,,0000,Scanner,1,2019_Aug_27_1536,MID,3.1.5,60.035471477100494,
