Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,probeResp.rt,AdjRTmsg,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgPun,2500,0,0,0,0,TimeVersion6.csv,25.13303735401132,None,2500,27.149645088997204,None,None,27.149645088997204,None,1.68,1,29.64981383201666,None,None,0,29.64981383201666,None,You lost $5.00!,-5,4,1,0.32,0.0,nan,[0],0,0,3,None,,,,,0000,Scanner,1,2019_Aug_29_1543,MID,3.1.5,60.11445009269764,
LgReward,1500,0,1,1,1,,31.66679794000811,None,1500,33.683420451998245,None,None,33.683420451998245,None,1.68,2,35.20022470099502,None,1,1,35.20022470099502,None,You won $5.00!,0,1,2,0.32,50.0,0.2362940049788449,"[0, 1]",0,0,3,None,0.2362940049788449,0.2362940049788449,,,0000,Scanner,1,2019_Aug_29_1543,MID,3.1.5,60.11445009269764,
LgPun,1500,0,2,2,2,,37.20343171199784,None,1500,39.234027805010555,None,None,39.234027805010555,None,1.68,3,40.73476813299931,None,1,1,40.73476813299931,None,You did not lose $5.00!,0,4,3,0.3,66.66666666666666,0.23948466198635288,[],66.66666666666666,3,3,None,0.24267531899386086,0.24267531899386086,Adjusting RT...,,0000,Scanner,1,2019_Aug_29_1543,MID,3.1.5,60.11445009269764,
SmallReward,2000,0,3,3,3,,42.75096580100944,None,2000,44.76877365601831,None,None,44.76877365601831,None,1.7,4,46.788651412993204,None,1,1,46.788651412993204,None,You won $0.20!,0.2,2,4,0.3,75.0,0.2382411709986627,[1],66.66666666666666,3,3,None,0.23575418902328238,0.23575418902328238,,,0000,Scanner,1,2019_Aug_29_1543,MID,3.1.5,60.11445009269764,
Triangle,2000,0,4,4,4,,48.787890113017056,None,2000,50.818800984998234,None,None,50.818800984998234,None,1.7,5,52.819878909998806,None,None,0,52.819878909998806,None,You did not win or lose anything!,0.2,3,4,0.3,60.0,0.2382411709986627,[1],66.66666666666666,3,3,1,0.3254283400136046,,,0.02542834001360461,0000,Scanner,1,2019_Aug_29_1543,MID,3.1.5,60.11445009269764,
SmallReward,1500,0,5,5,5,,54.836692739016144,None,1500,56.852463096001884,None,None,56.852463096001884,None,1.7,6,58.387068417010596,None,1,1,58.387068417010596,None,You won $0.20!,0.4,2,5,0.3,66.66666666666666,0.2363066647449159,"[1, 1]",66.66666666666666,3,3,None,0.2305031459836755,0.2305031459836755,,,0000,Scanner,1,2019_Aug_29_1543,MID,3.1.5,60.11445009269764,
Triangle,1500,0,6,6,6,,60.389219597011106,None,1500,62.42077099799644,None,None,62.42077099799644,None,1.7,7,63.92055452399654,None,1,1,63.92055452399654,None,You did not win or lose anything!,0.4,3,5,0.3,71.42857142857143,0.23830482499324718,"[1, 1]",66.66666666666666,3,3,None,0.2462974659865722,0.2462974659865722,,,0000,Scanner,1,2019_Aug_29_1543,MID,3.1.5,60.11445009269764,
LgPun,1500,0,7,7,7,,65.92359076000866,None,1500,67.95512315101223,None,None,67.95512315101223,None,1.7,8,69.45504225700279,None,None,0,69.45504225700279,None,You lost $5.00!,-4.6,4,6,0.27999999999999997,62.5,0.23830482499324718,[],66.66666666666666,6,3,1,0.28027221400523555,,Adjusting RT...,0.0002722140052355826,0000,Scanner,1,2019_Aug_29_1543,MID,3.1.5,60.11445009269764,
LgReward,2000,0,8,8,8,,71.47128292999696,None,2000,73.48892724100733,None,None,73.48892724100733,None,1.72,9,75.50590328700491,None,1,1,75.50590328700491,None,You won $5.00!,0.40000000000000036,1,7,0.27999999999999997,66.66666666666666,0.23781166316378707,[1],66.66666666666666,6,3,None,0.23534585401648656,0.23534585401648656,,,0000,Scanner,1,2019_Aug_29_1543,MID,3.1.5,60.11445009269764,
SmallPun,4000,0,9,9,9,,77.50822735100519,None,4000,79.53986484801862,None,None,79.53986484801862,None,1.72,10,83.53991125701577,None,1,1,83.53991125701577,None,You did not lose $0.20!,0.40000000000000036,5,8,0.27999999999999997,70.0,0.23603781656545056,"[1, 1]",66.66666666666666,6,3,None,0.22539473697543144,0.22539473697543144,,,0000,Scanner,1,2019_Aug_29_1543,MID,3.1.5,60.11445009269764,
LgPun,1500,0,10,10,10,,85.54266379299224,None,1500,87.5735755120113,None,None,87.5735755120113,None,1.72,11,89.07396059000166,None,1,1,89.07396059000166,None,You did not lose $5.00!,0.40000000000000036,4,9,0.24999999999999997,72.72727272727273,0.2368061612432939,[],83.33333333333333,9,3,None,0.24218457398819737,0.24218457398819737,Adjusting RT...,,0000,Scanner,1,2019_Aug_29_1543,MID,3.1.5,60.11445009269764,
SmallReward,1500,0,11,11,11,,91.10737803901429,None,1500,93.10815508899395,None,None,93.10815508899395,None,1.75,12,94.62473497801693,None,None,0,94.62473497801693,None,You did not win $0.20!,0.40000000000000036,2,10,0.24999999999999997,66.66666666666666,0.2368061612432939,[0],83.33333333333333,9,3,1,0.24060387501958755,,,-0.009396124980412424,0000,Scanner,1,2019_Aug_29_1543,MID,3.1.5,60.11445009269764,
LgReward,4000,0,12,12,12,,96.64146159100346,None,4000,98.6588078100176,None,None,98.6588078100176,None,1.75,13,102.67637872701744,None,None,0,102.67637872701744,None,You did not win $5.00!,0.40000000000000036,1,11,0.24999999999999997,61.53846153846154,0.2368061612432939,"[0, 0]",83.33333333333333,9,3,1,0.26420478499494493,,,0.01420478499494493,0000,Scanner,1,2019_Aug_29_1543,MID,3.1.5,60.11445009269764,
Triangle,1500,0,13,13,13,,104.67900969099719,None,1500,106.7094237350102,None,None,106.7094237350102,None,1.75,14,108.21035619801842,None,None,0,108.21035619801842,None,You did not win or lose anything!,0.40000000000000036,3,11,0.24999999999999997,57.14285714285714,0.2368061612432939,"[0, 0]",83.33333333333333,9,3,1,0.39865871297661215,,,0.14865871297661215,0000,Scanner,1,2019_Aug_29_1543,MID,3.1.5,60.11445009269764,
LgPun,2000,0,14,14,14,,110.21267512699706,None,2000,112.24413904501125,None,None,112.24413904501125,None,1.75,15,114.24393960999441,None,None,0,114.24393960999441,None,You lost $5.00!,-4.6,4,12,0.26999999999999996,53.333333333333336,0.2368061612432939,[],50.0,12,3,1,0.2827107739972416,,Adjusting RT...,0.012710773997241631,0000,Scanner,1,2019_Aug_29_1543,MID,3.1.5,60.11445009269764,
Triangle,3000,0,15,15,15,,116.2465643339965,None,3000,118.2776287579909,None,None,118.2776287579909,None,1.73,16,121.27892249301658,None,None,0,121.27892249301658,None,You did not win or lose anything!,-4.6,3,12,0.26999999999999996,50.0,0.2368061612432939,[],50.0,12,3,None,0.2827107739972416,,,,0000,Scanner,1,2019_Aug_29_1543,MID,3.1.5,60.11445009269764,
