Condition,FixationDur,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,FixationDur,fixationResp.keys,feedbackDur,rt_list,Trial counter,probeResp.keys,probeResp.corr,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,probeResp.rt,AdjRTmsg,fixationResp.rt,participant,session,practiceRT,trial Order,date,expName,psychopyVersion,frameRate,
SmallPun,2000,0,0,0,0,0,0,0,0,2000,None,1.5,[],1,None,0,You lost $0.20!,-0.2,5,1,0.5,0.0,nan,[0],0,0,3,,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
LgReward,4000,0,0,0,0,0,1,1,1,4000,None,1.5,[0.26975015500283916],2,space,1,You won $5.00!,4.8,1,2,0.5,50.0,0.26975015500283916,"[0, 1]",0,0,3,0.26975015500283916,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
SmallPun,3000,0,0,0,0,0,2,2,2,3000,None,1.5,"[0.26975015500283916, 0.23704319099852]",3,space,1,You did not lose $0.20!,4.8,5,3,0.48,66.66666666666666,0.2533966730006796,[],66.66666666666666,3,3,0.23704319099852,Adjusting RT...,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
SmallReward,2000,0,0,0,0,0,3,3,3,2000,None,1.52,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947]",4,space,1,You won $0.20!,5.0,2,4,0.48,75.0,0.2535328496681662,[1],66.66666666666666,3,3,0.25380520300313947,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
LgPun,2000,0,0,0,0,0,4,4,4,2000,None,1.52,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193]",5,space,1,You did not lose $5.00!,5.0,4,5,0.48,80.0,0.29505473250083014,"[1, 1]",66.66666666666666,3,3,0.41962038099882193,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
Triangle,2500,0,0,0,0,0,5,5,5,2500,None,1.52,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461]",6,space,1,You did not win or lose anything!,5.0,3,5,0.48,83.33333333333334,0.3091748630009533,"[1, 1]",66.66666666666666,3,3,0.3656553850014461,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
SmallReward,2500,0,0,0,0,0,6,6,6,2500,None,1.52,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461]",7,None,0,You did not win $0.20!,5.0,2,6,0.45999999999999996,71.42857142857143,0.3091748630009533,[],66.66666666666666,6,3,,Adjusting RT...,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
SmallReward,1500,0,0,0,0,0,7,7,7,1500,None,1.54,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461]",8,None,0,You did not win $0.20!,5.0,2,7,0.45999999999999996,62.5,0.3091748630009533,[0],66.66666666666666,6,3,,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
LgReward,1500,0,0,0,0,0,8,8,8,1500,space,1.54,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461]",9,None,0,You did not win $5.00!,5.0,1,8,0.45999999999999996,55.55555555555556,0.3091748630009533,"[0, 0]",66.66666666666666,6,3,,,1.3038610410003457,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
SmallPun,2000,0,0,0,0,0,9,9,9,2000,None,1.54,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115]",10,space,1,You did not lose $0.20!,5.0,5,9,0.48,60.0,0.29421708933417295,[],49.99999999999999,9,3,0.21942822100027115,Adjusting RT...,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
LgReward,2500,0,0,0,0,0,10,10,10,2500,None,1.52,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927]",11,space,1,You won $5.00!,10.0,1,10,0.48,63.63636363636363,0.2908523832863596,[1],49.99999999999999,9,3,0.27066414699947927,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
LgPun,3500,0,0,0,0,0,11,11,11,3500,None,1.52,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927]",12,None,0,You lost $5.00!,5.0,4,11,0.48,58.333333333333336,0.2908523832863596,"[1, 0]",49.99999999999999,9,3,,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
SmallPun,3500,0,0,0,0,0,12,12,12,3500,None,1.52,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195]",13,space,1,You did not lose $0.20!,5.0,5,12,0.5,61.53846153846154,0.2861520670007849,[],49.99999999999999,12,3,0.25324985300176195,Adjusting RT...,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
Triangle,1500,0,0,0,0,0,13,13,13,1500,None,1.5,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163]",14,space,1,You did not win or lose anything!,5.0,3,12,0.5,64.28571428571429,0.2988978771116106,[],49.99999999999999,12,3,0.4008643579982163,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
