Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,1500,0,0,0,0,TimeVersion3.csv,36.73439798199979,None,1500,38.75210719700044,None,None,38.75210719700044,None,1.6400000000000001,1,40.30233934599892,None,None,0,40.30233934599892,None,You did not win $5.00!,0,1,1,0.36,0.0,nan,[0],0,0,3,1,-0.008065310998063069,0.3519346890019369,,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
Triangle,2500,0,1,1,1,,42.35269726000115,None,2500,44.38629795499946,None,None,44.38629795499946,None,1.6400000000000001,2,46.91878677000204,None,1,1,46.91878677000204,None,You did not win or lose anything!,0,3,1,0.36,50.0,0.2855443239968736,[0],0,0,3,None,,0.2855443239968736,0.2855443239968736,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
SmallPun,1500,0,2,2,2,,48.969342197000515,None,1500,51.003003144000104,None,None,51.003003144000104,None,1.6400000000000001,3,52.5364748710017,None,1,1,52.5364748710017,None,You did not lose $0.20!,0,5,2,0.36,66.66666666666666,0.275207048498487,"[0, 1]",0,0,3,None,,0.2648697730001004,0.2648697730001004,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
LgPun,2500,0,3,3,3,,54.58624640400012,None,2500,56.620295619999524,None,None,56.620295619999524,None,1.6400000000000001,4,59.15334821899887,None,1,1,59.15334821899887,None,You did not lose $5.00!,0,4,3,0.33999999999999997,75.0,0.26784337599868496,[],66.66666666666666,3,3,None,,0.253116030999081,0.253116030999081,Adjusting RT...,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
Triangle,1500,0,4,4,4,,61.203695201998926,None,1500,63.2372557910021,None,None,63.2372557910021,None,1.6600000000000001,5,64.76994562600157,None,1,1,64.76994562600157,None,You did not win or lose anything!,0,3,3,0.33999999999999997,80.0,0.2792590372491759,[],66.66666666666666,3,3,None,,0.3135060210006486,0.3135060210006486,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
SmallReward,2000,0,5,5,5,,66.83778957200047,None,2000,68.87092695799947,None,None,68.87092695799947,None,1.6600000000000001,6,70.92070905000219,None,1,1,70.92070905000219,None,You won $0.20!,0.2,2,4,0.33999999999999997,83.33333333333334,0.27915539579989856,[1],66.66666666666666,3,3,None,,0.27874083000278915,0.27874083000278915,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
SmallPun,3500,0,6,6,6,,72.95446996800092,None,3500,74.98804221200044,None,None,74.98804221200044,None,1.6600000000000001,7,78.52082136100216,None,1,1,78.52082136100216,None,You did not lose $0.20!,0.2,5,5,0.33999999999999997,85.71428571428571,0.279391167833334,"[1, 1]",66.66666666666666,3,3,None,,0.28057002800051123,0.28057002800051123,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
Triangle,1500,0,7,7,7,,80.57115197800158,None,1500,82.60495455400087,None,None,82.60495455400087,None,1.6600000000000001,8,84.13873948100081,None,None,0,84.13873948100081,None,You did not win or lose anything!,0.2,3,5,0.33999999999999997,75.0,0.279391167833334,"[1, 1]",66.66666666666666,3,3,1,0.05401967600118951,0.3940196760011895,,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
SmallReward,1500,0,8,8,8,,86.20515348399931,None,1500,88.23916245800137,None,None,88.23916245800137,None,1.6600000000000001,9,89.77931463500136,None,1,1,89.77931463500136,None,You won $0.20!,0.4,2,6,0.30999999999999994,77.77777777777779,0.2754983035717617,[],83.33333333333333,6,3,None,,0.25214111800232786,0.25214111800232786,Adjusting RT...,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
LgReward,2000,0,9,9,9,,91.83855601200048,None,2000,93.86171298000045,None,1,93.86171298000045,None,1.69,10,95.9226196540003,None,1,1,95.9226196540003,None,You won $5.00!,5.4,1,7,0.30999999999999994,80.0,0.2729143161254797,[1],83.33333333333333,6,3,None,,0.2548264040015056,0.2548264040015056,,1.2067730620001385,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
Triangle,2000,0,10,10,10,,97.9564306780012,None,2000,99.98997868000151,None,None,99.98997868000151,None,1.69,11,102.02235125100196,None,None,0,102.02235125100196,None,You did not win or lose anything!,5.4,3,7,0.30999999999999994,72.72727272727273,0.2729143161254797,[1],83.33333333333333,6,3,None,,0.2548264040015056,,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
SmallReward,1500,0,11,11,11,,104.08951514799992,None,1500,106.11332567600039,None,None,106.11332567600039,None,1.69,12,107.67277878399909,None,1,1,107.67277878399909,None,You won $0.20!,5.6000000000000005,2,8,0.30999999999999994,75.0,0.2674448335557018,"[1, 1]",83.33333333333333,6,3,None,,0.22368897299747914,0.22368897299747914,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
SmallPun,4000,0,12,12,12,,109.72329594799885,None,4000,111.74706183200033,None,None,111.74706183200033,None,1.69,13,115.79034359100115,None,None,0,115.79034359100115,None,You lost $0.20!,5.4,5,9,0.2799999999999999,69.23076923076923,0.2674448335557018,[],83.33333333333333,9,3,1,0.009753132002515486,0.2897531320025154,,Adjusting RT...,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
Triangle,1500,0,13,13,13,,117.84112834000189,None,1500,119.86546525900121,None,None,119.86546525900121,None,1.7200000000000002,14,121.4077337939998,None,None,0,121.4077337939998,None,You did not win or lose anything!,5.4,3,9,0.2799999999999999,64.28571428571429,0.2674448335557018,[],83.33333333333333,9,3,1,0.009737594999023713,0.28973759499902363,,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
