Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,probeResp.rt,AdjRTmsg,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
Triangle,2000,0,0,0,0,TimeVersion8.csv,25.91877117600052,None,2000,27.953038752000793,None,None,27.953038752000793,None,1.6099999999999999,1,29.9914116430009,None,None,0,29.9914116430009,None,You did not win or lose anything!,0,3,0,0.39,0.0,nan,[],0,0,3,None,,,,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
SmallReward,3500,0,1,1,1,,32.069320337001045,None,3500,34.091620133000106,None,None,34.091620133000106,None,1.6099999999999999,2,37.644284983000034,None,1,1,37.644284983000034,None,You won $0.20!,0.2,2,1,0.39,50.0,0.31519896400095604,[1],0,0,3,None,0.31519896400095604,0.31519896400095604,,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
LgPun,2000,0,2,2,2,,39.686088693000784,None,2000,41.709549105000406,None,None,41.709549105000406,None,1.6099999999999999,3,43.75293697300003,None,1,1,43.75293697300003,None,You did not lose $5.00!,0.2,4,2,0.39,66.66666666666666,0.316390485500051,"[1, 1]",0,0,3,None,0.31758200699914596,0.31758200699914596,,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
SmallReward,1500,0,3,3,3,,45.793565838001086,None,1500,47.83659260700006,None,None,47.83659260700006,None,1.6099999999999999,4,49.37811257100111,None,None,0,49.37811257100111,None,You did not win $0.20!,0.2,2,3,0.37,50.0,0.316390485500051,[],66.66666666666666,3,3,1,0.41178232200138154,,Adjusting RT...,0.041782322001381544,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
LgReward,4000,0,4,4,4,,51.45316504699986,None,4000,53.487213970000084,None,None,53.487213970000084,None,1.63,5,57.528668756000116,None,1,1,57.528668756000116,None,You won $5.00!,5.2,1,4,0.37,60.0,0.3139153389996257,[1],66.66666666666666,3,3,None,0.30896504599877517,0.30896504599877517,,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
LgPun,1500,0,5,5,5,,59.57185143599963,None,1500,61.59524493900062,None,None,61.59524493900062,None,1.63,6,63.13843383499989,None,None,0,63.13843383499989,None,You lost $5.00!,0.20000000000000018,4,5,0.37,50.0,0.3139153389996257,"[1, 0]",66.66666666666666,3,3,1,0.3915105319985014,,,0.021510531998501392,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
Triangle,3500,0,6,6,6,,65.17169119100072,None,3500,67.19647324200014,None,None,67.19647324200014,None,1.63,7,70.73829572300019,None,None,0,70.73829572300019,None,You did not win or lose anything!,0.20000000000000018,3,5,0.37,42.857142857142854,0.3139153389996257,"[1, 0]",66.66666666666666,3,3,None,0.3915105319985014,,,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
LgPun,1500,0,7,7,7,,72.77186416299992,None,1500,74.79744734700034,None,None,74.79744734700034,None,1.63,8,76.33830425300039,None,1,1,76.33830425300039,None,You did not lose $5.00!,0.20000000000000018,4,6,0.35,50.0,0.306733533249826,[],66.66666666666666,6,3,None,0.2851881160004268,0.2851881160004268,Adjusting RT...,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
SmallReward,1500,0,8,8,8,,78.38200510500064,None,1500,80.4312793019999,None,None,80.4312793019999,None,1.65,9,81.98901277299956,None,None,0,81.98901277299956,None,You did not win $0.20!,0.20000000000000018,2,7,0.35,44.44444444444444,0.306733533249826,[0],66.66666666666666,6,3,1,0.3400670040005934,,,-0.009932995999406558,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
SmallPun,2500,0,9,9,9,,84.02296844900047,None,2500,86.04872398100088,None,None,86.04872398100088,None,1.65,10,88.58976629900098,None,None,0,88.58976629900098,None,You lost $0.20!,1.6653345369377348e-16,5,8,0.35,40.0,0.306733533249826,"[0, 0]",66.66666666666666,6,3,1,0.34722108299829413,,,-0.0027789170017058495,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
SmallPun,1500,0,10,10,10,,90.6227619679994,None,1500,92.6498614129996,None,None,92.6498614129996,None,1.65,11,94.19044763900092,None,1,1,94.19044763900092,None,You did not lose $0.20!,1.6653345369377348e-16,5,9,0.37,45.45454545454545,0.30639579519956894,[],49.99999999999999,9,3,None,0.30504484299854084,0.30504484299854084,Adjusting RT...,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
LgReward,3500,0,11,11,11,,96.23436425200089,None,3500,98.26710294199984,None,None,98.26710294199984,None,1.63,12,101.81719174200043,None,1,1,101.81719174200043,None,You won $5.00!,5.0,1,10,0.37,50.0,0.30639206099961785,[1],49.99999999999999,9,3,None,0.3063733899998624,0.3063733899998624,,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
LgPun,1500,0,12,12,12,,103.85784841299937,None,1500,105.88533955899948,None,None,105.88533955899948,None,1.63,13,107.42388157999994,None,1,1,107.42388157999994,None,You did not lose $5.00!,5.0,4,11,0.37,53.84615384615385,0.3078709167140395,"[1, 1]",49.99999999999999,9,3,None,0.316744051000569,0.316744051000569,,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
SmallPun,2000,0,13,13,13,,109.45706065000013,None,2000,111.48541594699964,None,None,111.48541594699964,None,1.63,14,113.52015320499959,None,1,1,113.52015320499959,None,You did not lose $0.20!,5.0,5,12,0.35,57.14285714285714,0.3060697253749822,[],66.66666666666666,12,3,None,0.29346138600158156,0.29346138600158156,Adjusting RT...,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
LgReward,1500,0,14,14,14,,115.56866561000061,None,1500,117.60300113899939,None,None,117.60300113899939,None,1.65,15,119.15237660300045,None,None,0,119.15237660300045,None,You did not win $5.00!,5.0,1,13,0.35,53.333333333333336,0.3060697253749822,[0],66.66666666666666,12,3,1,0.396950255999036,,,0.04695025599903602,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
LgReward,1500,0,15,15,15,,121.20280234200072,None,1500,123.23735064799985,None,None,123.23735064799985,None,1.65,16,124.7867398239996,None,None,0,124.7867398239996,None,You did not win $5.00!,5.0,1,14,0.35,50.0,0.3060697253749822,"[0, 0]",66.66666666666666,12,3,None,0.396950255999036,,,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
SmallReward,2000,0,16,16,16,,126.83751215499979,None,2000,128.87106387200038,None,None,128.87106387200038,None,1.65,17,130.920354848,None,1,1,130.920354848,None,You won $0.20!,5.2,2,15,0.32999999999999996,52.94117647058824,0.3026491351109952,[],66.66666666666666,15,3,None,0.275284412999099,0.275284412999099,Adjusting RT...,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
LgReward,2500,0,17,17,17,,132.97095439800069,None,2500,135.00490383599936,None,None,135.00490383599936,None,1.67,18,137.55483188700055,None,1,1,137.55483188700055,None,You won $5.00!,10.2,1,16,0.32999999999999996,55.55555555555556,0.2976637526999184,[1],66.66666666666666,15,3,None,0.25279531100022723,0.25279531100022723,,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
LgReward,2000,0,18,18,18,,139.60541881599966,None,2000,141.6228625599997,None,None,141.6228625599997,None,1.67,19,143.6731566840008,None,1,1,143.6731566840008,None,You won $5.00!,15.2,1,17,0.32999999999999996,57.89473684210527,0.29673671272724855,"[1, 1]",66.66666666666666,15,3,None,0.28746631300055014,0.28746631300055014,,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
SmallPun,1500,0,19,19,19,,145.7095253589996,None,1500,147.7399772360004,None,None,147.7399772360004,None,1.67,20,149.27392196000073,None,1,1,149.27392196000073,None,You did not lose $0.20!,15.2,5,18,0.30999999999999994,60.0,0.2939010192499154,[],66.66666666666666,18,3,None,0.2627083909992507,0.2627083909992507,Adjusting RT...,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
SmallReward,3000,0,20,20,20,,151.32353837600022,None,3000,153.3579018170003,None,None,153.3579018170003,None,1.69,21,156.40812382900003,None,None,0,156.40812382900003,None,You did not win $0.20!,15.2,2,19,0.30999999999999994,57.14285714285714,0.2939010192499154,[0],66.66666666666666,18,3,None,0.2627083909992507,,,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
Triangle,4000,0,21,21,21,,158.46079431200087,None,4000,160.49173854699984,None,None,160.49173854699984,None,1.69,22,164.52545924600054,None,None,0,164.52545924600054,None,You did not win or lose anything!,15.2,3,19,0.30999999999999994,54.54545454545454,0.2939010192499154,[0],66.66666666666666,18,3,1,0.3228252079994126,,,0.012825207999412669,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
