TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,run,trial_order
3,0,[],,003,1,3
3,0,[],,003,1,3
4,0,[],,003,1,3
3,0,[],,003,1,3
1,1,0.2553605749999406,,003,1,3
5,0,[],,003,1,3
4,1,0.268005305006227,,003,1,3
3,1,0.2794561159971636,,003,1,3
2,1,0.2624418730047182,,003,1,3
4,1,0.26979984900390264,,003,1,3
5,0,[],,003,1,3
2,1,0.2533942769950954,,003,1,3
4,1,0.2581715349951992,,003,1,3
2,0,[],,003,1,3
2,1,0.25043525899673114,,003,1,3
4,1,0.2267545299982885,,003,1,3
3,1,0.23182589299540268,,003,1,3
4,0,[],,003,1,3
1,0,[],,003,1,3
1,0,[],,003,1,3
4,1,0.2623938620017725,,003,1,3
5,0,[],,003,1,3
2,0,[],,003,1,3
1,0,[],,003,1,3
2,1,0.2754000420027296,,003,1,3
5,1,0.2598014420000254,,003,1,3
1,1,0.29710142600379186,,003,1,3
1,1,0.25248609900154406,,003,1,3
3,0,[],,003,1,3
4,1,0.23388290300499648,,003,1,3
2,0,[],,003,1,3
1,0,[],,003,1,3
1,1,0.2909985149963177,,003,1,3
5,0,[],,003,1,3
3,0,[],,003,1,3
3,0,[],,003,1,3
5,1,0.2669236700021429,,003,1,3
4,1,0.2701514089931152,,003,1,3
4,1,0.28102803000365384,,003,1,3
5,1,0.27610198500042316,,003,1,3
1,1,0.24520140499953413,,003,1,3
5,1,0.2571794059986132,,003,1,3
2,1,0.2575098470042576,,003,1,3
2,1,0.25074100000347244,,003,1,3
1,0,[],,003,1,3
3,0,[],,003,1,3
5,0,[],,003,1,3
5,0,[],,003,1,3
3,0,[],,003,1,3
2,1,0.2555193180014612,,003,1,3
