Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,fixationResp.rt,probeResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,79.03869990600651,None,2000,81.05298843700439,None,None,81.05298843700439,None,1.65,1,83.10235763100354,None,None,0,83.10235763100354,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,1,-0.015146694997383747,0.33485330500261623,,,,003,Practice,2,2019_Sep_07_1127,MID,3.1.5,59.841393498003846,
LgReward,2000,0,1,1,1,,85.17012988600618,None,2000,87.20363500100211,None,1,87.20363500100211,None,1.65,2,89.2535024700046,None,None,0,89.2535024700046,None,You did not win $5.00!,0,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,1,0.001531783003883902,0.3515317830038839,0.31868190400564345,,,003,Practice,2,2019_Sep_07_1127,MID,3.1.5,59.841393498003846,
SmallPun,2000,0,2,2,2,,91.305492891006,None,2000,93.33777570900565,None,None,93.33777570900565,None,1.65,3,95.37098831000185,None,1,1,95.37098831000185,None,You did not lose $0.20!,0,5,3,0.38999999999999996,33.33333333333333,0.27037093800026923,[],33.33333333333333,3,3,None,,0.27037093800026923,,0.27037093800026923,Adjusting RT...,003,Practice,2,2019_Sep_07_1127,MID,3.1.5,59.841393498003846,
LgPun,2000,0,3,3,3,,97.40585019500577,None,2000,99.43892248800694,None,None,99.43892248800694,None,1.61,4,101.47180650900555,None,1,1,101.47180650900555,None,You did not lose $5.00!,0,4,4,0.38999999999999996,50.0,0.2744592119997833,[1],33.33333333333333,3,3,None,,0.27854748599929735,,0.27854748599929735,,003,Practice,2,2019_Sep_07_1127,MID,3.1.5,59.841393498003846,
Triangle,2000,0,4,4,4,,103.50650119500642,None,2000,105.5392664470055,None,None,105.5392664470055,None,1.61,5,107.57341159300267,None,1,1,107.57341159300267,None,You did not win or lose anything!,0,3,4,0.38999999999999996,60.0,0.28695322400017176,[1],33.33333333333333,3,3,None,,0.3119412480009487,,0.3119412480009487,,003,Practice,2,2019_Sep_07_1127,MID,3.1.5,59.841393498003846,
LgReward,2000,0,5,5,5,,109.6234656670058,None,2000,111.65708658400399,None,None,111.65708658400399,None,1.61,6,113.70620171700284,None,1,1,113.70620171700284,None,You won $5.00!,5,1,5,0.38999999999999996,66.66666666666666,0.28199644800042734,"[1, 1]",33.33333333333333,3,3,None,,0.26712612000119407,,0.26712612000119407,,003,Practice,2,2019_Sep_07_1127,MID,3.1.5,59.841393498003846,
SmallPun,2000,0,6,6,6,,115.74052890300663,None,2000,117.77414407400647,None,None,117.77414407400647,None,1.61,7,119.80751572500594,None,1,1,119.80751572500594,None,You did not lose $0.20!,5,5,6,0.36999999999999994,71.42857142857143,0.28495292340085143,[],66.66666666666666,6,3,None,,0.2967788250025478,,0.2967788250025478,Adjusting RT...,003,Practice,2,2019_Sep_07_1127,MID,3.1.5,59.841393498003846,
SmallReward,2000,0,7,7,7,,121.85734323000361,None,2000,123.89081878700381,None,None,123.89081878700381,None,1.6300000000000001,8,125.9409953820068,None,1,1,125.9409953820068,None,You won $0.20!,5.2,2,7,0.36999999999999994,75.0,0.2823548931676972,[1],66.66666666666666,6,3,None,,0.26936474200192606,,0.26936474200192606,,003,Practice,2,2019_Sep_07_1127,MID,3.1.5,59.841393498003846,
Triangle,2000,0,8,8,8,,127.97429365000426,None,2000,130.00800664000417,None,None,130.00800664000417,None,1.6300000000000001,9,132.040756582006,None,1,1,132.040756582006,None,You did not win or lose anything!,5.2,3,7,0.36999999999999994,77.77777777777779,0.2802281745721952,[1],66.66666666666666,6,3,None,,0.2674678629991831,,0.2674678629991831,,003,Practice,2,2019_Sep_07_1127,MID,3.1.5,59.841393498003846,
LgReward,2000,0,9,9,9,,134.09089605100598,None,2000,136.12573836500087,None,None,136.12573836500087,None,1.6300000000000001,10,138.175233769005,None,1,1,138.175233769005,None,You won $5.00!,10.2,1,8,0.36999999999999994,80.0,0.27808991450001486,"[1, 1]",66.66666666666666,6,3,None,,0.2631220939947525,,0.2631220939947525,,003,Practice,2,2019_Sep_07_1127,MID,3.1.5,59.841393498003846,
