Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,fixationResp.rt,probeResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
Triangle,2000,0,0,0,0,TimeVersion9.csv,42.63759108600061,None,2000,44.67131618900021,None,None,44.67131618900021,None,1.71,1,46.714178679001634,None,None,0,46.714178679001634,None,You did not win or lose anything!,0,3,0,0.2899999999999999,0.0,nan,[],0,0,3,1,0.03391280000505503,0.32391280000505496,,,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
Triangle,1500,0,1,1,1,,48.78141031999985,None,1500,50.80626814900461,None,None,50.80626814900461,None,1.71,2,52.34794268800033,None,None,0,52.34794268800033,None,You did not win or lose anything!,0,3,0,0.2899999999999999,0.0,nan,[],0,0,3,1,0.022302254998066928,0.31230225499806685,,,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
LgPun,2500,0,2,2,2,,54.36501984300412,None,2500,56.389962907000154,None,1,56.389962907000154,None,1.71,3,58.93156210100278,None,None,0,58.93156210100278,None,You lost $5.00!,-5,4,1,0.2899999999999999,0.0,nan,[0],0,0,3,None,,0.31230225499806685,0.3294604690017877,,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
Triangle,1500,0,3,3,3,,60.96517866800423,None,1500,62.99116935799975,None,None,62.99116935799975,None,1.71,4,64.53184263900039,None,None,0,64.53184263900039,None,You did not win or lose anything!,-5,3,1,0.2899999999999999,0.0,nan,[0],0,0,3,1,-0.008144729996274691,0.28185527000372523,,,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
LgReward,1500,0,4,4,4,,66.59140301200387,None,1500,68.62481251999998,None,None,68.62481251999998,None,1.71,5,70.18306922500051,None,1,1,70.18306922500051,None,You won $5.00!,0,1,2,0.2899999999999999,20.0,0.2553605749999406,"[0, 1]",0,0,3,None,,0.2553605749999406,,0.2553605749999406,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
SmallPun,1500,0,5,5,5,,72.23291494700243,None,1500,74.25901143100054,None,None,74.25901143100054,None,1.71,6,75.79956147800112,None,None,0,75.79956147800112,None,You lost $0.20!,-0.2,5,3,0.3299999999999999,16.666666666666664,0.2553605749999406,[],33.33333333333333,3,3,1,0.20617430400307057,0.5361743040030704,,,Adjusting RT...,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
LgPun,4000,0,6,6,6,,77.833607270004,None,4000,79.85992947400518,None,None,79.85992947400518,None,1.6700000000000002,7,83.89443963200029,None,1,1,83.89443963200029,None,You did not lose $5.00!,-0.2,4,4,0.3299999999999999,28.57142857142857,0.2616829400030838,[1],33.33333333333333,3,3,None,,0.268005305006227,,0.268005305006227,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
Triangle,3500,0,7,7,7,,85.95024146500509,None,3500,87.97746048399858,None,None,87.97746048399858,None,1.6700000000000002,8,91.51190200199926,None,1,1,91.51190200199926,None,You did not win or lose anything!,-0.2,3,4,0.3299999999999999,37.5,0.26760733200111037,[1],33.33333333333333,3,3,None,,0.2794561159971636,,0.2794561159971636,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
SmallReward,2500,0,8,8,8,,93.58419859200512,None,2500,95.61163195800327,None,None,95.61163195800327,None,1.6700000000000002,9,98.16200029500033,None,1,1,98.16200029500033,None,You won $0.20!,0.0,2,5,0.3299999999999999,44.44444444444444,0.26631596725201234,"[1, 1]",33.33333333333333,3,3,None,,0.2624418730047182,,0.2624418730047182,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
LgPun,2000,0,9,9,9,,100.21799984099925,None,2000,102.24593657199875,None,None,102.24593657199875,None,1.6700000000000002,10,104.27964675200201,None,1,1,104.27964675200201,None,You did not lose $5.00!,0.0,4,6,0.3099999999999999,50.0,0.2670127436023904,[],66.66666666666666,6,3,None,,0.26979984900390264,,0.26979984900390264,Adjusting RT...,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
