Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,probeResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,16.355002334996243,None,2000,18.345263882001746,None,None,18.345263882001746,None,1.65,1,20.391367388991057,None,None,0,20.391367388991057,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,,,0042,Practice,2,2019_Aug_21_1130,MID,3.1.5,60.40649110385561,
LgReward,2000,0,1,1,1,,22.329146292991936,None,2000,24.34601544200268,None,None,24.34601544200268,None,1.65,2,26.362750405998668,None,None,0,26.362750405998668,None,You did not win $5.00!,0,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,,,0042,Practice,2,2019_Aug_21_1130,MID,3.1.5,60.40649110385561,
SmallPun,2000,0,2,2,2,,28.312509697992937,None,2000,30.346601967001334,None,None,30.346601967001334,None,1.65,3,32.3470659040031,None,1,1,32.3470659040031,None,You did not lose $0.20!,0,5,3,0.38999999999999996,33.33333333333333,0.19664016299066134,[],33.33333333333333,3,3,0.19664016299066134,Adjusting RT...,0042,Practice,2,2019_Aug_21_1130,MID,3.1.5,60.40649110385561,
LgPun,2000,0,3,3,3,,34.31302326500008,None,2000,36.34726118299295,None,None,36.34726118299295,None,1.61,4,38.34773242099618,None,1,1,38.34773242099618,None,You did not lose $5.00!,0,4,4,0.38999999999999996,50.0,0.23322513399762101,[1],33.33333333333333,3,3,0.2698101050045807,,0042,Practice,2,2019_Aug_21_1130,MID,3.1.5,60.40649110385561,
Triangle,2000,0,4,4,4,,40.298218548996374,None,2000,42.33185939899704,None,None,42.33185939899704,None,1.61,5,44.33183393999934,None,None,0,44.33183393999934,None,You did not win or lose anything!,0,3,4,0.38999999999999996,40.0,0.23322513399762101,[1],33.33333333333333,3,3,,,0042,Practice,2,2019_Aug_21_1130,MID,3.1.5,60.40649110385561,
LgReward,2000,0,5,5,5,,46.29871352099872,None,2000,48.31601867599238,None,None,48.31601867599238,None,1.61,6,50.31832056099665,None,1,1,50.31832056099665,None,You won $5.00!,5,1,5,0.38999999999999996,50.0,0.24482954099948984,"[1, 1]",33.33333333333333,3,3,0.2680383550032275,,0042,Practice,2,2019_Aug_21_1130,MID,3.1.5,60.40649110385561,
SmallPun,2000,0,6,6,6,,52.2657014610013,None,2000,54.30013814999256,None,None,54.30013814999256,None,1.61,7,56.29966430699278,None,1,1,56.29966430699278,None,You did not lose $0.20!,5,5,6,0.36999999999999994,57.14285714285714,0.25182335000135936,[],66.66666666666666,6,3,0.2728047770069679,Adjusting RT...,0042,Practice,2,2019_Aug_21_1130,MID,3.1.5,60.40649110385561,
SmallReward,2000,0,7,7,7,,58.27670144099102,None,2000,60.283596412991756,None,None,60.283596412991756,None,1.6300000000000001,8,62.32498545999988,None,None,0,62.32498545999988,None,You did not win $0.20!,5,2,7,0.36999999999999994,50.0,0.25182335000135936,[0],66.66666666666666,6,3,,,0042,Practice,2,2019_Aug_21_1130,MID,3.1.5,60.40649110385561,
Triangle,2000,0,8,8,8,,64.25054391298909,None,2000,66.28492689799168,None,None,66.28492689799168,None,1.6300000000000001,9,68.28470008999284,None,None,0,68.28470008999284,None,You did not win or lose anything!,5,3,7,0.36999999999999994,44.44444444444444,0.25182335000135936,[0],66.66666666666666,6,3,,,0042,Practice,2,2019_Aug_21_1130,MID,3.1.5,60.40649110385561,
LgReward,2000,0,9,9,9,,70.31882600099198,None,2000,72.28573333199893,None,None,72.28573333199893,None,1.6300000000000001,10,74.30242540600011,None,1,1,74.30242540600011,None,You won $5.00!,10,1,8,0.36999999999999994,50.0,0.24860908839909826,"[0, 1]",66.66666666666666,6,3,0.23575204199005384,,0042,Practice,2,2019_Aug_21_1130,MID,3.1.5,60.40649110385561,
