Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,probeResp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,4000,0,0,0,0,TimeVersion2.csv,51.12610029100324,None,4000,53.13606084500498,None,None,53.13606084500498,None,1.6400000000000001,1,57.152299438006594,None,None,0,57.152299438006594,None,You did not win $0.20!,0,2,1,0.36,0.0,nan,[0],0,0,3,,,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
Triangle,1500,0,1,1,1,,59.07242895300442,None,1500,61.08655682099925,None,None,61.08655682099925,None,1.6400000000000001,2,62.59142430299835,None,None,0,62.59142430299835,None,You did not win or lose anything!,0,3,1,0.36,0.0,nan,[0],0,0,3,,,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
SmallReward,3000,0,2,2,2,,64.53490622200479,None,3000,66.54042870400008,None,None,66.54042870400008,None,1.6400000000000001,3,69.56045771100617,None,None,0,69.56045771100617,None,You did not win $0.20!,0,2,2,0.36,0.0,nan,"[0, 0]",0,0,3,,,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
SmallPun,1500,0,3,3,3,,71.49008225899888,None,1500,73.50469649200386,None,None,73.50469649200386,None,1.6400000000000001,4,75.00394459199742,None,None,0,75.00394459199742,None,You lost $0.20!,-0.2,5,3,0.43,0.0,nan,[],0.0,3,3,Adjusting RT...,,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
LgPun,1500,0,4,4,4,,76.94757366100384,None,1500,78.95773877500324,None,None,78.95773877500324,None,1.57,5,80.47349979799765,None,1,1,80.47349979799765,None,You did not lose $5.00!,-0.2,4,4,0.43,20.0,0.30008641100721434,[1],0.0,3,3,,0.30008641100721434,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
Triangle,1500,0,5,5,5,,82.40704968500359,None,1500,84.42306968099729,None,None,84.42306968099729,None,1.57,6,85.92558172800636,None,None,0,85.92558172800636,None,You did not win or lose anything!,-0.2,3,4,0.43,16.666666666666664,0.30008641100721434,[1],0.0,3,3,,,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
SmallPun,1500,0,6,6,6,,87.86564819100022,None,1500,89.87554148100025,None,None,89.87554148100025,None,1.57,7,91.390293466,None,None,0,91.390293466,None,You lost $0.20!,-0.4,5,5,0.43,14.285714285714285,0.30008641100721434,"[1, 0]",0.0,3,3,,,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
Triangle,2000,0,7,7,7,,93.32456171599915,None,2000,95.34146305300237,None,None,95.34146305300237,None,1.57,8,97.34206353400077,None,1,1,97.34206353400077,None,You did not win or lose anything!,-0.4,3,5,0.43,25.0,0.3008053395024035,"[1, 0]",0.0,3,3,,0.3015242679975927,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
LgReward,2500,0,8,8,8,,99.28223622799851,None,2500,101.29333366600622,None,None,101.29333366600622,None,1.57,9,103.8135038610053,None,None,0,103.8135038610053,None,You did not win $5.00!,-0.4,1,6,0.48,22.22222222222222,0.3008053395024035,[],16.666666666666664,6,3,Adjusting RT...,,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
LgPun,2500,0,9,9,9,,105.74141349300044,None,2500,107.76014370600751,None,None,107.76014370600751,None,1.52,10,110.26043522400141,None,1,1,110.26043522400141,None,You did not lose $5.00!,-0.4,4,7,0.48,30.0,0.3025881479989039,[1],16.666666666666664,6,3,,0.3061537649919046,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
SmallPun,3000,0,10,10,10,,112.2000320340012,None,3000,114.21115592900605,None,None,114.21115592900605,None,1.52,11,117.21887741099636,None,1,1,117.21887741099636,None,You did not lose $0.20!,-0.4,5,8,0.48,36.36363636363637,0.3078398752477369,"[1, 1]",16.666666666666664,6,3,,0.3235950569942361,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
SmallReward,2000,0,11,11,11,,119.15763292700285,None,2000,121.17862615000922,None,None,121.17862615000922,None,1.52,12,123.19489681499545,None,1,1,123.19489681499545,None,You won $0.20!,-0.2,2,9,0.45999999999999996,41.66666666666667,0.30220010939810893,[],66.66666666666666,9,3,Adjusting RT...,0.2796410459995968,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
Triangle,4000,0,12,12,12,,125.1173519629956,None,4000,127.12887452999712,None,None,127.12887452999712,None,1.54,13,131.1375190789986,None,1,1,131.1375190789986,None,You did not win or lose anything!,-0.2,3,9,0.45999999999999996,46.15384615384615,0.3091778623323383,[],66.66666666666666,9,3,,0.34406662700348534,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
LgReward,2000,0,13,13,13,,133.1172523760033,None,2000,135.13017142099852,None,None,135.13017142099852,None,1.54,14,137.14965859000222,None,None,0,137.14965859000222,None,You did not win $5.00!,-0.2,1,10,0.45999999999999996,42.857142857142854,0.3091778623323383,[0],66.66666666666666,9,3,,,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
LgReward,3000,0,14,14,14,,139.1210129980027,None,3000,141.1307238169975,None,None,141.1307238169975,None,1.54,15,144.152915373008,None,1,1,144.152915373008,None,You won $5.00!,4.8,1,11,0.45999999999999996,46.666666666666664,0.3069484019984624,"[0, 1]",66.66666666666666,9,3,,0.2935716399952071,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
SmallPun,1500,0,15,15,15,,146.11851345200557,None,1500,148.13224610600446,None,None,148.13224610600446,None,1.54,16,149.63711853900168,None,None,0,149.63711853900168,None,You lost $0.20!,4.6,5,12,0.43999999999999995,43.75,0.3069484019984624,[],66.66666666666666,12,3,Adjusting RT...,,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
SmallReward,1500,0,16,16,16,,151.61886716799927,None,1500,153.6333026939974,None,None,153.6333026939974,None,1.56,17,155.1509227360075,None,None,0,155.1509227360075,None,You did not win $0.20!,4.6,2,13,0.43999999999999995,41.17647058823529,0.3069484019984624,[0],66.66666666666666,12,3,,,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
LgReward,1500,0,17,17,17,,157.07945295299578,None,1500,159.08489127199573,None,None,159.08489127199573,None,1.56,18,160.6165462170029,None,None,0,160.6165462170029,None,You did not win $5.00!,4.6,1,14,0.43999999999999995,38.88888888888889,0.3069484019984624,"[0, 0]",66.66666666666666,12,3,,,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
SmallPun,2000,0,18,18,18,,162.5357192980009,None,2000,164.5492642850004,None,None,164.5492642850004,None,1.56,19,166.54948501300532,None,None,0,166.54948501300532,None,You lost $0.20!,4.3999999999999995,5,15,0.48999999999999994,36.84210526315789,0.3069484019984624,[],16.666666666666664,15,3,Adjusting RT...,,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
SmallReward,1500,0,19,19,19,,168.49770631200226,None,1500,170.50227017600264,None,None,170.50227017600264,None,1.51,20,172.03388012699725,None,None,0,172.03388012699725,None,You did not win $0.20!,4.3999999999999995,2,16,0.48999999999999994,35.0,0.3069484019984624,[0],16.666666666666664,15,3,,,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
LgPun,1500,0,20,20,20,,173.99648114200681,None,1500,176.00303598000028,None,None,176.00303598000028,None,1.51,21,177.51904771699628,None,1,1,177.51904771699628,None,You did not lose $5.00!,4.3999999999999995,4,17,0.48999999999999994,38.095238095238095,0.3077731334979035,"[0, 1]",16.666666666666664,15,3,,0.31354625399399083,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
LgReward,3500,0,21,21,21,,179.49488115300483,None,3500,181.50373896000383,None,None,181.50373896000383,None,1.51,22,185.03561036700557,None,1,1,185.03561036700557,None,You won $5.00!,9.399999999999999,1,18,0.5,40.909090909090914,0.3110063797761945,[],33.33333333333333,18,3,Adjusting RT...,0.3368723500025226,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
LgPun,3500,0,22,22,22,,186.99700786199537,None,3500,189.0041820250044,None,None,189.0041820250044,None,1.5,23,192.5202376780071,None,1,1,192.5202376780071,None,You did not lose $5.00!,9.399999999999999,4,19,0.5,43.47826086956522,0.3076410533991293,[1],33.33333333333333,18,3,,0.2773531160055427,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
LgReward,1500,0,23,23,23,,194.49554062599782,None,1500,196.50509954099834,None,None,196.50509954099834,None,1.5,24,198.0377070149989,None,None,0,198.0377070149989,None,You did not win $5.00!,9.399999999999999,1,20,0.5,41.66666666666667,0.3076410533991293,"[1, 0]",33.33333333333333,18,3,,,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
Triangle,2000,0,24,24,24,,199.99625475899666,None,2000,202.00627457900555,None,None,202.00627457900555,None,1.5,25,204.02202636300353,None,1,1,204.02202636300353,None,You did not win or lose anything!,9.399999999999999,3,20,0.5,44.0,0.3059064874528717,"[1, 0]",33.33333333333333,18,3,,0.28856082799029537,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
Triangle,2500,0,25,25,25,,205.9961456190067,None,2500,208.00647797899728,None,None,208.00647797899728,None,1.5,26,210.51434269500896,None,1,1,210.51434269500896,None,You did not win or lose anything!,9.399999999999999,3,20,0.5,46.15384615384615,0.3065983302476525,"[1, 0]",33.33333333333333,18,3,,0.3142086009902414,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
SmallPun,2500,0,26,26,26,,212.49674208099896,None,2500,214.50726232900342,None,None,214.50726232900342,None,1.5,27,217.02397792899865,None,1,1,217.02397792899865,None,You did not lose $0.20!,9.399999999999999,5,21,0.48,48.148148148148145,0.3036754765355279,[],66.66666666666666,21,3,Adjusting RT...,0.26860123199003283,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
SmallReward,1500,0,27,27,27,,218.99679959900095,None,1500,221.00805499299895,None,None,221.00805499299895,None,1.52,28,222.5249662139977,None,1,1,222.5249662139977,None,You won $0.20!,9.599999999999998,2,22,0.48,50.0,0.30224301228320527,[1],66.66666666666666,21,3,,0.2836209770030109,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
LgPun,3000,0,28,28,28,,224.45576954800345,None,3000,226.47360604000278,None,None,226.47360604000278,None,1.52,29,229.47538889900898,None,1,1,229.47538889900898,None,You did not lose $5.00!,9.599999999999998,4,23,0.48,51.724137931034484,0.30090718299713143,"[1, 1]",66.66666666666666,21,3,,0.2822055729920976,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
LgReward,2000,0,29,29,29,,231.41372719900392,None,2000,233.42626413599646,None,None,233.42626413599646,None,1.52,30,235.44416006100073,None,1,1,235.44416006100073,None,You won $5.00!,14.599999999999998,1,24,0.44999999999999996,53.333333333333336,0.29931423112157063,[],83.33333333333333,24,3,Adjusting RT...,0.2754199529881589,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
SmallReward,1500,0,30,30,30,,237.37481166000362,None,1500,239.37771870399592,None,None,239.37771870399592,None,1.55,31,240.91289120299916,None,1,1,240.91289120299916,None,You won $0.20!,14.799999999999997,2,25,0.44999999999999996,54.83870967741935,0.30044713487886304,[1],83.33333333333333,24,3,,0.3185735949955415,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
LgReward,4000,0,31,31,31,,242.87253047899867,None,4000,244.89429965399904,None,None,244.89429965399904,None,1.55,32,248.91052407800453,None,1,1,248.91052407800453,None,You won $5.00!,19.799999999999997,1,26,0.44999999999999996,56.25,0.30131417327518445,"[1, 1]",83.33333333333333,24,3,,0.31605382601264864,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
LgPun,1500,0,32,32,32,,250.873237435997,None,1500,252.88266150500567,None,None,252.88266150500567,None,1.55,33,254.3960685970087,None,None,0,254.3960685970087,None,You lost $5.00!,14.799999999999997,4,27,0.41999999999999993,54.54545454545454,0.30131417327518445,[],83.33333333333333,27,3,Adjusting RT...,,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
LgPun,4000,0,33,33,33,,256.372583260003,None,4000,258.3824576629995,None,None,258.3824576629995,None,1.58,34,262.3965329470084,None,None,0,262.3965329470084,None,You lost $5.00!,9.799999999999997,4,28,0.41999999999999993,52.94117647058824,0.30131417327518445,[0],83.33333333333333,27,3,,,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
SmallPun,1500,0,34,34,34,,264.3741091720003,None,1500,266.39750466700934,None,None,266.39750466700934,None,1.58,35,267.8976655340084,None,None,0,267.8976655340084,None,You lost $0.20!,9.599999999999998,5,29,0.41999999999999993,51.42857142857142,0.30131417327518445,"[0, 0]",83.33333333333333,27,3,,,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
LgPun,2000,0,35,35,35,,269.87412337800197,None,2000,271.8816220239969,None,None,271.8816220239969,None,1.58,36,273.8974810899963,None,None,0,273.8974810899963,None,You lost $5.00!,4.599999999999998,4,30,0.4599999999999999,50.0,0.30131417327518445,[],33.33333333333333,30,3,Adjusting RT...,,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
Triangle,3000,0,36,36,36,,275.8741510060063,None,3000,277.8821322520089,None,None,277.8821322520089,None,1.54,37,280.8988513219956,None,None,0,280.8988513219956,None,You did not win or lose anything!,4.599999999999998,3,30,0.4599999999999999,48.64864864864865,0.30131417327518445,[],33.33333333333333,30,3,,,,0042,Scanner,1,2019_Aug_21_1231,MID,3.1.5,24.007221852410662,
