Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,fixationResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,68.85637856299581,None,2000,70.87396471599641,None,None,70.87396471599641,None,1.65,1,72.92549066299398,None,None,0,72.92549066299398,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,1,0.16538531900005182,0.5153853190000518,,,,004,Practice,2,2019_Sep_07_0927,MID,3.1.5,60.237689610478505,
LgReward,2000,0,1,1,1,,74.99714410500019,None,2000,77.02522179399966,None,None,77.02522179399966,None,1.65,2,79.08018819199788,None,1,1,79.08018819199788,None,You won $5.00!,5,1,2,0.35,50.0,0.2948520729987649,"[0, 1]",0,0,3,None,,0.2948520729987649,0.2948520729987649,,,004,Practice,2,2019_Sep_07_0927,MID,3.1.5,60.237689610478505,
SmallPun,2000,0,2,2,2,,81.11497008700098,None,2000,83.1424186219956,None,1,83.1424186219956,None,1.65,3,85.18151252700045,None,1,1,85.18151252700045,None,You did not lose $0.20!,5,5,3,0.32999999999999996,66.66666666666666,0.2751960735004104,[],66.66666666666666,3,3,None,,0.2555400740020559,0.2555400740020559,0.33551450799859595,Adjusting RT...,004,Practice,2,2019_Sep_07_0927,MID,3.1.5,60.237689610478505,
LgPun,2000,0,3,3,3,,87.21459955399769,None,2000,89.24371329299902,None,None,89.24371329299902,None,1.67,4,91.27685848799592,None,1,1,91.27685848799592,None,You did not lose $5.00!,5,4,4,0.32999999999999996,75.0,0.2755195240000224,[1],66.66666666666666,3,3,None,,0.2761664249992464,0.2761664249992464,,,004,Practice,2,2019_Sep_07_0927,MID,3.1.5,60.237689610478505,
Triangle,2000,0,4,4,4,,93.33128088199737,None,2000,95.3611958659967,None,None,95.3611958659967,None,1.67,5,97.39859292299661,None,None,0,97.39859292299661,None,You did not win or lose anything!,5,3,4,0.32999999999999996,60.0,0.2755195240000224,[1],66.66666666666666,3,3,None,,0.2761664249992464,,,,004,Practice,2,2019_Sep_07_0927,MID,3.1.5,60.237689610478505,
LgReward,2000,0,5,5,5,,99.46092816599412,None,2000,101.49469515799865,None,None,101.49469515799865,None,1.67,6,103.54454561400053,None,1,1,103.54454561400053,None,You won $5.00!,10,1,5,0.32999999999999996,66.66666666666666,0.28101971549949667,"[1, 1]",66.66666666666666,3,3,None,,0.29752028999791946,0.29752028999791946,,,004,Practice,2,2019_Sep_07_0927,MID,3.1.5,60.237689610478505,
SmallPun,2000,0,6,6,6,,105.59953063599824,None,2000,107.62945325199689,None,None,107.62945325199689,None,1.67,7,109.66190501600067,None,1,1,109.66190501600067,None,You did not lose $0.20!,10,5,6,0.29999999999999993,71.42857142857143,0.26684828479919814,[],83.33333333333333,6,3,None,,0.2101625619980041,0.2101625619980041,,Adjusting RT...,004,Practice,2,2019_Sep_07_0927,MID,3.1.5,60.237689610478505,
SmallReward,2000,0,7,7,7,,111.71235655099736,None,2000,113.7463476099947,None,None,113.7463476099947,None,1.7000000000000002,8,115.79586502899474,None,1,1,115.79586502899474,None,You won $0.20!,10.2,2,7,0.29999999999999993,75.0,0.2662381116654918,[1],83.33333333333333,6,3,None,,0.26318724599696,0.26318724599696,,,004,Practice,2,2019_Sep_07_0927,MID,3.1.5,60.237689610478505,
Triangle,2000,0,8,8,8,,117.84655229999771,None,2000,119.88076369799819,None,None,119.88076369799819,None,1.7000000000000002,9,121.91360641099891,None,None,0,121.91360641099891,None,You did not win or lose anything!,10.2,3,7,0.29999999999999993,66.66666666666666,0.2662381116654918,[1],83.33333333333333,6,3,1,0.007576169002277311,0.30757616900227724,,,,004,Practice,2,2019_Sep_07_0927,MID,3.1.5,60.237689610478505,
LgReward,2000,0,9,9,9,,123.98043737099943,None,2000,125.99757000399404,None,None,125.99757000399404,None,1.7000000000000002,10,128.04771600099775,None,None,0,128.04771600099775,None,You did not win $5.00!,10.2,1,8,0.29999999999999993,60.0,0.2662381116654918,"[1, 0]",83.33333333333333,6,3,1,0.15229592099785805,0.452295920997858,,,,004,Practice,2,2019_Sep_07_0927,MID,3.1.5,60.237689610478505,
