Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,4000,0,0,0,0,TimeVersion2.csv,36.72098300400103,None,4000,38.72153527299815,None,None,38.72153527299815,None,1.6900000000000002,1,42.777327490999596,None,None,0,42.777327490999596,None,You did not win $0.20!,0,2,1,0.3099999999999999,0.0,nan,[0],0,0,3,1,0.037157070997636765,0.34715707099763665,,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
Triangle,1500,0,1,1,1,,44.827164946000266,None,1500,46.85611229499773,None,None,46.85611229499773,None,1.6900000000000002,2,48.3897680059963,None,None,0,48.3897680059963,None,You did not win or lose anything!,0,3,1,0.3099999999999999,0.0,nan,[0],0,0,3,None,,0.34715707099763665,,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
SmallReward,3000,0,2,2,2,,50.460785981995286,None,3000,52.49031751899747,None,None,52.49031751899747,None,1.6900000000000002,3,55.5395253339957,None,1,1,55.5395253339957,None,You won $0.20!,0.2,2,2,0.3099999999999999,33.33333333333333,0.268444378998538,"[0, 1]",0,0,3,None,,0.268444378998538,0.268444378998538,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
SmallPun,1500,0,3,3,3,,57.57800435299578,None,1500,59.607790067995666,None,None,59.607790067995666,None,1.6900000000000002,4,61.14155507800024,None,None,0,61.14155507800024,None,You lost $0.20!,0.0,5,3,0.34999999999999987,25.0,0.268444378998538,[],33.33333333333333,3,3,1,0.22513818700099364,0.5751381870009935,,Adjusting RT...,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
LgPun,1500,0,4,4,4,,63.178454257998965,None,1500,65.20847190100176,None,None,65.20847190100176,None,1.6500000000000001,5,66.74114174200076,None,1,1,66.74114174200076,None,You did not lose $5.00!,0.0,4,4,0.34999999999999987,40.0,0.2922109664978052,[1],33.33333333333333,3,3,None,,0.3159775539970724,0.3159775539970724,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
Triangle,1500,0,5,5,5,,68.77863306699874,None,1500,70.80955711299612,None,None,70.80955711299612,None,1.6500000000000001,6,72.34179367299657,None,None,0,72.34179367299657,None,You did not win or lose anything!,0.0,3,4,0.34999999999999987,33.33333333333333,0.2922109664978052,[1],33.33333333333333,3,3,1,0.11110641100094654,0.4611064110009464,,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
SmallPun,1500,0,6,6,6,,74.37578178299736,None,1500,76.4100260119958,None,None,76.4100260119958,None,1.6500000000000001,7,77.94279353399907,None,1,1,77.94279353399907,None,You did not lose $0.20!,0.0,5,5,0.34999999999999987,42.857142857142854,0.29320086833225406,"[1, 1]",33.33333333333333,3,3,None,,0.29518067200115183,0.29518067200115183,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
Triangle,2000,0,7,7,7,,79.97928179599694,None,2000,82.0099905140014,None,None,82.0099905140014,None,1.6500000000000001,8,84.04408061200229,None,None,0,84.04408061200229,None,You did not win or lose anything!,0.0,3,5,0.34999999999999987,37.5,0.29320086833225406,"[1, 1]",33.33333333333333,3,3,1,0.02490536899858853,0.3749053689985884,,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
LgReward,2500,0,8,8,8,,86.09437074499874,None,2500,88.12790194099944,None,None,88.12790194099944,None,1.6500000000000001,9,90.67781646199728,None,None,0,90.67781646199728,None,You did not win $5.00!,0.0,1,6,0.3699999999999999,33.33333333333333,0.29320086833225406,[],49.99999999999999,6,3,None,,0.3749053689985884,,Adjusting RT...,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
LgPun,2500,0,9,9,9,,92.71320306300186,None,2500,94.74562970999978,None,None,94.74562970999978,None,1.6300000000000001,10,97.27906006400008,None,None,0,97.27906006400008,None,You lost $5.00!,-5.0,4,7,0.3699999999999999,30.0,0.29320086833225406,[0],49.99999999999999,6,3,1,0.0059923579974565655,0.37599235799745645,,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
SmallPun,3000,0,10,10,10,,99.31387726699904,None,3000,101.3463569279993,None,None,101.3463569279993,None,1.6300000000000001,11,104.38001788900146,None,None,0,104.38001788900146,None,You lost $0.20!,-5.2,5,8,0.3699999999999999,27.27272727272727,0.29320086833225406,"[0, 0]",49.99999999999999,6,3,1,0.0881087710004067,0.4581087710004066,,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
SmallReward,2000,0,11,11,11,,106.42974406999565,None,2000,108.48052183199616,None,None,108.48052183199616,None,1.6300000000000001,12,110.53082135899604,None,None,0,110.53082135899604,None,You did not win $0.20!,-5.2,2,9,0.40999999999999986,25.0,0.29320086833225406,[],33.33333333333333,9,3,1,0.08108429000276374,0.4910842900027636,,Adjusting RT...,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
Triangle,4000,0,12,12,12,,112.5647754169986,None,4000,114.59854407999956,None,None,114.59854407999956,None,1.59,13,118.63234091900085,None,1,1,118.63234091900085,None,You did not win or lose anything!,-5.2,3,9,0.40999999999999986,30.76923076923077,0.295312544250919,[],33.33333333333333,9,3,None,,0.30164757200691383,0.30164757200691383,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
LgReward,2000,0,13,13,13,,120.699023217996,None,2000,122.73264695699618,None,None,122.73264695699618,None,1.59,14,124.78247835300135,None,1,1,124.78247835300135,None,You won $5.00!,-0.20000000000000018,1,10,0.40999999999999986,35.714285714285715,0.30157148680009416,[1],33.33333333333333,9,3,None,,0.3266072569967946,0.3266072569967946,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
LgReward,3000,0,14,14,14,,126.83193156999914,None,3000,128.86564332999842,None,None,128.86564332999842,None,1.59,15,131.91626189200178,None,1,1,131.91626189200178,None,You won $5.00!,4.8,1,11,0.40999999999999986,40.0,0.30094157266648836,"[1, 1]",33.33333333333333,9,3,None,,0.29779200199845945,0.29779200199845945,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
SmallPun,1500,0,15,15,15,,133.93254111699935,None,1500,135.9661725190017,None,None,135.9661725190017,None,1.59,16,137.50039203099732,None,None,0,137.50039203099732,None,You lost $0.20!,4.6,5,12,0.44999999999999984,37.5,0.30094157266648836,[],33.33333333333333,12,3,1,0.10151748600037536,0.5515174860003752,,Adjusting RT...,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
SmallReward,1500,0,16,16,16,,139.566548513998,None,1500,141.60063072499906,None,None,141.60063072499906,None,1.5500000000000003,17,143.14968185500038,None,1,1,143.14968185500038,None,You won $0.20!,4.8,2,13,0.44999999999999984,41.17647058823529,0.3101407308568014,[1],33.33333333333333,12,3,None,,0.36533567999867955,0.36533567999867955,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
LgReward,1500,0,17,17,17,,145.21722921499895,None,1500,147.23391438100225,None,None,147.23391438100225,None,1.5500000000000003,18,148.7836927199969,None,1,1,148.7836927199969,None,You won $5.00!,9.8,1,14,0.44999999999999984,44.44444444444444,0.3079223227496186,"[1, 1]",33.33333333333333,12,3,None,,0.29239346599933924,0.29239346599933924,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
SmallPun,2000,0,18,18,18,,150.81685601700156,None,2000,152.8508351269993,None,None,152.8508351269993,None,1.5500000000000003,19,154.8840511679955,None,1,1,154.8840511679955,None,You did not lose $0.20!,9.8,5,15,0.4199999999999998,47.368421052631575,0.3091481016664248,[],83.33333333333333,15,3,None,,0.3189543330008746,0.3189543330008746,Adjusting RT...,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
SmallReward,1500,0,19,19,19,,156.9340192019954,None,1500,158.96824668299814,None,None,158.96824668299814,None,1.58,20,160.51750729199557,None,None,0,160.51750729199557,None,You did not win $0.20!,9.8,2,16,0.4199999999999998,45.0,0.3091481016664248,[0],83.33333333333333,15,3,None,,0.3189543330008746,,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
LgPun,1500,0,20,20,20,,162.55190679899533,None,1500,164.58535764699627,None,None,164.58535764699627,None,1.58,21,166.1184902909954,None,None,0,166.1184902909954,None,You lost $5.00!,4.800000000000001,4,17,0.4199999999999998,42.857142857142854,0.3091481016664248,"[0, 0]",83.33333333333333,15,3,1,0.04629353599739261,0.4662935359973924,,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
LgReward,3500,0,21,21,21,,168.16855225299514,None,3500,170.20193496799766,None,None,170.20193496799766,None,1.58,22,173.75172935299634,None,1,1,173.75172935299634,None,You won $5.00!,9.8,1,18,0.3999999999999998,45.45454545454545,0.3073690452998562,[],66.66666666666666,18,3,None,,0.2913575380007387,0.2913575380007387,Adjusting RT...,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
LgPun,3500,0,22,22,22,,175.78533147399867,None,3500,177.81972419499652,None,None,177.81972419499652,None,1.6,23,181.35251061099552,None,1,1,181.35251061099552,None,You did not lose $5.00!,9.8,4,19,0.3999999999999998,47.82608695652174,0.3067504382726673,[1],66.66666666666666,18,3,None,,0.3005643680007779,0.3005643680007779,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
LgReward,1500,0,23,23,23,,183.40273370799696,None,1500,185.43666708999808,None,None,185.43666708999808,None,1.6,24,186.98662556699855,None,None,0,186.98662556699855,None,You did not win $5.00!,9.8,1,20,0.3999999999999998,45.83333333333333,0.3067504382726673,"[1, 0]",66.66666666666666,18,3,1,-0.005651504005072638,0.39434849599492716,,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
Triangle,2000,0,24,24,24,,189.0202798140017,None,2000,191.05374717000086,None,None,191.05374717000086,None,1.6,25,193.0870512670008,None,None,0,193.0870512670008,None,You did not win or lose anything!,9.8,3,20,0.3999999999999998,44.0,0.3067504382726673,"[1, 0]",66.66666666666666,18,3,None,,0.39434849599492716,,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
Triangle,2500,0,25,25,25,,195.11996376099705,None,2500,197.1543583609964,None,None,197.1543583609964,None,1.6,26,199.68694436399528,None,1,1,199.68694436399528,None,You did not win or lose anything!,9.8,3,20,0.3999999999999998,46.15384615384615,0.3065302616663151,"[1, 0]",66.66666666666666,18,3,None,,0.3041083189964411,0.3041083189964411,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
SmallPun,2500,0,26,26,26,,201.72072112099704,None,2500,203.75478939599998,None,None,203.75478939599998,None,1.6,27,206.28756612399593,None,1,1,206.28756612399593,None,You did not lose $0.20!,9.8,5,21,0.4199999999999998,48.148148148148145,0.3088265480764676,[],49.99999999999999,21,3,None,,0.3363819849982974,0.3363819849982974,Adjusting RT...,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
