Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,feedback_resp.rt,AdjRTmsg,fixationResp.rt,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,60.67477039899677,None,2000,62.69217284700426,None,None,62.69217284700426,None,1.65,1,64.74201779499708,None,None,0,64.74201779499708,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,None,,,,,,006,Practice,2,2019_Sep_08_1057,MID,3.1.5,60.149410654470934,
LgReward,2000,0,1,1,1,,66.81629713099392,None,2000,68.84353347899741,None,None,68.84353347899741,None,1.65,2,70.8933219830069,None,None,0,70.8933219830069,None,You did not win $5.00!,0,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,1,0.4129589059972204,0.06295890599722043,,,,006,Practice,2,2019_Sep_08_1057,MID,3.1.5,60.149410654470934,
SmallPun,2000,0,2,2,2,,72.95034311400377,None,2000,74.97688070200093,None,None,74.97688070200093,None,1.65,3,77.01659274600388,None,None,0,77.01659274600388,None,You lost $0.20!,-0.2,5,3,0.42,0.0,nan,[],0.0,3,3,None,0.4129589059972204,,Adjusting RT...,,,006,Practice,2,2019_Sep_08_1057,MID,3.1.5,60.149410654470934,
LgPun,2000,0,3,3,3,,79.05204168200726,None,2000,81.07835082699603,None,1,81.07835082699603,None,1.58,4,83.11087638299796,None,1,1,83.11087638299796,None,You did not lose $5.00!,-0.2,4,4,0.42,25.0,0.32734443301160354,[1],0.0,3,3,None,0.32734443301160354,,,1.0659833890094887,0.32734443301160354,006,Practice,2,2019_Sep_08_1057,MID,3.1.5,60.149410654470934,
Triangle,2000,0,4,4,4,,85.15094995799882,None,2000,87.1790558250068,None,None,87.1790558250068,None,1.58,5,89.21836185200664,None,None,0,89.21836185200664,None,You did not win or lose anything!,-0.2,3,4,0.42,20.0,0.32734443301160354,[1],0.0,3,3,None,0.32734443301160354,,,,,006,Practice,2,2019_Sep_08_1057,MID,3.1.5,60.149410654470934,
LgReward,2000,0,5,5,5,,91.26256008799828,None,2000,93.29568552300043,None,None,93.29568552300043,None,1.58,6,95.34626351599582,None,1,1,95.34626351599582,None,You won $5.00!,4.8,1,5,0.42,33.33333333333333,0.3091500155060203,"[1, 1]",0.0,3,3,None,0.290955598000437,,,,0.290955598000437,006,Practice,2,2019_Sep_08_1057,MID,3.1.5,60.149410654470934,
SmallPun,2000,0,6,6,6,,97.38594564900268,None,2000,99.4136799340049,None,None,99.4136799340049,None,1.58,7,101.44903726800112,None,1,1,101.44903726800112,None,You did not lose $0.20!,4.8,5,6,0.44,42.857142857142854,0.3298280010058079,[],50.0,6,3,None,0.3711839720053831,,Adjusting RT...,,0.3711839720053831,006,Practice,2,2019_Sep_08_1057,MID,3.1.5,60.149410654470934,
SmallReward,2000,0,7,7,7,,103.513974668007,None,2000,105.531057700995,None,None,105.531057700995,None,1.56,8,107.58152247199905,None,1,1,107.58152247199905,None,You won $0.20!,5.0,2,7,0.44,50.0,0.33482750775146997,[1],50.0,6,3,None,0.3498260279884562,,,,0.3498260279884562,006,Practice,2,2019_Sep_08_1057,MID,3.1.5,60.149410654470934,
Triangle,2000,0,8,8,8,,109.61948588700034,None,2000,111.64900245300669,None,None,111.64900245300669,None,1.56,9,113.68173523299629,None,None,0,113.68173523299629,None,You did not win or lose anything!,5.0,3,7,0.44,44.44444444444444,0.33482750775146997,[1],50.0,6,3,None,0.3498260279884562,,,,,006,Practice,2,2019_Sep_08_1057,MID,3.1.5,60.149410654470934,
LgReward,2000,0,9,9,9,,115.72035029600374,None,2000,117.74986252600502,None,None,117.74986252600502,None,1.56,10,119.79978641400521,None,1,1,119.79978641400521,None,You won $5.00!,10.0,1,8,0.44,50.0,0.33414872260182166,"[1, 1]",50.0,6,3,None,0.33143358200322837,,,,0.33143358200322837,006,Practice,2,2019_Sep_08_1057,MID,3.1.5,60.149410654470934,
