Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.rt,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,probeResp.rt,AdjRTmsg,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,57.15831240299303,None,2000,59.17575337199378,None,1,0.10917083400272531,59.17575337199378,None,1.65,1,61.225323330996616,None,None,0,61.225323330996616,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,None,,,,,009,Practice,2,2019_Sep_06_1245,MID,3.1.5,60.47560482901549,
LgReward,2000,0,1,1,1,,63.30057719699835,None,2000,65.32643895599904,None,None,,65.32643895599904,None,1.65,2,67.39303381699574,None,1,1,67.39303381699574,None,You won $5.00!,5,1,2,0.35,50.0,0.2929142569992109,"[0, 1]",0,0,3,None,0.2929142569992109,0.2929142569992109,,,009,Practice,2,2019_Sep_06_1245,MID,3.1.5,60.47560482901549,
SmallPun,2000,0,2,2,2,,69.43444126999384,None,2000,71.4769761629941,None,None,,71.4769761629941,None,1.65,3,73.51846291399852,None,None,0,73.51846291399852,None,You lost $0.20!,4.8,5,3,0.38999999999999996,33.33333333333333,0.2929142569992109,[],33.33333333333333,3,3,None,0.2929142569992109,,Adjusting RT...,,009,Practice,2,2019_Sep_06_1245,MID,3.1.5,60.47560482901549,
LgPun,2000,0,3,3,3,,75.55144219599606,None,2000,77.57782838199637,None,None,,77.57782838199637,None,1.61,4,79.61828495199734,None,1,1,79.61828495199734,None,You did not lose $5.00!,4.8,4,4,0.38999999999999996,50.0,0.29382912350047263,[1],33.33333333333333,3,3,None,0.29474399000173435,0.29474399000173435,,,009,Practice,2,2019_Sep_06_1245,MID,3.1.5,60.47560482901549,
Triangle,2000,0,4,4,4,,81.65193962799822,None,2000,83.67910981199384,None,None,,83.67910981199384,None,1.61,5,85.71359977999964,None,1,1,85.71359977999964,None,You did not win or lose anything!,4.8,3,4,0.38999999999999996,60.0,0.2953646136666066,[1],33.33333333333333,3,3,None,0.29843559399887454,0.29843559399887454,,,009,Practice,2,2019_Sep_06_1245,MID,3.1.5,60.47560482901549,
LgReward,2000,0,5,5,5,,87.77890893599397,None,2000,89.79549937499542,None,None,,89.79549937499542,None,1.61,6,91.8466905919995,None,None,0,91.8466905919995,None,You did not win $5.00!,4.8,1,5,0.38999999999999996,50.0,0.2953646136666066,"[1, 0]",33.33333333333333,3,3,1,0.3883944100022199,,,-0.0016055899977800436,009,Practice,2,2019_Sep_06_1245,MID,3.1.5,60.47560482901549,
SmallPun,2000,0,6,6,6,,93.88633992599352,None,2000,95.91365950699401,None,None,,95.91365950699401,None,1.61,7,97.94863683599397,None,1,1,97.94863683599397,None,You did not lose $0.20!,4.8,5,6,0.41,57.14285714285714,0.28761376200054656,[],49.99999999999999,6,3,None,0.2643612070023664,0.2643612070023664,Adjusting RT...,,009,Practice,2,2019_Sep_06_1245,MID,3.1.5,60.47560482901549,
SmallReward,2000,0,7,7,7,,99.99752770699706,None,2000,102.03095214899804,None,None,,102.03095214899804,None,1.59,8,104.08099969099567,None,1,1,104.08099969099567,None,You won $0.20!,5.0,2,7,0.41,62.5,0.27306923319993076,[1],49.99999999999999,6,3,None,0.21489111799746752,0.21489111799746752,,,009,Practice,2,2019_Sep_06_1245,MID,3.1.5,60.47560482901549,
Triangle,2000,0,8,8,8,,106.13623672099493,None,2000,108.16548367099313,None,None,,108.16548367099313,None,1.59,9,110.19875740599673,None,1,1,110.19875740599673,None,You did not win or lose anything!,5.0,3,7,0.41,66.66666666666666,0.2905990206660742,[1],49.99999999999999,6,3,None,0.37824795799679123,0.37824795799679123,,,009,Practice,2,2019_Sep_06_1245,MID,3.1.5,60.47560482901549,
LgReward,2000,0,9,9,9,,112.26540372299496,None,2000,114.2993154769938,None,None,,114.2993154769938,None,1.59,10,116.34913212499669,None,None,0,116.34913212499669,None,You did not win $5.00!,5.0,1,8,0.41,60.0,0.2905990206660742,"[1, 0]",49.99999999999999,6,3,1,0.42914373699401037,,,0.019143736994010396,009,Practice,2,2019_Sep_06_1245,MID,3.1.5,60.47560482901549,
