Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgPun,1500,0,0,0,0,TimeVersion10.csv,36.76618182600214,None,1500,38.7999506260021,None,None,38.7999506260021,None,1.6400000000000001,1,40.333018435005215,None,1,1,0.2798355510021793,40.333018435005215,None,You did not lose $5.00!,0,4,1,0.36,100.0,0.2798355510021793,[1],0,0,3,None,0.2798355510021793,,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
LgPun,2500,0,1,1,1,,42.38289748800162,None,2500,44.41626121900481,None,None,44.41626121900481,None,1.6400000000000001,2,46.9493151630013,None,1,1,0.29352052000467665,46.9493151630013,None,You did not lose $5.00!,0,4,2,0.36,100.0,0.28667803550342796,"[1, 1]",0,0,3,None,0.29352052000467665,,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
Triangle,2000,0,2,2,2,,48.9832886150034,None,2000,51.01705715700518,None,None,51.01705715700518,None,1.6400000000000001,3,53.05048588300269,None,1,1,0.3023550520010758,53.05048588300269,None,You did not win or lose anything!,0,3,2,0.36,100.0,0.29190370766931056,"[1, 1]",0,0,3,None,0.3023550520010758,,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
SmallPun,2500,0,3,3,3,,55.10066275099962,None,2500,57.134099160000915,None,None,57.134099160000915,None,1.6400000000000001,4,59.66715249600384,None,1,1,0.31660272799490485,59.66715249600384,None,You did not lose $0.20!,0,5,3,0.31,100.0,0.29807846275070915,[],100.0,3,3,None,0.31660272799490485,Adjusting RT...,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
LgReward,2000,0,4,4,4,,61.7178990800021,None,2000,63.7515733140026,None,None,63.7515733140026,None,1.69,5,65.80155765300151,None,None,0,,65.80155765300151,None,You did not win $5.00!,0,1,4,0.31,80.0,0.29807846275070915,[0],100.0,3,3,1,0.3050775920005981,,-0.004922407999401912,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
Triangle,1500,0,5,5,5,,67.83457428800466,None,1500,69.86882779300504,None,None,69.86882779300504,None,1.69,6,71.40226173699921,None,1,1,0.274559401004808,71.40226173699921,None,You did not win or lose anything!,0,3,4,0.31,83.33333333333334,0.29337465040152894,[0],100.0,3,3,None,0.274559401004808,,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
SmallPun,1500,0,6,6,6,,73.45154815000569,None,1500,75.48589043300308,None,None,75.48589043300308,None,1.69,7,77.01800945400464,None,1,1,0.26975508999748854,77.01800945400464,None,You did not lose $0.20!,0,5,5,0.31,85.71428571428571,0.2894380570008555,"[0, 1]",100.0,3,3,None,0.26975508999748854,,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
Triangle,2500,0,7,7,7,,79.0686291910024,None,2500,81.10285519099853,None,None,81.10285519099853,None,1.69,8,83.63590253000439,None,None,0,,83.63590253000439,None,You did not win or lose anything!,0,3,5,0.31,75.0,0.2894380570008555,"[0, 1]",100.0,3,3,1,0.30147766200621845,,-0.008522337993781548,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
Triangle,3000,0,8,8,8,,85.68620682600158,None,3000,87.71986601900426,None,None,87.71986601900426,None,1.69,9,90.75320327200461,None,None,0,,90.75320327200461,None,You did not win or lose anything!,0,3,5,0.31,66.66666666666666,0.2894380570008555,"[0, 1]",100.0,3,3,None,0.30147766200621845,,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
SmallReward,3500,0,9,9,9,,92.80266746000416,None,3500,94.83698069100501,None,None,94.83698069100501,None,1.69,10,98.3863080470037,None,1,1,0.2564852930008783,98.3863080470037,None,You won $0.20!,0.2,2,6,0.28,70.0,0.28473051928657306,[],83.33333333333333,6,3,None,0.2564852930008783,Adjusting RT...,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
SmallReward,2500,0,10,10,10,,100.45314125000004,None,2500,102.48766666700249,None,None,102.48766666700249,None,1.72,11,105.02701544500451,None,1,1,0.25971193599980325,105.02701544500451,None,You won $0.20!,0.4,2,7,0.28,72.72727272727273,0.28160319637572684,[1],83.33333333333333,6,3,None,0.25971193599980325,,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
LgReward,1500,0,11,11,11,,107.08642979500291,None,1500,109.12071205500251,None,None,109.12071205500251,None,1.72,12,110.67106069000147,None,None,0,,110.67106069000147,None,You did not win $5.00!,0.4,1,8,0.28,66.66666666666666,0.28160319637572684,"[1, 0]",83.33333333333333,6,3,1,0.2707338409975637,,-0.009266159002436325,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
Triangle,1500,0,12,12,12,,112.72091028399882,None,1500,114.7552110530014,None,None,114.7552110530014,None,1.72,13,116.28732454500278,None,None,0,,116.28732454500278,None,You did not win or lose anything!,0.4,3,8,0.28,61.53846153846154,0.28160319637572684,"[1, 0]",83.33333333333333,6,3,1,0.273104236004001,,-0.006895763995999005,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
SmallReward,1500,0,13,13,13,,118.35492301599879,None,1500,120.37862522499927,None,None,120.37862522499927,None,1.72,14,121.92952016900381,None,1,1,0.25333949500054587,121.92952016900381,None,You won $0.20!,0.6000000000000001,2,9,0.26,64.28571428571429,0.2784627851118178,[],66.66666666666666,9,3,None,0.25333949500054587,Adjusting RT...,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
