Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.rt,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,feedback_resp.rt,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,63.98625866200018,None,2000,66.00382692700077,None,1,0.07755382700270275,66.00382692700077,None,1.65,1,68.06120190200454,None,None,0,68.06120190200454,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,None,,,,,010,Practice,2,2019_Sep_07_1256,MID,3.1.5,60.11337864234248,
LgReward,2000,0,1,1,1,,70.12740420200134,None,2000,72.15457236100337,None,None,,72.15457236100337,None,1.65,2,74.20590641000308,None,None,0,74.20590641000308,None,You did not win $5.00!,0,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,1,0.3575183699955232,0.007518369995523244,,,010,Practice,2,2019_Sep_07_1256,MID,3.1.5,60.11337864234248,
SmallPun,2000,0,2,2,2,,76.26143735900405,None,2000,78.28897198200139,None,None,,78.28897198200139,None,1.65,3,80.3279877350069,None,None,0,80.3279877350069,None,You lost $0.20!,-0.2,5,3,0.42,0.0,nan,[],0.0,3,3,1,0.43164312800392507,0.011643128003925085,Adjusting RT...,,010,Practice,2,2019_Sep_07_1256,MID,3.1.5,60.11337864234248,
LgPun,2000,0,3,3,3,,82.3618240249998,None,2000,84.38955140400503,None,None,,84.38955140400503,None,1.58,4,86.42457898600696,None,1,1,86.42457898600696,None,You did not lose $5.00!,-0.2,4,4,0.42,25.0,0.2726796339993598,[1],0.0,3,3,None,0.2726796339993598,,,0.2726796339993598,010,Practice,2,2019_Sep_07_1256,MID,3.1.5,60.11337864234248,
Triangle,2000,0,4,4,4,,88.46223874400312,None,2000,90.49014160900697,None,None,,90.49014160900697,None,1.58,5,92.5246642580023,None,None,0,92.5246642580023,None,You did not win or lose anything!,-0.2,3,4,0.42,20.0,0.2726796339993598,[1],0.0,3,3,1,0.44263708499958737,0.022637084999587387,,,010,Practice,2,2019_Sep_07_1256,MID,3.1.5,60.11337864234248,
LgReward,2000,0,5,5,5,,94.5737871540041,None,2000,96.6084345690033,None,1,1.4528375790032442,96.6084345690033,None,1.58,6,98.65740117400128,None,None,0,98.65740117400128,None,You did not win $5.00!,-0.2,1,5,0.42,16.666666666666664,0.2726796339993598,"[1, 0]",0.0,3,3,1,0.4973556590065709,0.07735565900657093,,,010,Practice,2,2019_Sep_07_1256,MID,3.1.5,60.11337864234248,
SmallPun,2000,0,6,6,6,,100.6960852150005,None,2000,102.72517763400538,None,None,,102.72517763400538,None,1.58,7,104.75868949300639,None,1,1,104.75868949300639,None,You did not lose $0.20!,-0.2,5,6,0.45999999999999996,28.57142857142857,0.26914910699997563,[],33.33333333333333,6,3,None,0.26561858000059146,,Adjusting RT...,0.26561858000059146,010,Practice,2,2019_Sep_07_1256,MID,3.1.5,60.11337864234248,
SmallReward,2000,0,7,7,7,,106.80857956000546,None,2000,108.84241556699999,None,1,0.8439644499958376,108.84241556699999,None,1.54,8,110.89297934500064,None,None,0,110.89297934500064,None,You did not win $0.20!,-0.2,2,7,0.45999999999999996,25.0,0.26914910699997563,[0],33.33333333333333,6,3,None,0.26561858000059146,,,,010,Practice,2,2019_Sep_07_1256,MID,3.1.5,60.11337864234248,
Triangle,2000,0,8,8,8,,112.93000114700408,None,2000,114.96053347900306,None,None,,114.96053347900306,None,1.54,9,116.99364598700049,None,None,0,116.99364598700049,None,You did not win or lose anything!,-0.2,3,7,0.45999999999999996,22.22222222222222,0.26914910699997563,[0],33.33333333333333,6,3,None,0.26561858000059146,,,,010,Practice,2,2019_Sep_07_1256,MID,3.1.5,60.11337864234248,
LgReward,2000,0,9,9,9,,119.06039189700095,None,2000,121.09420575500553,None,None,,121.09420575500553,None,1.54,10,123.14407533500344,None,1,1,123.14407533500344,None,You won $5.00!,4.8,1,8,0.45999999999999996,30.0,0.2628245053322947,"[0, 1]",33.33333333333333,6,3,None,0.25017530199693283,,,0.25017530199693283,010,Practice,2,2019_Sep_07_1256,MID,3.1.5,60.11337864234248,
