Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,74.38875839000684,None,2000,76.42365665800753,None,None,76.42365665800753,None,1.65,1,78.47357666199969,None,None,0,78.47357666199969,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,1,0.43208405798941385,0.7820840579894138,,,,011,Practice,2,2019_Sep_07_1502,MID,3.1.5,60.4712909894936,
LgReward,2000,0,1,1,1,,80.54032294500212,None,2000,82.57424969600106,None,None,82.57424969600106,None,1.65,2,84.62272929601022,None,1,1,84.62272929601022,None,You won $5.00!,5,1,2,0.35,50.0,0.23790278400701936,"[0, 1]",0,0,3,None,,0.23790278400701936,0.23790278400701936,,,011,Practice,2,2019_Sep_07_1502,MID,3.1.5,60.4712909894936,
SmallPun,2000,0,2,2,2,,86.65742272300122,None,2000,88.69077573899995,None,None,88.69077573899995,None,1.65,3,90.72358461401018,None,None,0,90.72358461401018,None,You lost $0.20!,4.8,5,3,0.38999999999999996,33.33333333333333,0.23790278400701936,[],33.33333333333333,3,3,None,,0.23790278400701936,,Adjusting RT...,,011,Practice,2,2019_Sep_07_1502,MID,3.1.5,60.4712909894936,
LgPun,2000,0,3,3,3,,92.75771132101363,None,2000,94.77947527900687,None,None,94.77947527900687,None,1.61,4,96.82375884700741,None,1,1,96.82375884700741,None,You did not lose $5.00!,4.8,4,4,0.38999999999999996,50.0,0.2353624360039248,[1],33.33333333333333,3,3,None,,0.23282208800083026,0.23282208800083026,,,011,Practice,2,2019_Sep_07_1502,MID,3.1.5,60.4712909894936,
Triangle,2000,0,4,4,4,,98.87447190401144,None,2000,100.90828751800291,None,None,100.90828751800291,None,1.61,5,102.94154455201351,None,None,0,102.94154455201351,None,You did not win or lose anything!,4.8,3,4,0.38999999999999996,40.0,0.2353624360039248,[1],33.33333333333333,3,3,None,,0.23282208800083026,,,,011,Practice,2,2019_Sep_07_1502,MID,3.1.5,60.4712909894936,
LgReward,2000,0,5,5,5,,105.00729392201174,None,2000,107.04255301800731,None,None,107.04255301800731,None,1.61,6,109.09223357800511,None,1,1,109.09223357800511,None,You won $5.00!,9.8,1,5,0.38999999999999996,50.0,0.23805775533643705,"[1, 1]",33.33333333333333,3,3,None,,0.24344839400146157,0.24344839400146157,,,011,Practice,2,2019_Sep_07_1502,MID,3.1.5,60.4712909894936,
SmallPun,2000,0,6,6,6,,111.12529659600114,None,2000,113.14896639800281,None,None,113.14896639800281,None,1.61,7,115.19126502401195,None,1,1,115.19126502401195,None,You did not lose $0.20!,9.8,5,6,0.36999999999999994,57.14285714285714,0.24390015125391074,[],66.66666666666666,6,3,None,,0.26142733900633175,0.26142733900633175,Adjusting RT...,,011,Practice,2,2019_Sep_07_1502,MID,3.1.5,60.4712909894936,
SmallReward,2000,0,7,7,7,,117.25151215300139,None,2000,119.28365118301008,None,None,119.28365118301008,None,1.6300000000000001,8,121.33522977000393,None,1,1,121.33522977000393,None,You won $0.20!,10.0,2,7,0.36999999999999994,62.5,0.24060415800486226,[1],66.66666666666666,6,3,None,,0.22742018500866834,0.22742018500866834,,,011,Practice,2,2019_Sep_07_1502,MID,3.1.5,60.4712909894936,
Triangle,2000,0,8,8,8,,123.37632050200773,None,2000,125.40055219701026,None,None,125.40055219701026,None,1.6300000000000001,9,127.44297731600818,None,None,0,127.44297731600818,None,You did not win or lose anything!,10.0,3,7,0.36999999999999994,55.55555555555556,0.24060415800486226,[1],66.66666666666666,6,3,1,0.095995165000204,0.46599516500020394,,,,011,Practice,2,2019_Sep_07_1502,MID,3.1.5,60.4712909894936,
LgReward,2000,0,9,9,9,,129.486425332012,None,2000,131.51880138300476,None,None,131.51880138300476,None,1.6300000000000001,10,133.5681583520054,None,1,1,133.5681583520054,None,You won $5.00!,15.0,1,8,0.36999999999999994,60.0,0.2439018940034051,"[1, 1]",66.66666666666666,6,3,None,,0.2603905739961192,0.2603905739961192,,,011,Practice,2,2019_Sep_07_1502,MID,3.1.5,60.4712909894936,
