Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,feedback_resp.rt,fixationResp.rt,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,73.63712681899779,None,2000,75.66583921900019,None,None,75.66583921900019,None,1.65,1,77.71602045703912,None,None,0,77.71602045703912,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,None,,,,,,012,Practice,2,2019_Sep_01_1117,MID,3.1.5,60.13538458526231,
LgReward,2000,0,1,1,1,,79.78230562602403,None,2000,81.81665993301431,None,None,81.81665993301431,None,1.65,2,83.86557205702411,None,None,0,83.86557205702411,None,You did not win $5.00!,0,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,1,0.48850931799970565,0.13850931799970567,,,,012,Practice,2,2019_Sep_01_1117,MID,3.1.5,60.13538458526231,
SmallPun,2000,0,2,2,2,,85.89901065302547,None,2000,87.93365735904081,None,1,87.93365735904081,None,1.65,3,89.96672310400754,None,None,0,89.96672310400754,None,You lost $0.20!,-0.2,5,3,0.42,0.0,nan,[],0.0,3,3,None,0.48850931799970565,,0.6987358179758303,Adjusting RT...,,012,Practice,2,2019_Sep_01_1117,MID,3.1.5,60.13538458526231,
LgPun,2000,0,3,3,3,,92.00014532299247,None,2000,94.02374017902184,None,None,94.02374017902184,None,1.58,4,96.06719463999616,None,1,1,96.06719463999616,None,You did not lose $5.00!,-0.2,4,4,0.42,25.0,0.27935216401237994,[1],0.0,3,3,None,0.27935216401237994,,,,0.27935216401237994,012,Practice,2,2019_Sep_01_1117,MID,3.1.5,60.13538458526231,
Triangle,2000,0,4,4,4,,98.10018823901191,None,2000,100.12409469101112,None,None,100.12409469101112,None,1.58,5,102.16752356803045,None,1,1,102.16752356803045,None,You did not win or lose anything!,-0.2,3,4,0.42,40.0,0.3006789470091462,[1],0.0,3,3,None,0.3220057300059125,,,,0.3220057300059125,012,Practice,2,2019_Sep_01_1117,MID,3.1.5,60.13538458526231,
LgReward,2000,0,5,5,5,,104.22433286800515,None,2000,106.24225645000115,None,None,106.24225645000115,None,1.58,6,108.30084362300113,None,1,1,108.30084362300113,None,You won $5.00!,4.8,1,5,0.42,50.0,0.29200136667350307,"[1, 1]",0.0,3,3,None,0.2746462060022168,,,,0.2746462060022168,012,Practice,2,2019_Sep_01_1117,MID,3.1.5,60.13538458526231,
SmallPun,2000,0,6,6,6,,110.35121315799188,None,2000,112.37611516204197,None,None,112.37611516204197,None,1.58,7,114.4182698270306,None,None,0,114.4182698270306,None,You lost $0.20!,4.6,5,6,0.45999999999999996,42.857142857142854,0.29200136667350307,[],33.33333333333333,6,3,None,0.2746462060022168,,,Adjusting RT...,,012,Practice,2,2019_Sep_01_1117,MID,3.1.5,60.13538458526231,
SmallReward,2000,0,7,7,7,,116.45144278701628,None,2000,118.47704410098959,None,None,118.47704410098959,None,1.54,8,120.53519883699482,None,1,1,120.53519883699482,None,You won $0.20!,4.8,2,7,0.45999999999999996,50.0,0.29556611175939906,[1],33.33333333333333,6,3,None,0.30626034701708704,,,,0.30626034701708704,012,Practice,2,2019_Sep_01_1117,MID,3.1.5,60.13538458526231,
Triangle,2000,0,8,8,8,,122.58523943700129,None,2000,124.61113317299169,None,None,124.61113317299169,None,1.54,9,126.65203199000098,None,1,1,126.65203199000098,None,You did not win or lose anything!,4.8,3,7,0.45999999999999996,55.55555555555556,0.31992729880148546,[1],33.33333333333333,6,3,None,0.417372046969831,,,,0.417372046969831,012,Practice,2,2019_Sep_01_1117,MID,3.1.5,60.13538458526231,
LgReward,2000,0,9,9,9,,128.71829372900538,None,2000,130.74527451599715,None,None,130.74527451599715,None,1.54,10,132.79518700402696,None,1,1,132.79518700402696,None,You won $5.00!,9.8,1,8,0.45999999999999996,60.0,0.3171653191675432,"[1, 1]",33.33333333333333,6,3,None,0.30335542099783197,,,,0.30335542099783197,012,Practice,2,2019_Sep_01_1117,MID,3.1.5,60.13538458526231,
