Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,1500,0,0,0,0,TimeVersion3.csv,25.50097771495348,None,1500,27.518476487952285,None,None,27.518476487952285,None,1.53,1,29.067369224969298,None,1,1,0.33901368401711807,29.067369224969298,None,You won $5.00!,5,1,1,0.47,100.0,0.33901368401711807,[1],0,0,3,None,0.33901368401711807,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
Triangle,2500,0,1,1,1,,31.119513382960577,None,2500,33.151773477962706,None,None,33.151773477962706,None,1.53,2,35.68489591695834,None,None,0,,35.68489591695834,None,You did not win or lose anything!,5,3,1,0.47,50.0,0.33901368401711807,[1],0,0,3,None,0.33901368401711807,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
SmallPun,1500,0,2,2,2,,37.736837226955686,None,1500,39.769864754984155,None,None,39.769864754984155,None,1.53,3,41.3027064659982,None,None,0,,41.3027064659982,None,You lost $0.20!,4.8,5,2,0.47,33.33333333333333,0.33901368401711807,"[1, 0]",0,0,3,None,0.33901368401711807,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
LgPun,2500,0,3,3,3,,43.3536168699502,None,2500,45.386744375980925,None,None,45.386744375980925,None,1.53,4,47.92036446597194,None,None,0,,47.92036446597194,None,You lost $5.00!,-0.20000000000000018,4,3,0.5,25.0,0.33901368401711807,[],33.33333333333333,3,3,None,0.33901368401711807,Adjusting RT...,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
Triangle,1500,0,4,4,4,,49.95447077596327,None,1500,51.987970313988626,None,None,51.987970313988626,None,1.5,5,53.520339922979474,None,None,0,,53.520339922979474,None,You did not win or lose anything!,-0.20000000000000018,3,3,0.5,20.0,0.33901368401711807,[],33.33333333333333,3,3,None,0.33901368401711807,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
SmallReward,2000,0,5,5,5,,55.57098157698056,None,2000,57.6054093039711,None,None,57.6054093039711,None,1.5,6,59.65482572995825,None,1,1,0.35142069100402296,59.65482572995825,None,You won $0.20!,-1.6653345369377348e-16,2,4,0.5,33.33333333333333,0.3452171875105705,[1],33.33333333333333,3,3,None,0.35142069100402296,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
SmallPun,3500,0,6,6,6,,61.68842056795256,None,3500,63.72293702996103,None,None,63.72293702996103,None,1.5,7,67.25577966700075,None,None,0,,67.25577966700075,None,You lost $0.20!,-0.20000000000000018,5,5,0.5,28.57142857142857,0.3452171875105705,"[1, 0]",33.33333333333333,3,3,None,0.35142069100402296,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
Triangle,1500,0,7,7,7,,69.2893058769987,None,1500,71.32323185395217,None,None,71.32323185395217,None,1.5,8,72.85540303698508,None,None,0,,72.85540303698508,None,You did not win or lose anything!,-0.20000000000000018,3,5,0.5,25.0,0.3452171875105705,"[1, 0]",33.33333333333333,3,3,None,0.35142069100402296,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
SmallReward,1500,0,8,8,8,,74.90603742795065,None,1500,76.9403747409815,None,None,76.9403747409815,None,1.5,9,78.48889088298893,None,1,1,0.29848469397984445,78.48889088298893,None,You won $0.20!,-1.6653345369377348e-16,2,6,0.5,33.33333333333333,0.32963968966699514,[],49.99999999999999,6,3,None,0.29848469397984445,Adjusting RT...,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
LgReward,2000,0,9,9,9,,80.53975751699181,None,2000,82.57301075197756,None,None,82.57301075197756,None,1.5,10,84.62370090396143,None,1,1,0.35155986296013,84.62370090396143,None,You won $5.00!,5.0,1,7,0.5,40.0,0.33511973299027886,[1],49.99999999999999,6,3,None,0.35155986296013,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
Triangle,2000,0,10,10,10,,86.65704245195957,None,2000,88.69067343295319,None,None,88.69067343295319,None,1.5,11,90.72450425097486,None,None,0,,90.72450425097486,None,You did not win or lose anything!,5.0,3,7,0.5,36.36363636363637,0.33511973299027886,[1],49.99999999999999,6,3,None,0.35155986296013,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
SmallReward,1500,0,11,11,11,,92.77408645296237,None,1500,94.80806637695059,None,None,94.80806637695059,None,1.5,12,96.35786192299565,None,1,1,0.3484726110473275,96.35786192299565,None,You won $0.20!,5.2,2,8,0.5,41.66666666666667,0.33779030860168857,"[1, 1]",49.99999999999999,6,3,None,0.3484726110473275,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
SmallPun,4000,0,12,12,12,,98.3912393169594,None,4000,100.42421321099391,None,None,100.42421321099391,None,1.5,13,104.4584914839943,None,None,0,,104.4584914839943,None,You lost $0.20!,5.0,5,9,0.48,38.46153846153847,0.33779030860168857,[],66.66666666666666,9,3,None,0.3484726110473275,Adjusting RT...,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
Triangle,1500,0,13,13,13,,106.49165519699454,None,1500,108.52562541997759,None,None,108.52562541997759,None,1.52,14,110.05856161995325,None,None,0,,110.05856161995325,None,You did not win or lose anything!,5.0,3,9,0.48,35.714285714285715,0.33779030860168857,[],66.66666666666666,9,3,None,0.3484726110473275,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
LgPun,1500,0,14,14,14,,112.10855733999051,None,1500,114.14296430698596,None,None,114.14296430698596,None,1.52,15,115.67570839996915,None,None,0,,115.67570839996915,None,You lost $5.00!,0.0,4,10,0.48,33.33333333333333,0.33779030860168857,[0],66.66666666666666,9,3,None,0.3484726110473275,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
SmallReward,3500,0,15,15,15,,117.72571943094954,None,3500,119.75931290595327,None,None,119.75931290595327,None,1.52,16,123.30909275595332,None,1,1,0.28729111596476287,123.30909275595332,None,You won $0.20!,0.2,2,11,0.48,37.5,0.3293737764955343,"[0, 1]",66.66666666666666,9,3,None,0.28729111596476287,,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
LgPun,3000,0,16,16,16,,125.36030478699831,None,3000,127.39311558997724,None,None,127.39311558997724,None,1.52,17,130.42632538697217,None,None,0,,130.42632538697217,None,You lost $5.00!,-4.8,4,12,0.5,35.294117647058826,0.3293737764955343,[],49.99999999999999,12,3,None,0.28729111596476287,Adjusting RT...,013,Scanner,1,2019_Sep_01_1510,MID,3.1.5,60.13075250990419,
