Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,fixationResp.rt,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
Triangle,2000,0,0,0,0,TimeVersion8.csv,25.444806853018235,None,2000,27.478941709036008,None,None,27.478941709036008,None,1.53,1,29.517628799017984,None,1,1,0.4086379990330897,29.517628799017984,None,You did not win or lose anything!,0,3,0,0.47,100.0,0.4086379990330897,[],0,0,3,None,0.4086379990330897,,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
SmallReward,3500,0,1,1,1,,31.595114099036437,None,3500,33.629404861014336,None,None,33.629404861014336,None,1.53,2,37.17858897102997,None,1,1,0.2985538439825177,37.17858897102997,None,You won $0.20!,0.2,2,1,0.47,100.0,0.3535959215078037,[1],0,0,3,None,0.2985538439825177,,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
LgPun,2000,0,2,2,2,,39.2123962600017,None,2000,41.24621226504678,None,None,41.24621226504678,None,1.53,3,43.27970319101587,None,1,1,0.30453978100558743,43.27970319101587,None,You did not lose $5.00!,0.2,4,2,0.47,100.0,0.3372438746737316,"[1, 1]",0,0,3,None,0.30453978100558743,,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
SmallReward,1500,0,3,3,3,,45.32920593803283,None,1500,47.35264749103226,None,None,47.35264749103226,None,1.53,4,48.91316153801745,None,1,1,0.30710649298271164,48.91316153801745,None,You won $0.20!,0.4,2,3,0.42,100.0,0.32970952925097663,[],100.0,3,3,None,0.30710649298271164,Adjusting RT...,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
LgReward,4000,0,4,4,4,,50.97138849901967,None,4000,53.01391361403512,None,None,53.01391361403512,None,1.58,5,57.06463772000279,None,1,1,0.2915230429498479,57.06463772000279,None,You won $5.00!,5.4,1,4,0.42,100.0,0.32207223199075086,[1],100.0,3,3,None,0.2915230429498479,,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
LgPun,1500,0,5,5,5,,59.1139155960409,None,1500,61.137692627031356,None,None,61.137692627031356,None,1.58,6,62.681278814037796,None,1,1,0.32798660098342225,62.681278814037796,None,You did not lose $5.00!,5.4,4,5,0.42,100.0,0.3230579601561961,"[1, 1]",100.0,3,3,None,0.32798660098342225,,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
Triangle,3500,0,6,6,6,,64.71410736901453,None,3500,66.7390755439992,None,1,66.7390755439992,None,1.58,7,70.28115515905665,None,None,0,,70.28115515905665,None,You did not win or lose anything!,5.4,3,5,0.42,85.71428571428571,0.3230579601561961,"[1, 1]",100.0,3,3,1,0.6982006540219299,,0.3071041170042008,0.27820065402192995,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
LgPun,1500,0,7,7,7,,72.31444059603382,None,1500,74.33940327900928,None,None,74.33940327900928,None,1.58,8,75.88154514500638,None,1,1,0.3117289199726656,75.88154514500638,None,You did not lose $5.00!,5.4,4,6,0.37,87.5,0.32143952584426316,[],100.0,6,3,None,0.3117289199726656,Adjusting RT...,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
SmallReward,1500,0,8,8,8,,77.93098929902771,None,1500,79.95732022100128,None,None,79.95732022100128,None,1.63,9,81.50803885201458,None,1,1,0.33323488297173753,81.50803885201458,None,You won $0.20!,5.6000000000000005,2,7,0.37,88.88888888888889,0.3229139454851975,[1],100.0,6,3,None,0.33323488297173753,,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
SmallPun,2500,0,9,9,9,,83.54866826004582,None,2500,85.57493368402356,None,None,85.57493368402356,None,1.63,10,88.11555064405547,None,1,1,0.3127003369736485,88.11555064405547,None,You did not lose $0.20!,5.6000000000000005,5,8,0.37,90.0,0.32177910009502536,"[1, 1]",100.0,6,3,None,0.3127003369736485,,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
