Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,AdjRTmsg,probeResp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,1500,0,0,0,0,TimeVersion1.csv,25.33819813300215,None,1500,27.355174575001,None,None,27.355174575001,None,1.75,1,28.90465651699924,None,None,0,28.90465651699924,None,You did not win $5.00!,0,1,1,0.24999999999999992,0.0,nan,[0],0,0,3,1,0.015049509995151311,0.2650495099951512,,,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
Triangle,3500,0,1,1,1,,30.955031826000777,None,3500,32.98891161000938,None,None,32.98891161000938,None,1.75,2,36.52177212800598,None,None,0,36.52177212800598,None,You did not win or lose anything!,0,3,1,0.24999999999999992,0.0,nan,[0],0,0,3,1,0.10694270599924494,0.3569427059992448,,,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
LgPun,1500,0,2,2,2,,38.57123089900415,None,1500,40.60479834800935,None,None,40.60479834800935,None,1.75,3,42.13789233000716,None,None,0,42.13789233000716,None,You lost $5.00!,-5,4,2,0.24999999999999992,0.0,nan,"[0, 0]",0,0,3,1,0.0337076230061939,0.2837076230061938,,,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
SmallReward,3500,0,3,3,3,,44.18782554099744,None,3500,46.222481129007065,None,None,46.222481129007065,None,1.75,4,49.772597028000746,None,None,0,49.772597028000746,None,You did not win $0.20!,-5,2,3,0.31999999999999995,0.0,nan,[],0.0,3,3,None,,0.2837076230061938,Adjusting RT...,,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
LgReward,1500,0,4,4,4,,51.82207211900095,None,1500,53.840397204010515,None,None,53.840397204010515,None,1.6800000000000002,5,55.389711623996845,None,None,0,55.389711623996845,None,You did not win $5.00!,-5,1,4,0.31999999999999995,0.0,nan,[0],0.0,3,3,None,,0.2837076230061938,,,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
LgPun,2500,0,5,5,5,,57.42254705600499,None,2500,59.45725453000341,None,None,59.45725453000341,None,1.6800000000000002,6,61.98957096700906,None,1,1,61.98957096700906,None,You did not lose $5.00!,-5,4,5,0.31999999999999995,16.666666666666664,0.2585167639917927,"[0, 1]",0.0,3,3,None,,0.2585167639917927,,0.2585167639917927,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
LgReward,3500,0,6,6,6,,64.05715144600254,None,3500,66.07398490799824,None,None,66.07398490799824,None,1.6800000000000002,7,69.624990049997,None,1,1,69.624990049997,None,You won $5.00!,0,1,6,0.35999999999999993,28.57142857142857,0.24932020698906854,[],33.33333333333333,6,3,None,,0.2401236499863444,Adjusting RT...,0.2401236499863444,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
LgPun,2000,0,7,7,7,,71.67393253699993,None,2000,73.6980084060051,None,None,73.6980084060051,None,1.6400000000000001,8,75.74156808199768,None,1,1,75.74156808199768,None,You did not lose $5.00!,0,4,7,0.35999999999999993,37.5,0.2720164746569935,[1],33.33333333333333,6,3,None,,0.3174090099928435,,0.3174090099928435,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
Triangle,1500,0,8,8,8,,77.79142066900386,None,1500,79.82469251900329,None,None,79.82469251900329,None,1.6400000000000001,9,81.35789291500987,None,None,0,81.35789291500987,None,You did not win or lose anything!,0,3,7,0.35999999999999993,33.33333333333333,0.2720164746569935,[1],33.33333333333333,6,3,1,0.04188036201230716,0.4018803620123071,,,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
SmallPun,4000,0,9,9,9,,83.40806065200013,None,4000,85.43254283000715,None,None,85.43254283000715,None,1.6400000000000001,10,89.47532088600565,None,1,1,89.47532088600565,None,You did not lose $0.20!,0,5,8,0.35999999999999993,40.0,0.2682084304942691,"[1, 1]",33.33333333333333,6,3,None,,0.2567842980060959,,0.2567842980060959,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
