Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,probeResp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,40.107239131000824,None,2000,42.12426916602999,None,None,42.12426916602999,None,1.65,1,44.17335696198279,None,None,0,44.17335696198279,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,None,,,,,016,Practice,2,2019_Sep_03_0939,MID,3.1.5,59.577274807196865,
LgReward,2000,0,1,1,1,,46.23959274898516,None,2000,48.27416605799226,None,None,48.27416605799226,None,1.65,2,50.32421965501271,None,None,0,50.32421965501271,None,You did not win $5.00!,0,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,None,,,,,016,Practice,2,2019_Sep_03_0939,MID,3.1.5,59.577274807196865,
SmallPun,2000,0,2,2,2,,52.37406988500152,None,2000,54.408044888987206,None,None,54.408044888987206,None,1.65,3,56.44144754501758,None,None,0,56.44144754501758,None,You lost $0.20!,-0.2,5,3,0.42,0.0,nan,[],0.0,3,3,None,,Adjusting RT...,,,016,Practice,2,2019_Sep_03_0939,MID,3.1.5,59.577274807196865,
LgPun,2000,0,3,3,3,,58.473904427024536,None,2000,60.49811097199563,None,None,60.49811097199563,None,1.58,4,62.54188893799437,None,None,0,62.54188893799437,None,You lost $5.00!,-5.2,4,4,0.42,0.0,nan,[0],0.0,3,3,None,,,,,016,Practice,2,2019_Sep_03_0939,MID,3.1.5,59.577274807196865,
Triangle,2000,0,4,4,4,,64.57507881498896,None,2000,66.59969153499696,None,None,66.59969153499696,None,1.58,5,68.64160800003447,None,None,0,68.64160800003447,None,You did not win or lose anything!,-5.2,3,4,0.42,0.0,nan,[0],0.0,3,3,None,,,,,016,Practice,2,2019_Sep_03_0939,MID,3.1.5,59.577274807196865,
LgReward,2000,0,5,5,5,,70.70090945297852,None,2000,72.73347736801952,None,None,72.73347736801952,None,1.58,6,74.78377389302477,None,1,1,74.78377389302477,None,You won $5.00!,-0.20000000000000018,1,5,0.42,16.666666666666664,0.2915473409811966,"[0, 1]",0.0,3,3,None,0.2915473409811966,,0.2915473409811966,,016,Practice,2,2019_Sep_03_0939,MID,3.1.5,59.577274807196865,
SmallPun,2000,0,6,6,6,,76.82593215501402,None,2000,78.85015108401421,None,None,78.85015108401421,None,1.58,7,80.89311829901999,None,1,1,80.89311829901999,None,You did not lose $0.20!,-0.20000000000000018,5,6,0.45999999999999996,28.57142857142857,0.29191944998456165,[],33.33333333333333,6,3,None,0.2922915589879267,Adjusting RT...,0.2922915589879267,,016,Practice,2,2019_Sep_03_0939,MID,3.1.5,59.577274807196865,
SmallReward,2000,0,7,7,7,,82.9428359689773,None,2000,84.96801288600545,None,None,84.96801288600545,None,1.54,8,87.01776052702917,None,1,1,87.01776052702917,None,You won $0.20!,-1.6653345369377348e-16,2,7,0.45999999999999996,37.5,0.29146419764341164,[1],33.33333333333333,6,3,None,0.29055369296111166,,0.29055369296111166,,016,Practice,2,2019_Sep_03_0939,MID,3.1.5,59.577274807196865,
Triangle,2000,0,8,8,8,,89.05955808400176,None,2000,91.08575508999638,None,None,91.08575508999638,None,1.54,9,93.12659676303156,None,1,1,93.12659676303156,None,You did not win or lose anything!,-1.6653345369377348e-16,3,7,0.45999999999999996,44.44444444444444,0.2905657322407933,[1],33.33333333333333,6,3,None,0.2878703360329382,,0.2878703360329382,,016,Practice,2,2019_Sep_03_0939,MID,3.1.5,59.577274807196865,
LgReward,2000,0,9,9,9,,95.18606128002284,None,2000,97.22003823198611,None,None,97.22003823198611,None,1.54,10,99.27000415802468,None,1,1,99.27000415802468,None,You won $5.00!,5.0,1,8,0.45999999999999996,50.0,0.2859066519886255,"[1, 1]",33.33333333333333,6,3,None,0.26727033097995445,,0.26727033097995445,,016,Practice,2,2019_Sep_03_0939,MID,3.1.5,59.577274807196865,
