Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,4000,0,0,0,0,TimeVersion15.csv,30.409267855982762,None,4000,32.41080343100475,None,None,32.41080343100475,None,1.62,1,36.46277873200597,None,1,1,0.34833868499845266,36.46277873200597,None,You won $0.20!,0.2,2,1,0.37999999999999995,100.0,0.34833868499845266,[1],0,0,3,None,0.34833868499845266,,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
SmallPun,3500,0,1,1,1,,38.511592102993745,None,3500,40.54472268902464,None,None,40.54472268902464,None,1.62,2,44.078134098032024,None,1,1,0.3340969970449805,44.078134098032024,None,You did not lose $0.20!,0.2,5,2,0.37999999999999995,100.0,0.3412178410217166,"[1, 1]",0,0,3,None,0.3340969970449805,,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
Triangle,2500,0,2,2,2,,46.12933589401655,None,2500,48.162732727010734,None,None,48.162732727010734,None,1.62,3,50.69564262003405,None,1,1,0.3315517129958607,50.69564262003405,None,You did not win or lose anything!,0.2,3,2,0.37999999999999995,100.0,0.3379957983464313,"[1, 1]",0,0,3,None,0.3315517129958607,,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
SmallReward,2000,0,3,3,3,,52.762055971019436,None,2000,54.79655649402412,None,None,54.79655649402412,None,1.62,4,56.84679918398615,None,None,0,,56.84679918398615,None,You did not win $0.20!,0.2,2,3,0.35999999999999993,75.0,0.3379957983464313,[],66.66666666666666,3,3,None,0.3315517129958607,Adjusting RT...,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
SmallPun,4000,0,4,4,4,,58.88055036799051,None,4000,60.914567706990056,None,None,60.914567706990056,None,1.6400000000000001,5,64.94706387398764,None,1,1,0.2941399569972418,64.94706387398764,None,You did not lose $0.20!,0.2,5,4,0.35999999999999993,80.0,0.32703183800913393,[1],66.66666666666666,3,3,None,0.2941399569972418,,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
LgPun,2000,0,5,5,5,,66.99774601199897,None,2000,69.03110916598234,None,None,69.03110916598234,None,1.6400000000000001,6,71.0648463970283,None,1,1,0.30236118100583553,71.0648463970283,None,You did not lose $5.00!,0.2,4,5,0.35999999999999993,83.33333333333334,0.32209770660847425,"[1, 1]",66.66666666666666,3,3,None,0.30236118100583553,,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
SmallPun,1500,0,6,6,6,,73.11466201598523,None,1500,75.14928533002967,None,None,75.14928533002967,None,1.6400000000000001,7,76.68192456499673,None,None,0,,76.68192456499673,None,You lost $0.20!,0.0,5,6,0.3399999999999999,71.42857142857143,0.32209770660847425,[],66.66666666666666,6,3,1,0.3573675320111214,Adjusting RT...,0.01736753201112151,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
SmallReward,1500,0,7,7,7,,78.74865317402873,None,1500,80.78298302798066,None,None,80.78298302798066,None,1.6600000000000001,8,82.33184565801639,None,None,0,,82.33184565801639,None,You did not win $0.20!,0.0,2,7,0.3399999999999999,62.5,0.32209770660847425,[0],66.66666666666666,6,3,1,0.3302618519845418,,-0.009738148015458137,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
Triangle,2000,0,8,8,8,,84.3655199680361,None,2000,86.39981606701622,None,None,86.39981606701622,None,1.6600000000000001,9,88.43184125702828,None,1,1,0.28036706696730107,88.43184125702828,None,You did not win or lose anything!,0.0,3,7,0.3399999999999999,66.66666666666666,0.31514260000161204,[0],66.66666666666666,6,3,None,0.28036706696730107,,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
SmallReward,1500,0,9,9,9,,90.49985253898194,None,1500,92.53344649303472,None,None,92.53344649303472,None,1.6600000000000001,10,94.08304885303369,None,None,0,,94.08304885303369,None,You did not win $0.20!,0.0,2,8,0.3399999999999999,60.0,0.31514260000161204,"[0, 0]",66.66666666666666,6,3,1,1.1200229100394061,,0.7800229100394063,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
Triangle,1500,0,10,10,10,,96.11583435401553,None,1500,98.14938857103698,None,None,98.14938857103698,None,1.6600000000000001,11,99.68318331398768,None,1,1,0.25403026200365275,99.68318331398768,None,You did not win or lose anything!,0.0,3,8,0.3399999999999999,63.63636363636363,0.3064122660019036,"[0, 0]",66.66666666666666,6,3,None,0.25403026200365275,,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
SmallReward,3500,0,11,11,11,,101.73315481102327,None,3500,103.76673120702617,None,None,103.76673120702617,None,1.6600000000000001,12,107.31723932898603,None,None,0,,107.31723932898603,None,You did not win $0.20!,0.0,2,9,0.3799999999999999,58.333333333333336,0.3064122660019036,[],33.33333333333333,9,3,1,0.40058972901431833,Adjusting RT...,0.020589729014318436,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
LgPun,3000,0,12,12,12,,109.35042411403265,None,3000,111.38491409400012,None,None,111.38491409400012,None,1.62,13,114.41816818900406,None,1,1,0.2990008149645291,114.41816818900406,None,You did not lose $5.00!,0.0,4,10,0.3799999999999999,61.53846153846154,0.3054858346222318,[1],33.33333333333333,9,3,None,0.2990008149645291,,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
LgReward,1500,0,13,13,13,,116.48435252200579,None,1500,118.51809062098619,None,None,118.51809062098619,None,1.62,14,120.06810159300221,None,1,1,0.28106489300262183,120.06810159300221,None,You won $5.00!,5.0,1,11,0.3799999999999999,64.28571428571429,0.30277239666449735,"[1, 1]",33.33333333333333,9,3,None,0.28106489300262183,,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
