Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,feedback_resp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,1500,0,0,0,0,TimeVersion12.csv,30.994030719972216,None,1500,33.01077797700418,None,None,33.01077797700418,None,1.62,1,34.543859332974534,None,1,1,0.2721561669604853,34.543859332974534,None,You did not lose $0.20!,0,5,1,0.37999999999999995,100.0,0.2721561669604853,[1],0,0,3,None,0.2721561669604853,,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
LgPun,3500,0,1,1,1,,36.59335146500962,None,3500,38.628524535975885,None,None,38.628524535975885,None,1.62,2,42.16195321799023,None,1,1,0.299954138987232,42.16195321799023,None,You did not lose $5.00!,0,4,2,0.37999999999999995,100.0,0.28605515297385864,"[1, 1]",0,0,3,None,0.299954138987232,,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
Triangle,2500,0,2,2,2,,44.211094444966875,None,2500,46.23410580196651,None,None,46.23410580196651,None,1.62,3,48.77838980598608,None,None,0,,48.77838980598608,None,You did not win or lose anything!,0,3,2,0.37999999999999995,66.66666666666666,0.28605515297385864,"[1, 1]",0,0,3,1,0.4065889109577983,0.026588910957798362,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
LgPun,3000,0,3,3,3,,50.828842949005775,None,3000,52.85196545399958,None,None,52.85196545399958,None,1.62,4,55.895813937007915,None,1,1,0.2752213659696281,55.895813937007915,None,You did not lose $5.00!,0,4,3,0.32999999999999996,75.0,0.2824438906391151,[],100.0,3,3,None,0.2752213659696281,,Adjusting RT...,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
SmallReward,4000,0,4,4,4,,57.94588862097589,None,4000,59.96992149297148,None,None,59.96992149297148,None,1.67,5,64.02181822195416,None,None,0,,64.02181822195416,None,You did not win $0.20!,0,2,4,0.32999999999999996,60.0,0.2824438906391151,[0],100.0,3,3,1,0.34524283899925645,0.015242838999256492,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
LgReward,1500,0,5,5,5,,66.08660072798375,None,1500,68.12084274698282,None,None,68.12084274698282,None,1.67,6,69.67174634395633,None,None,0,,69.67174634395633,None,You did not win $5.00!,0,1,5,0.32999999999999996,50.0,0.2824438906391151,"[0, 0]",100.0,3,3,None,0.34524283899925645,,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
SmallPun,4000,0,6,6,6,,71.72995280398754,None,4000,73.75450449896744,None,None,73.75450449896744,None,1.67,7,77.79680608498165,None,None,0,,77.79680608498165,None,You lost $0.20!,-0.2,5,6,0.35,42.857142857142854,0.2824438906391151,[],50.0,6,3,1,0.39178239399334414,0.04178239399334416,Adjusting RT...,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
SmallReward,2000,0,7,7,7,,79.8572862999863,None,2000,81.89753099100199,None,None,81.89753099100199,None,1.65,8,83.93964319699444,None,1,1,0.30238828697474673,83.93964319699444,None,You won $0.20!,0.0,2,7,0.35,50.0,0.287429989723023,[1],50.0,6,3,None,0.30238828697474673,,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
SmallPun,1500,0,8,8,8,,85.98089987196727,None,1500,88.00655266497051,None,None,88.00655266497051,None,1.65,9,89.54785824398277,None,1,1,0.3051729879807681,89.54785824398277,None,You did not lose $0.20!,0.0,5,8,0.35,55.55555555555556,0.29097858937457205,"[1, 1]",50.0,6,3,None,0.3051729879807681,,,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
SmallPun,3000,0,9,9,9,,91.58101118798368,None,3000,93.60736295697279,None,None,93.60736295697279,None,1.65,10,96.6475138909882,None,1,1,0.2843861879664473,96.6475138909882,None,You did not lose $0.20!,0.0,5,9,0.37,60.0,0.28987985580655123,[],50.0,9,3,None,0.2843861879664473,,Adjusting RT...,,016,Scanner,2,2019_Sep_03_0948,MID,3.1.5,59.754832015460615,
