TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,run,trial_order
3,1,0.31583674300054554,,017,2,7
3,1,0.32196335200023896,,017,2,7
4,1,0.3425010339997243,,017,2,7
3,1,0.2594172439994509,,017,2,7
1,1,0.2860418630007189,,017,2,7
5,1,0.29176339199966606,,017,2,7
4,0,[],,017,2,7
3,1,0.3211108300001797,,017,2,7
2,1,0.2551841100003003,,017,2,7
4,1,0.2632576030000564,,017,2,7
5,1,0.2732799599998543,,017,2,7
2,0,[],,017,2,7
4,0,[],,017,2,7
2,1,0.27429947200016613,,017,2,7
2,0,[],,017,2,7
4,1,0.27514669300035166,,017,2,7
3,1,0.3176723500000662,,017,2,7
4,1,0.310764678999476,,017,2,7
1,0,[],,017,2,7
1,1,0.30331746399951953,,017,2,7
4,0,[],,017,2,7
5,0,[],,017,2,7
2,0,[],,017,2,7
1,0,[],,017,2,7
2,0,[],,017,2,7
5,1,0.3258462789999612,,017,2,7
1,1,0.3461028860001534,,017,2,7
1,1,0.3148222950003401,,017,2,7
3,1,0.338301966000472,,017,2,7
4,1,0.37524836499960657,,017,2,7
2,0,[],,017,2,7
1,1,0.33096118699995714,,017,2,7
1,1,0.2986435700004222,,017,2,7
5,1,0.34116425800038996,,017,2,7
3,1,0.3455316869994931,,017,2,7
3,0,[],,017,2,7
5,1,0.30228249300034804,,017,2,7
4,1,0.2766256869999779,,017,2,7
4,0,[],,017,2,7
5,1,0.30312018299991905,,017,2,7
1,0,[],,017,2,7
5,1,0.26919347399962135,,017,2,7
2,0,[],,017,2,7
2,0,[],,017,2,7
1,1,0.28828930300005595,,017,2,7
3,0,[],,017,2,7
5,1,0.23779128300066077,,017,2,7
5,1,0.33410872100012057,,017,2,7
3,0,[],,017,2,7
2,0,[],,017,2,7
