TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,run,trial_order
2,0,[],,018,2,practice
1,0,[],,018,2,practice
5,0,[],,018,2,practice
4,0,[],,018,2,practice
3,0,[],,018,2,practice
1,0,[],,018,2,practice
5,0,[],,018,2,practice
2,1,0.3351236290181987,,018,2,practice
3,1,0.43694644299102947,,018,2,practice
1,1,0.3615302369580604,,018,2,practice
4,0,[],,018,2,practice
5,1,0.37543774902587757,,018,2,practice
2,1,0.38212908699642867,,018,2,practice
4,0,[],,018,2,practice
3,1,0.40780669800005853,,018,2,practice
