Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,feedback_resp.rt,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,41.62820430897409,None,2000,43.64553319901461,None,None,43.64553319901461,None,1.65,1,45.6948395089712,None,None,0,45.6948395089712,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,None,,,,,018,Practice,2,2019_Sep_02_1258,MID,3.1.5,60.13688574176129,
LgReward,2000,0,1,1,1,,47.76174390496453,None,2000,49.79597501299577,None,None,49.79597501299577,None,1.65,2,51.8450209290022,None,None,0,51.8450209290022,None,You did not win $5.00!,0,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,1,0.4927445040317252,0.14274450403172523,,,018,Practice,2,2019_Sep_02_1258,MID,3.1.5,60.13688574176129,
SmallPun,2000,0,2,2,2,,53.895841643970925,None,2000,55.929755730961915,None,None,55.929755730961915,None,1.65,3,57.96232015197165,None,None,0,57.96232015197165,None,You lost $0.20!,-0.2,5,3,0.42,0.0,nan,[],0.0,3,3,1,0.4242095949756913,0.004209594975691289,Adjusting RT...,,018,Practice,2,2019_Sep_02_1258,MID,3.1.5,60.13688574176129,
LgPun,2000,0,3,3,3,,59.99609791097464,None,2000,62.0301752309897,None,None,62.0301752309897,None,1.58,4,64.0628490659874,None,None,0,64.0628490659874,None,You lost $5.00!,-5.2,4,4,0.42,0.0,nan,[0],0.0,3,3,1,0.42161162501899524,0.0016116250189952552,,,018,Practice,2,2019_Sep_02_1258,MID,3.1.5,60.13688574176129,
Triangle,2000,0,4,4,4,,66.11291390599217,None,2000,68.14729149796767,None,None,68.14729149796767,None,1.58,5,70.17963028099621,None,None,0,70.17963028099621,None,You did not win or lose anything!,-5.2,3,4,0.42,0.0,nan,[0],0.0,3,3,2,0.5377185620181262,0.11771856201812625,,,018,Practice,2,2019_Sep_02_1258,MID,3.1.5,60.13688574176129,
LgReward,2000,0,5,5,5,,72.23026755399769,None,2000,74.26436512800865,None,None,74.26436512800865,None,1.58,6,76.34749213897157,None,None,0,76.34749213897157,None,You did not win $5.00!,-5.2,1,5,0.42,0.0,nan,"[0, 0]",0.0,3,3,1,0.4099524129577912,-0.010047587042208761,,,018,Practice,2,2019_Sep_02_1258,MID,3.1.5,60.13688574176129,
SmallPun,2000,0,6,6,6,,78.38031527696876,None,2000,80.41481852100696,None,None,80.41481852100696,None,1.58,7,82.44704826897942,None,None,0,82.44704826897942,None,You lost $0.20!,-5.4,5,6,0.49,0.0,nan,[],0.0,6,3,None,0.4099524129577912,,Adjusting RT...,,018,Practice,2,2019_Sep_02_1258,MID,3.1.5,60.13688574176129,
SmallReward,2000,0,7,7,7,,84.49717580497963,None,2000,86.5316703270073,None,None,86.5316703270073,None,1.51,8,88.57235101499828,None,1,1,88.57235101499828,None,You won $0.20!,-5.2,2,7,0.49,12.5,0.3351236290181987,[1],0.0,6,3,None,0.3351236290181987,,,0.3351236290181987,018,Practice,2,2019_Sep_02_1258,MID,3.1.5,60.13688574176129,
Triangle,2000,0,8,8,8,,90.61508648400195,None,2000,92.64880505396286,None,None,92.64880505396286,None,1.51,9,94.68146443099249,None,1,1,94.68146443099249,None,You did not win or lose anything!,-5.2,3,7,0.49,22.22222222222222,0.3860350360046141,[1],0.0,6,3,None,0.43694644299102947,,,0.43694644299102947,018,Practice,2,2019_Sep_02_1258,MID,3.1.5,60.13688574176129,
LgReward,2000,0,9,9,9,,96.7481153080007,None,2000,98.77183771599084,None,None,98.77183771599084,None,1.51,10,100.82388243300375,None,1,1,100.82388243300375,None,You won $5.00!,-0.20000000000000018,1,8,0.49,30.0,0.3778667696557629,"[1, 1]",0.0,6,3,None,0.3615302369580604,,,0.3615302369580604,018,Practice,2,2019_Sep_02_1258,MID,3.1.5,60.13688574176129,
