Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,1500,0,0,0,0,TimeVersion7.csv,34.04295880103018,None,1500,36.0579358789837,None,None,36.0579358789837,None,1.52,1,37.613280138000846,None,1,1,0.2922068710322492,37.613280138000846,None,You won $5.00!,5,1,1,0.48,100.0,0.2922068710322492,[1],0,0,3,1,0.17519252799684182,0.2922068710322492,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
LgReward,4000,0,1,1,1,,39.679445303976536,None,4000,41.71000407199608,None,None,41.71000407199608,None,1.52,2,45.75945898599457,None,1,1,0.30313415301498026,45.75945898599457,None,You won $5.00!,10,1,2,0.48,100.0,0.2976705120236147,"[1, 1]",0,0,3,1,0.18335199996363372,0.30313415301498026,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
SmallReward,2500,0,2,2,2,,47.809405815030914,None,2500,49.827203596010804,None,None,49.827203596010804,None,1.52,3,52.3773620990105,None,1,1,0.3150618340005167,52.3773620990105,None,You won $0.20!,10.2,2,3,0.43,100.0,0.3034676193492487,[],100.0,3,3,None,,0.3150618340005167,Adjusting RT...,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
SmallReward,4000,0,3,3,3,,54.42755715700332,None,4000,56.44505046698032,None,None,56.44505046698032,None,1.57,4,60.495098574028816,None,1,1,0.25544117600657046,60.495098574028816,None,You won $0.20!,10.399999999999999,2,4,0.43,100.0,0.29146100851357915,[1],100.0,3,3,None,,0.25544117600657046,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
LgReward,2000,0,4,4,4,,62.54526026902022,None,2000,64.57884932000889,None,None,64.57884932000889,None,1.57,5,66.62916671199491,None,None,0,,66.62916671199491,None,You did not win $5.00!,10.399999999999999,1,5,0.43,80.0,0.29146100851357915,"[1, 0]",100.0,3,3,None,,0.25544117600657046,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
Triangle,3000,0,5,5,5,,68.68155650398694,None,3000,70.71344456297811,None,None,70.71344456297811,None,1.57,6,73.74625240301248,None,1,1,0.2861815459909849,73.74625240301248,None,You did not win or lose anything!,10.399999999999999,3,5,0.43,83.33333333333334,0.29040511600906027,"[1, 0]",100.0,3,3,None,,0.2861815459909849,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
SmallPun,1500,0,6,6,6,,75.79890765598975,None,1500,77.8311480859993,None,None,77.8311480859993,None,1.57,7,79.36374896200141,None,1,1,0.3197293250123039,79.36374896200141,None,You did not lose $0.20!,10.399999999999999,5,6,0.4,85.71428571428571,0.2952924841762676,[],83.33333333333333,6,3,None,,0.3197293250123039,Adjusting RT...,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
LgPun,2000,0,7,7,7,,81.41517471102998,None,2000,83.44824344897643,None,None,83.44824344897643,None,1.6,8,85.4813203830272,None,None,0,,85.4813203830272,None,You lost $5.00!,5.399999999999999,4,7,0.4,75.0,0.2952924841762676,[0],83.33333333333333,6,3,1,0.18364927603397518,0.5836492760339752,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
LgReward,3000,0,8,8,8,,87.53165007598,None,3000,89.56534912501229,None,None,89.56534912501229,None,1.6,9,92.61550276598427,None,1,1,0.2720494369859807,92.61550276598427,None,You won $5.00!,10.399999999999999,1,8,0.4,77.77777777777779,0.2919720488633694,"[0, 1]",83.33333333333333,6,3,None,,0.2720494369859807,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
LgPun,2000,0,9,9,9,,94.6491588660283,None,2000,96.68369706900558,None,None,96.68369706900558,None,1.6,10,98.71636362897698,None,1,1,0.2871790010249242,98.71636362897698,None,You did not lose $5.00!,10.399999999999999,4,9,0.38,80.0,0.2913729178835638,[],66.66666666666666,9,3,1,0.15058374596992508,0.2871790010249242,Adjusting RT...,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
Triangle,4000,0,10,10,10,,100.75030623801285,None,4000,102.78442599298432,None,None,102.78442599298432,None,1.62,11,106.81762838701252,None,1,1,0.27390627801651135,106.81762838701252,None,You did not win or lose anything!,10.399999999999999,3,9,0.38,81.81818181818183,0.28943218012055794,[],66.66666666666666,9,3,None,,0.27390627801651135,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
SmallPun,3500,0,11,11,11,,108.8671178619843,None,3500,110.90166666603182,None,None,110.90166666603182,None,1.62,12,114.4347583539784,None,1,1,0.3147108930279501,114.4347583539784,None,You did not lose $0.20!,10.399999999999999,5,10,0.38,83.33333333333334,0.29196005141129716,[1],66.66666666666666,9,3,None,,0.3147108930279501,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
SmallPun,1500,0,12,12,12,,116.46755016001407,None,1500,118.50161998800468,None,None,118.50161998800468,None,1.62,13,120.03514387801988,None,None,0,,120.03514387801988,None,You lost $0.20!,10.2,5,11,0.38,76.92307692307693,0.29196005141129716,"[1, 0]",66.66666666666666,9,3,1,0.022788615024182945,0.40278861502418295,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
LgPun,1500,0,13,13,13,,122.06829395197565,None,1500,124.102291520976,None,None,124.102291520976,None,1.62,14,125.63550429599127,None,1,1,0.27102609898429364,125.63550429599127,None,You did not lose $5.00!,10.2,4,12,0.36,78.57142857142857,0.29005696482702414,[],66.66666666666666,12,3,None,,0.27102609898429364,Adjusting RT...,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
SmallReward,2000,0,14,14,14,,127.70210773602594,None,2000,129.73620612401282,None,None,129.73620612401282,None,1.6400000000000001,15,131.7860071460018,None,None,0,,131.7860071460018,None,You did not win $0.20!,10.2,2,13,0.36,73.33333333333333,0.29005696482702414,[0],66.66666666666666,12,3,1,0.33704605902312323,0.6970460590231232,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
SmallPun,2000,0,15,15,15,,133.81805107399123,None,2000,135.85213271999964,None,None,135.85213271999964,None,1.6400000000000001,16,137.8862321630004,None,1,1,0.23734778905054554,137.8862321630004,None,You did not lose $0.20!,10.2,5,14,0.36,75.0,0.2856645335123176,"[0, 1]",66.66666666666666,12,3,None,,0.23734778905054554,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
LgPun,1500,0,16,16,16,,139.93614534602966,None,1500,141.96927735500503,None,None,141.96927735500503,None,1.6400000000000001,17,143.50335238699336,None,1,1,0.2891783689847216,143.50335238699336,None,You did not lose $5.00!,10.2,4,15,0.33999999999999997,76.47058823529412,0.2859348285486564,[],66.66666666666666,15,3,None,,0.2891783689847216,Adjusting RT...,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
LgReward,3500,0,17,17,17,,145.5700104139978,None,3500,147.6039157480118,None,None,147.6039157480118,None,1.6600000000000001,18,151.153311121976,None,None,0,,151.153311121976,None,You did not win $5.00!,10.2,1,16,0.33999999999999997,72.22222222222221,0.2859348285486564,[0],66.66666666666666,15,3,None,,0.2891783689847216,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
Triangle,1500,0,18,18,18,,153.18700223899214,None,1500,155.2212608960108,None,None,155.2212608960108,None,1.6600000000000001,19,156.7545426299912,None,None,0,,156.7545426299912,None,You did not win or lose anything!,10.2,3,16,0.33999999999999997,68.42105263157895,0.2859348285486564,[0],66.66666666666666,15,3,1,0.017740126000717282,0.35774012600071725,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
SmallPun,2000,0,19,19,19,,158.78755401598755,None,2000,160.80734126199968,None,None,160.80734126199968,None,1.6600000000000001,20,162.85370134201366,None,1,1,0.26176361297257245,162.85370134201366,None,You did not lose $0.20!,10.2,5,17,0.33999999999999997,70.0,0.28420831315036466,"[0, 1]",66.66666666666666,15,3,None,,0.26176361297257245,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
Triangle,2000,0,20,20,20,,164.9037303130026,None,2000,166.9386800440261,None,None,166.9386800440261,None,1.6600000000000001,21,168.9717310559936,None,None,0,,168.9717310559936,None,You did not win or lose anything!,10.2,3,17,0.33999999999999997,66.66666666666666,0.28420831315036466,"[0, 1]",66.66666666666666,15,3,None,,0.26176361297257245,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
SmallReward,1500,0,21,21,21,,171.02112480497453,None,1500,173.0392005110043,None,None,173.0392005110043,None,1.6600000000000001,22,174.58880916901398,None,1,1,0.23772579000797123,174.58880916901398,None,You won $0.20!,10.399999999999999,2,18,0.31999999999999995,68.18181818181817,0.28110947827420507,[],66.66666666666666,18,3,None,,0.23772579000797123,Adjusting RT...,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
Triangle,1500,0,22,22,22,,176.6218690649839,None,1500,178.6554380109883,None,None,178.6554380109883,None,1.6800000000000002,23,180.18889920698712,None,None,0,,180.18889920698712,None,You did not win or lose anything!,10.399999999999999,3,18,0.31999999999999995,65.21739130434783,0.28110947827420507,[],66.66666666666666,18,3,None,,0.23772579000797123,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
SmallReward,3000,0,23,23,23,,182.2386299369973,None,3000,184.27306606800994,None,1,184.27306606800994,None,1.6800000000000002,24,187.31261218897998,None,None,0,,187.31261218897998,None,You did not win $0.20!,10.399999999999999,2,19,0.31999999999999995,62.5,0.28110947827420507,[0],66.66666666666666,18,3,1,0.0036750740255229175,0.32367507402552287,,2.376498675032053,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
LgReward,1500,0,24,24,24,,189.3726533339941,None,1500,191.3947473820299,None,None,191.3947473820299,None,1.6800000000000002,25,192.95689312397735,None,None,0,,192.95689312397735,None,You did not win $5.00!,10.399999999999999,1,20,0.31999999999999995,60.0,0.28110947827420507,"[0, 0]",66.66666666666666,18,3,1,0.057945962995290756,0.3779459629952907,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
Triangle,2000,0,25,25,25,,194.98956949700369,None,2000,197.01332303398522,None,None,197.01332303398522,None,1.6800000000000002,26,199.05698323698016,None,1,1,0.24555660702753812,199.05698323698016,None,You did not win or lose anything!,10.399999999999999,3,20,0.31999999999999995,61.53846153846154,0.2788874238212884,"[0, 0]",66.66666666666666,18,3,None,,0.24555660702753812,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
SmallReward,2000,0,26,26,26,,201.10737563902512,None,2000,203.1305970720132,None,None,203.1305970720132,None,1.6800000000000002,27,205.19070886197733,None,1,1,0.23082348698517308,205.19070886197733,None,You won $0.20!,10.599999999999998,2,21,0.33999999999999997,62.96296296296296,0.27606013341916397,[],49.99999999999999,21,3,None,,0.23082348698517308,Adjusting RT...,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
SmallPun,1500,0,27,27,27,,207.2238398080226,None,1500,209.2483648060006,None,None,209.2483648060006,None,1.6600000000000001,28,210.79027350299293,None,1,1,0.27127730095526204,210.79027350299293,None,You did not lose $0.20!,10.599999999999998,5,22,0.33999999999999997,64.28571428571429,0.27579442050450276,[1],49.99999999999999,21,3,None,,0.27127730095526204,,,018,Scanner,1,2019_Sep_02_1300,MID,3.1.5,59.98888947025247,
