Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,feedback_resp.rt,probeResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,49.69933053501882,None,2000,51.70020880701486,None,None,51.70020880701486,None,1.65,1,53.75014927104348,None,None,0,53.75014927104348,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,None,,,,,019,Practice,2,2019_Aug_31_1504,MID,3.1.5,60.08239626871909,
LgReward,2000,0,1,1,1,,55.81723225704627,None,2000,57.84993144701002,None,None,57.84993144701002,None,1.65,2,59.9003526190063,None,None,0,59.9003526190063,None,You did not win $5.00!,0,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,1,0.3846257479977794,0.0346257479977794,,,019,Practice,2,2019_Aug_31_1504,MID,3.1.5,60.08239626871909,
SmallPun,2000,0,2,2,2,,61.95008169999346,None,2000,63.98388963303296,None,None,63.98388963303296,None,1.65,3,66.01665300899185,None,1,1,66.01665300899185,None,You did not lose $0.20!,0,5,3,0.38999999999999996,33.33333333333333,0.2841185880242847,[],33.33333333333333,3,3,None,0.2841185880242847,,0.2841185880242847,Adjusting RT...,019,Practice,2,2019_Aug_31_1504,MID,3.1.5,60.08239626871909,
LgPun,2000,0,3,3,3,,68.0513007150148,None,2000,70.08412086003227,None,None,70.08412086003227,None,1.61,4,72.11686316801934,None,None,0,72.11686316801934,None,You lost $5.00!,-5,4,4,0.38999999999999996,25.0,0.2841185880242847,[0],33.33333333333333,3,3,None,0.2841185880242847,,,,019,Practice,2,2019_Aug_31_1504,MID,3.1.5,60.08239626871909,
Triangle,2000,0,4,4,4,,74.15079278300982,None,2000,76.18479147204198,None,None,76.18479147204198,None,1.61,5,78.21743290999439,None,None,0,78.21743290999439,None,You did not win or lose anything!,-5,3,4,0.38999999999999996,20.0,0.2841185880242847,[0],33.33333333333333,3,3,1,0.4362807129952125,0.046280712995212525,,,019,Practice,2,2019_Aug_31_1504,MID,3.1.5,60.08239626871909,
LgReward,2000,0,5,5,5,,80.2681607370032,None,2000,82.30213993304642,None,None,82.30213993304642,None,1.61,6,84.35131812200416,None,1,1,84.35131812200416,None,You won $5.00!,0,1,5,0.38999999999999996,33.33333333333333,0.28229621500940993,"[0, 1]",33.33333333333333,3,3,None,0.2804738419945352,,0.2804738419945352,,019,Practice,2,2019_Aug_31_1504,MID,3.1.5,60.08239626871909,
SmallPun,2000,0,6,6,6,,86.3844425920397,None,2000,88.41916230600327,None,None,88.41916230600327,None,1.61,7,90.45194979402004,None,1,1,90.45194979402004,None,You did not lose $0.20!,0,5,6,0.41,42.857142857142854,0.26782520934163284,[],49.99999999999999,6,3,None,0.2388831980060786,,0.2388831980060786,Adjusting RT...,019,Practice,2,2019_Aug_31_1504,MID,3.1.5,60.08239626871909,
SmallReward,2000,0,7,7,7,,92.51801049901405,None,2000,94.55299789400306,None,None,94.55299789400306,None,1.59,8,96.60206376004498,None,1,1,96.60206376004498,None,You won $0.20!,0.2,2,7,0.41,50.0,0.26378367276629433,[1],49.99999999999999,6,3,None,0.25165906304027885,,0.25165906304027885,,019,Practice,2,2019_Aug_31_1504,MID,3.1.5,60.08239626871909,
Triangle,2000,0,8,8,8,,98.63579913903959,None,2000,100.66993708099471,None,None,100.66993708099471,None,1.59,9,102.70265626499895,None,1,1,102.70265626499895,None,You did not win or lose anything!,0.2,3,7,0.41,55.55555555555556,0.2838649324141443,[1],49.99999999999999,6,3,None,0.36418997100554407,,0.36418997100554407,,019,Practice,2,2019_Aug_31_1504,MID,3.1.5,60.08239626871909,
LgReward,2000,0,9,9,9,,104.76997544500045,None,2000,106.80380461399909,None,None,106.80380461399909,None,1.59,10,108.85353194602067,None,1,1,108.85353194602067,None,You won $5.00!,5.2,1,8,0.41,60.0,0.27875898151736084,"[1, 1]",49.99999999999999,6,3,None,0.25322922703344375,,0.25322922703344375,,019,Practice,2,2019_Aug_31_1504,MID,3.1.5,60.08239626871909,
LgPun,2000,0,10,10,10,,110.9040509960032,None,2000,112.93656187399756,None,None,112.93656187399756,None,1.59,11,114.97053961601341,None,1,1,114.97053961601341,None,You did not lose $5.00!,5.2,4,9,0.38,63.63636363636363,0.2802641104374613,[],83.33333333333333,9,3,None,0.289294883958064,,0.289294883958064,Adjusting RT...,019,Practice,2,2019_Aug_31_1504,MID,3.1.5,60.08239626871909,
SmallPun,2000,0,11,11,11,,117.02059288002783,None,2000,119.05401074001566,None,None,119.05401074001566,None,1.62,12,121.08791758900043,None,1,1,121.08791758900043,None,You did not lose $0.20!,5.2,5,10,0.38,66.66666666666666,0.2817212977606687,[1],83.33333333333333,9,3,None,0.29192160902312025,,0.29192160902312025,,019,Practice,2,2019_Aug_31_1504,MID,3.1.5,60.08239626871909,
SmallReward,2000,0,12,12,12,,123.15943707001861,None,2000,125.18828811700223,None,None,125.18828811700223,None,1.62,13,127.23739606299205,None,1,1,127.23739606299205,None,You won $0.20!,5.4,2,11,0.38,69.23076923076923,0.28190480056218803,"[1, 1]",83.33333333333333,9,3,None,0.28337282297434285,,0.28337282297434285,,019,Practice,2,2019_Aug_31_1504,MID,3.1.5,60.08239626871909,
LgPun,2000,0,13,13,13,,129.2716241790331,None,2000,131.30556078901282,None,None,131.30556078901282,None,1.62,14,133.33852357801516,None,None,0,133.33852357801516,None,You lost $5.00!,0.40000000000000036,4,12,0.35,64.28571428571429,0.28190480056218803,[],83.33333333333333,12,3,1,0.5215390449971892,0.1715390449971892,,Adjusting RT...,019,Practice,2,2019_Aug_31_1504,MID,3.1.5,60.08239626871909,
Triangle,2000,0,14,14,14,,135.37192632001825,None,2000,137.39477375202114,None,None,137.39477375202114,None,1.65,15,139.43817366100848,None,1,1,139.43817366100848,None,You did not win or lose anything!,0.40000000000000036,3,12,0.35,66.66666666666666,0.2837680385040585,[],83.33333333333333,12,3,None,0.3005371799808927,,0.3005371799808927,,019,Practice,2,2019_Aug_31_1504,MID,3.1.5,60.08239626871909,
