Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgPun,1500,0,0,0,0,TimeVersion13.csv,27.060070023988374,None,1500,29.078149825974833,None,None,29.078149825974833,None,1.65,1,30.618565061013214,None,1,1,0.25316141202347353,30.618565061013214,None,You did not lose $5.00!,0,4,1,0.35,100.0,0.25316141202347353,[1],0,0,3,None,0.25316141202347353,,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
LgReward,2000,0,1,1,1,,32.677951243007556,None,2000,34.71108804200776,None,None,34.71108804200776,None,1.65,2,36.76303922798252,None,1,1,0.22357716801343486,36.76303922798252,None,You won $5.00!,5,1,2,0.35,100.0,0.2383692900184542,"[1, 1]",0,0,3,None,0.22357716801343486,,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
Triangle,4000,0,2,2,2,,38.80105923500378,None,4000,40.828734848997556,None,None,40.828734848997556,None,1.65,3,44.86374231200898,None,1,1,0.27287211205111817,44.86374231200898,None,You did not win or lose anything!,5,3,2,0.35,100.0,0.24987023069600886,"[1, 1]",0,0,3,None,0.27287211205111817,,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
LgPun,1500,0,3,3,3,,46.90215307602193,None,1500,48.93007122701965,None,None,48.93007122701965,None,1.65,4,50.462770461977925,None,1,1,0.2509625849779695,50.462770461977925,None,You did not lose $5.00!,5,4,3,0.3,100.0,0.250143319266499,[],100.0,3,3,None,0.2509625849779695,Adjusting RT...,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
LgReward,1500,0,4,4,4,,52.519277227984276,None,1500,54.54743148898706,None,None,54.54743148898706,None,1.7,5,56.09721203200752,None,1,1,0.24039661197457463,56.09721203200752,None,You won $5.00!,10,1,4,0.3,100.0,0.24819397780811414,[1],100.0,3,3,None,0.24039661197457463,,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
LgPun,2000,0,5,5,5,,58.13619424798526,None,2000,60.164531628019176,None,None,60.164531628019176,None,1.7,6,62.198405764007475,None,1,1,0.22018491401104257,62.198405764007475,None,You did not lose $5.00!,10,4,5,0.3,100.0,0.2435258005086022,"[1, 1]",100.0,3,3,None,0.22018491401104257,,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
Triangle,3000,0,6,6,6,,64.23648969799979,None,3000,66.26492634700844,None,None,66.26492634700844,None,1.7,7,69.29906783200568,None,None,0,,69.29906783200568,None,You did not win or lose anything!,10,3,5,0.3,85.71428571428571,0.2435258005086022,"[1, 1]",100.0,3,3,None,0.22018491401104257,,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
SmallReward,2000,0,7,7,7,,71.34896750102052,None,2000,73.38301294797566,None,None,73.38301294797566,None,1.7,8,75.43231899099192,None,1,1,0.23842911404790357,75.43231899099192,None,You won $0.20!,10.2,2,6,0.25,87.5,0.24279770244278812,[],100.0,6,3,None,0.23842911404790357,Adjusting RT...,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
Triangle,2000,0,8,8,8,,77.47053338901605,None,2000,79.50116990797687,None,None,79.50116990797687,None,1.75,9,81.53436332300771,None,None,0,,81.53436332300771,None,You did not win or lose anything!,10.2,3,6,0.25,77.77777777777779,0.24279770244278812,[],100.0,6,3,None,0.23842911404790357,,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
SmallReward,2500,0,9,9,9,,83.58496388001367,None,2500,85.61880639998708,None,None,85.61880639998708,None,1.75,10,88.16784220997943,None,None,0,,88.16784220997943,None,You did not win $0.20!,10.2,2,7,0.25,70.0,0.24279770244278812,[0],100.0,6,3,None,0.23842911404790357,,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
Triangle,3500,0,10,10,10,,90.2048730860115,None,3500,92.23552086699056,None,None,92.23552086699056,None,1.75,11,95.76962887099944,None,None,0,,95.76962887099944,None,You did not win or lose anything!,10.2,3,7,0.25,63.63636363636363,0.24279770244278812,[0],100.0,6,3,1,0.252639917016495,,0.002639917016495019,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
SmallReward,4000,0,11,11,11,,97.8193480729824,None,4000,99.85353215999203,None,None,99.85353215999203,None,1.75,12,103.9034213279956,None,None,0,,103.9034213279956,None,You did not win $0.20!,10.2,2,8,0.25,58.333333333333336,0.24279770244278812,"[0, 0]",100.0,6,3,1,0.2807953199953772,,0.030795319995377213,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
SmallPun,4000,0,12,12,12,,105.93915280199144,None,4000,107.97126220801147,None,None,107.97126220801147,None,1.75,13,112.00449707900407,None,None,0,,112.00449707900407,None,You lost $0.20!,10.0,5,9,0.27,53.84615384615385,0.24279770244278812,[],50.0,9,3,1,0.2605863440362737,Adjusting RT...,-0.009413655963726342,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
SmallReward,1500,0,13,13,13,,114.0552100649802,None,1500,116.08841022098204,None,None,116.08841022098204,None,1.73,14,117.6381748120184,None,None,0,,117.6381748120184,None,You did not win $0.20!,10.0,2,10,0.27,50.0,0.24279770244278812,[0],50.0,9,3,None,0.2605863440362737,,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
