Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,1500,0,0,0,0,TimeVersion1.csv,23.244239473016933,None,1500,25.26118477602722,None,None,25.26118477602722,None,1.65,1,26.811352243006695,None,None,0,26.811352243006695,None,You did not win $5.00!,0,1,1,0.35,0.0,nan,[0],0,0,3,1,0.0904052080004476,0.4404052080004476,,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
Triangle,3500,0,1,1,1,,28.861333364038728,None,3500,30.895043307042215,None,None,30.895043307042215,None,1.65,2,34.42817151203053,None,None,0,34.42817151203053,None,You did not win or lose anything!,0,3,1,0.35,0.0,nan,[0],0,0,3,None,,0.4404052080004476,,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
LgPun,1500,0,2,2,2,,36.47788468003273,None,1500,38.51191404700512,None,None,38.51191404700512,None,1.65,3,40.04476324701682,None,1,1,40.04476324701682,None,You did not lose $5.00!,0,4,2,0.35,33.33333333333333,0.25647648703306913,"[0, 1]",0,0,3,None,,0.25647648703306913,0.25647648703306913,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
SmallReward,3500,0,3,3,3,,42.09551313199336,None,3500,44.129342350002844,None,None,44.129342350002844,None,1.65,4,47.67926068499219,None,None,0,47.67926068499219,None,You did not win $0.20!,0,2,3,0.38999999999999996,25.0,0.25647648703306913,[],33.33333333333333,3,3,1,0.07766889000777155,0.4676688900077715,,Adjusting RT...,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
LgReward,1500,0,4,4,4,,49.729102579993196,None,1500,51.7626225129934,None,None,51.7626225129934,None,1.61,5,53.31297447200632,None,1,1,53.31297447200632,None,You won $5.00!,5,1,4,0.38999999999999996,40.0,0.2618121725099627,[1],33.33333333333333,3,3,None,,0.26714785798685625,0.26714785798685625,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
LgPun,2500,0,5,5,5,,55.34615268104244,None,2500,57.37929267802974,None,None,57.37929267802974,None,1.61,6,59.91342243301915,None,1,1,59.91342243301915,None,You did not lose $5.00!,5,4,5,0.38999999999999996,50.0,0.2484860276648154,"[1, 1]",33.33333333333333,3,3,None,,0.22183373797452077,0.22183373797452077,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
LgReward,3500,0,6,6,6,,61.9631355520105,None,3500,63.997372926038224,None,None,63.997372926038224,None,1.61,7,67.54658465803368,None,1,1,67.54658465803368,None,You won $5.00!,10,1,6,0.36999999999999994,57.14285714285714,0.24450395675376058,[],66.66666666666666,6,3,None,,0.23255774402059615,0.23255774402059615,Adjusting RT...,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
LgPun,2000,0,7,7,7,,69.58046031900449,None,2000,71.61474491201807,None,None,71.61474491201807,None,1.6300000000000001,8,73.64731911499985,None,None,0,73.64731911499985,None,You lost $5.00!,5,4,7,0.36999999999999994,50.0,0.24450395675376058,[0],66.66666666666666,6,3,1,0.004061502986587584,0.3740615029865875,,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
Triangle,1500,0,8,8,8,,75.68008536903653,None,1500,77.71484413201688,None,None,77.71484413201688,None,1.6300000000000001,9,79.24754908203613,None,1,1,79.24754908203613,None,You did not win or lose anything!,5,3,7,0.36999999999999994,55.55555555555556,0.2523479096009396,[0],66.66666666666666,6,3,None,,0.2837237209896557,0.2837237209896557,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
SmallPun,4000,0,9,9,9,,81.28173327201512,None,4000,83.31490635301452,None,None,83.31490635301452,None,1.6300000000000001,10,87.34797374502523,None,1,1,87.34797374502523,None,You did not lose $0.20!,5,5,8,0.36999999999999994,60.0,0.2510006895075397,"[0, 1]",66.66666666666666,6,3,None,,0.24426458904054016,0.24426458904054016,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
