Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,feedback_resp.rt,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,49.727811917022336,None,2000,51.74475100002019,None,None,51.74475100002019,None,1.65,1,53.79932227003155,None,None,0,53.79932227003155,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,None,,,,,021,Practice,2,2019_Aug_31_1119,MID,3.1.5,60.2015467186761,
LgReward,2000,0,1,1,1,,55.87841760303127,None,2000,57.912629094033036,None,None,57.912629094033036,None,1.65,2,59.961831086024176,None,None,0,59.961831086024176,None,You did not win $5.00!,0,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,1,0.4749635120038874,0.12496351200388744,,,021,Practice,2,2019_Aug_31_1119,MID,3.1.5,60.2015467186761,
SmallPun,2000,0,2,2,2,,61.99586168100359,None,2000,64.029849639046,None,None,64.029849639046,None,1.65,3,66.06244829203933,None,None,0,66.06244829203933,None,You lost $0.20!,-0.2,5,3,0.42,0.0,nan,[],0.0,3,3,None,0.4749635120038874,,Adjusting RT...,,021,Practice,2,2019_Aug_31_1119,MID,3.1.5,60.2015467186761,
LgPun,2000,0,3,3,3,,68.09617612004513,None,2000,70.11823506199289,None,None,70.11823506199289,None,1.58,4,72.16353978804545,None,None,0,72.16353978804545,None,You lost $5.00!,-5.2,4,4,0.42,0.0,nan,[0],0.0,3,3,None,0.4749635120038874,,,,021,Practice,2,2019_Aug_31_1119,MID,3.1.5,60.2015467186761,
Triangle,2000,0,4,4,4,,74.1961541310302,None,2000,76.23058850702364,None,None,76.23058850702364,None,1.58,5,78.2631400260143,None,1,1,78.2631400260143,None,You did not win or lose anything!,-5.2,3,4,0.42,20.0,0.2673871539882384,[0],0.0,3,3,None,0.2673871539882384,,,0.2673871539882384,021,Practice,2,2019_Aug_31_1119,MID,3.1.5,60.2015467186761,
LgReward,2000,0,5,5,5,,80.31348583003273,None,2000,82.33660838002106,None,None,82.33660838002106,None,1.58,6,84.39694666402647,None,1,1,84.39694666402647,None,You won $5.00!,-0.20000000000000018,1,5,0.42,33.33333333333333,0.2775161055033095,"[0, 1]",0.0,3,3,None,0.2876450570183806,,,0.2876450570183806,021,Practice,2,2019_Aug_31_1119,MID,3.1.5,60.2015467186761,
SmallPun,2000,0,6,6,6,,86.43026797001949,None,2000,88.45440008601872,None,None,88.45440008601872,None,1.58,7,90.49705847399309,None,1,1,90.49705847399309,None,You did not lose $0.20!,-0.20000000000000018,5,6,0.45999999999999996,42.857142857142854,0.2865375446660134,[],33.33333333333333,6,3,None,0.3045804229914211,,Adjusting RT...,0.3045804229914211,021,Practice,2,2019_Aug_31_1119,MID,3.1.5,60.2015467186761,
SmallReward,2000,0,7,7,7,,92.54787838703487,None,2000,94.57124519604258,None,None,94.57124519604258,None,1.54,8,96.63053942099214,None,1,1,96.63053942099214,None,You won $0.20!,-1.6653345369377348e-16,2,7,0.45999999999999996,50.0,0.29643461300292984,[1],33.33333333333333,6,3,None,0.32612581801367924,,,0.32612581801367924,021,Practice,2,2019_Aug_31_1119,MID,3.1.5,60.2015467186761,
Triangle,2000,0,8,8,8,,98.68149915401591,None,2000,100.7060748669901,None,None,100.7060748669901,None,1.54,9,102.74893543799408,None,1,1,102.74893543799408,None,You did not win or lose anything!,-1.6653345369377348e-16,3,7,0.45999999999999996,55.55555555555556,0.3132927456055768,[1],33.33333333333333,6,3,None,0.38072527601616457,,,0.38072527601616457,021,Practice,2,2019_Aug_31_1119,MID,3.1.5,60.2015467186761,
LgReward,2000,0,9,9,9,,104.8154170110356,None,2000,106.83951530401828,None,None,106.83951530401828,None,1.54,10,108.89170939504402,None,1,1,108.89170939504402,None,You won $5.00!,5.0,1,8,0.45999999999999996,60.0,0.3207149411706875,"[1, 1]",33.33333333333333,6,3,None,0.35782591899624094,,,0.35782591899624094,021,Practice,2,2019_Aug_31_1119,MID,3.1.5,60.2015467186761,
LgPun,2000,0,10,10,10,,110.94895673700375,None,2000,112.97421469801338,None,None,112.97421469801338,None,1.54,11,115.01549352199072,None,1,1,115.01549352199072,None,You did not lose $5.00!,5.0,4,9,0.42999999999999994,63.63636363636363,0.3127677150020775,[],83.33333333333333,9,3,None,0.26508435799041763,,Adjusting RT...,0.26508435799041763,021,Practice,2,2019_Aug_31_1119,MID,3.1.5,60.2015467186761,
SmallPun,2000,0,11,11,11,,117.06592499103863,None,2000,119.09183957899222,None,None,119.09183957899222,None,1.57,12,121.13244234002195,None,1,1,121.13244234002195,None,You did not lose $0.20!,5.0,5,10,0.42999999999999994,66.66666666666666,0.3125738761300454,[1],83.33333333333333,9,3,None,0.31121700402582064,,,0.31121700402582064,021,Practice,2,2019_Aug_31_1119,MID,3.1.5,60.2015467186761,
SmallReward,2000,0,12,12,12,,123.19941453001229,None,2000,125.22596049000276,None,None,125.22596049000276,None,1.57,13,127.27732878999086,None,1,1,127.27732878999086,None,You won $0.20!,5.2,2,11,0.42999999999999994,69.23076923076923,0.3108738868937103,"[1, 1]",83.33333333333333,9,3,None,0.2972739730030298,,,0.2972739730030298,021,Practice,2,2019_Aug_31_1119,MID,3.1.5,60.2015467186761,
LgPun,2000,0,13,13,13,,129.33356007403927,None,2000,131.35966738400748,None,None,131.35966738400748,None,1.57,14,133.40045660402393,None,1,1,133.40045660402393,None,You did not lose $5.00!,5.2,4,12,0.37999999999999995,71.42857142857143,0.3071981570043135,[],100.0,12,3,None,0.2741165879997425,,Adjusting RT...,0.2741165879997425,021,Practice,2,2019_Aug_31_1119,MID,3.1.5,60.2015467186761,
Triangle,2000,0,14,14,14,,135.43366277602036,None,2000,137.4605965820374,None,None,137.4605965820374,None,1.62,15,139.5009290180169,None,None,0,139.5009290180169,None,You did not win or lose anything!,5.2,3,12,0.37999999999999995,66.66666666666666,0.3071981570043135,[],100.0,12,3,1,0.3833913920051418,0.0033913920051418245,,,021,Practice,2,2019_Aug_31_1119,MID,3.1.5,60.2015467186761,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021,Practice,2,2019_Aug_31_1119,MID,3.1.5,60.2015467186761,
