Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,feedback_resp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
Triangle,2000,0,0,0,0,TimeVersion8.csv,34.67745982698398,None,2000,36.694388558971696,None,None,36.694388558971696,None,1.62,1,38.73306397697888,None,1,1,0.2711903700255789,38.73306397697888,None,You did not win or lose anything!,0,3,0,0.37999999999999995,100.0,0.2711903700255789,[],0,0,3,None,0.2711903700255789,,,,021,Scanner,2,2019_Aug_31_1128,MID,3.1.5,59.99180415622089,
SmallReward,3500,0,1,1,1,,40.7945633889758,None,3500,42.817528689978644,None,None,42.817528689978644,None,1.62,2,46.3782952609472,None,1,1,0.26577568001812324,46.3782952609472,None,You won $0.20!,0.2,2,1,0.37999999999999995,100.0,0.26848302502185106,[1],0,0,3,None,0.26577568001812324,,,,021,Scanner,2,2019_Aug_31_1128,MID,3.1.5,59.99180415622089,
LgPun,2000,0,2,2,2,,48.428167392965406,None,2000,50.45174751395825,None,None,50.45174751395825,None,1.62,3,52.494783631002065,None,None,0,,52.494783631002065,None,You lost $5.00!,-4.8,4,2,0.37999999999999995,66.66666666666666,0.26848302502185106,"[1, 0]",0,0,3,1,0.3816382859903387,0.0016382859903387725,,,021,Scanner,2,2019_Aug_31_1128,MID,3.1.5,59.99180415622089,
SmallReward,1500,0,3,3,3,,54.56219110300299,None,1500,56.58566138596507,None,None,56.58566138596507,None,1.62,4,58.14598957198905,None,1,1,0.2821049329941161,58.14598957198905,None,You won $0.20!,-4.6,2,3,0.35999999999999993,75.0,0.27302366101260606,[],66.66666666666666,3,3,None,0.2821049329941161,,Adjusting RT...,,021,Scanner,2,2019_Aug_31_1128,MID,3.1.5,59.99180415622089,
LgReward,4000,0,4,4,4,,60.21198809996713,None,4000,62.24670756695559,None,None,62.24670756695559,None,1.6400000000000001,5,66.296464146988,None,1,1,0.25176135601941496,66.296464146988,None,You won $5.00!,0.40000000000000036,1,4,0.35999999999999993,80.0,0.2677080847643083,[1],66.66666666666666,3,3,None,0.25176135601941496,,,,021,Scanner,2,2019_Aug_31_1128,MID,3.1.5,59.99180415622089,
LgPun,1500,0,5,5,5,,68.34623789496254,None,1500,70.37138505099574,None,None,70.37138505099574,None,1.6400000000000001,6,71.91371360397898,None,None,0,,71.91371360397898,None,You lost $5.00!,-4.6,4,5,0.35999999999999993,66.66666666666666,0.2677080847643083,"[1, 0]",66.66666666666666,3,3,1,0.36210397003684186,0.002103970036841929,,,021,Scanner,2,2019_Aug_31_1128,MID,3.1.5,59.99180415622089,
Triangle,3500,0,6,6,6,,73.96362766897073,None,3500,75.98800885496894,None,None,75.98800885496894,None,1.6400000000000001,7,79.52991912595462,None,1,1,0.2732361390371807,79.52991912595462,None,You did not win or lose anything!,-4.6,3,5,0.35999999999999993,71.42857142857143,0.2688136956188828,"[1, 0]",66.66666666666666,3,3,None,0.2732361390371807,,,,021,Scanner,2,2019_Aug_31_1128,MID,3.1.5,59.99180415622089,
LgPun,1500,0,7,7,7,,81.57986767496914,None,1500,83.60581462696427,None,None,83.60581462696427,None,1.6400000000000001,8,85.14723695098655,None,1,1,0.02687418198911473,85.14723695098655,None,You did not lose $5.00!,-4.6,4,6,0.3399999999999999,75.0,0.22849044334725477,[],66.66666666666666,6,3,None,0.02687418198911473,,Adjusting RT...,,021,Scanner,2,2019_Aug_31_1128,MID,3.1.5,59.99180415622089,
SmallReward,1500,0,8,8,8,,87.20669064397225,None,1500,89.24070581997512,None,None,89.24070581997512,None,1.6600000000000001,9,90.7906774149742,None,1,1,0.30054991197539493,90.7906774149742,None,You won $0.20!,-4.3999999999999995,2,7,0.3399999999999999,77.77777777777779,0.23878465315127478,[1],66.66666666666666,6,3,None,0.30054991197539493,,,,021,Scanner,2,2019_Aug_31_1128,MID,3.1.5,59.99180415622089,
SmallPun,2500,0,9,9,9,,92.8308760499931,None,2500,94.85769811895443,None,None,94.85769811895443,None,1.6600000000000001,10,97.39808742998866,None,None,0,,97.39808742998866,None,You lost $0.20!,-4.6,5,8,0.3399999999999999,70.0,0.23878465315127478,"[1, 0]",66.66666666666666,6,3,1,0.3455929160444065,0.005592916044406593,,,021,Scanner,2,2019_Aug_31_1128,MID,3.1.5,59.99180415622089,
