Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,probeResp.rt,AdjRTmsg,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,51.59539041100652,None,2000,53.625323090993334,None,None,53.625323090993334,None,1.65,1,55.67493720499624,None,None,0,55.67493720499624,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,None,,,,,022,Practice,2,2019_Sep_10_1050,MID,3.1.5,60.122225720046565,
LgReward,2000,0,1,1,1,,57.741977504992974,None,2000,59.77613524100161,None,None,59.77613524100161,None,1.65,2,61.82523770000262,None,1,1,61.82523770000262,None,You won $5.00!,5,1,2,0.35,50.0,0.2633143739949446,"[0, 1]",0,0,3,None,0.2633143739949446,0.2633143739949446,,,022,Practice,2,2019_Sep_10_1050,MID,3.1.5,60.122225720046565,
SmallPun,2000,0,2,2,2,,63.85935134399915,None,2000,65.89263436700276,None,None,65.89263436700276,None,1.65,3,67.92603415899794,None,None,0,67.92603415899794,None,You lost $0.20!,4.8,5,3,0.38999999999999996,33.33333333333333,0.2633143739949446,[],33.33333333333333,3,3,None,0.2633143739949446,,Adjusting RT...,,022,Practice,2,2019_Sep_10_1050,MID,3.1.5,60.122225720046565,
LgPun,2000,0,3,3,3,,69.95893625699682,None,2000,71.99266033900494,None,None,71.99266033900494,None,1.61,4,74.0263323639956,None,None,0,74.0263323639956,None,You lost $5.00!,-0.20000000000000018,4,4,0.38999999999999996,25.0,0.2633143739949446,[0],33.33333333333333,3,3,None,0.2633143739949446,,,,022,Practice,2,2019_Sep_10_1050,MID,3.1.5,60.122225720046565,
Triangle,2000,0,4,4,4,,76.05880455099395,None,2000,78.09387023000454,None,None,78.09387023000454,None,1.61,5,80.12692846200662,None,None,0,80.12692846200662,None,You did not win or lose anything!,-0.20000000000000018,3,4,0.38999999999999996,20.0,0.2633143739949446,[0],33.33333333333333,3,3,None,0.2633143739949446,,,,022,Practice,2,2019_Sep_10_1050,MID,3.1.5,60.122225720046565,
LgReward,2000,0,5,5,5,,82.19383974499942,None,2000,84.22799323800427,None,None,84.22799323800427,None,1.61,6,86.27644090399554,None,1,1,86.27644090399554,None,You won $5.00!,4.8,1,5,0.38999999999999996,33.33333333333333,0.2806480214931071,"[0, 1]",33.33333333333333,3,3,None,0.29798166899126954,0.29798166899126954,,,022,Practice,2,2019_Sep_10_1050,MID,3.1.5,60.122225720046565,
SmallPun,2000,0,6,6,6,,88.31102598299913,None,2000,90.34477745500044,None,None,90.34477745500044,None,1.61,7,92.37758860600297,None,None,0,92.37758860600297,None,You lost $0.20!,4.6,5,6,0.42999999999999994,28.57142857142857,0.2806480214931071,[],33.33333333333333,6,3,None,0.29798166899126954,,Adjusting RT...,,022,Practice,2,2019_Sep_10_1050,MID,3.1.5,60.122225720046565,
SmallReward,2000,0,7,7,7,,94.44463203499618,None,2000,96.47869725100463,None,None,96.47869725100463,None,1.57,8,98.51807437300158,None,1,1,98.51807437300158,None,You won $0.20!,4.8,2,7,0.42999999999999994,37.5,0.2455597196628029,[1],33.33333333333333,6,3,None,0.17538311600219458,0.17538311600219458,,,022,Practice,2,2019_Sep_10_1050,MID,3.1.5,60.122225720046565,
Triangle,2000,0,8,8,8,,100.57792942899687,None,2000,102.61239094700431,None,None,102.61239094700431,None,1.57,9,104.64552153499972,None,1,1,104.64552153499972,None,You did not win or lose anything!,4.8,3,7,0.42999999999999994,44.44444444444444,0.24639919474793714,[1],33.33333333333333,6,3,None,0.24891762000333983,0.24891762000333983,,,022,Practice,2,2019_Sep_10_1050,MID,3.1.5,60.122225720046565,
LgReward,2000,0,9,9,9,,106.71203453300404,None,2000,108.74622036199435,None,None,108.74622036199435,None,1.57,10,110.78597276599612,None,1,1,110.78597276599612,None,You won $5.00!,9.8,1,8,0.42999999999999994,50.0,0.24403005979838782,"[1, 1]",33.33333333333333,6,3,None,0.23455352000019047,0.23455352000019047,,,022,Practice,2,2019_Sep_10_1050,MID,3.1.5,60.122225720046565,
LgPun,2000,0,10,10,10,,112.81142488599289,None,2000,114.83554144899244,None,None,114.83554144899244,None,1.57,11,116.87956081499578,None,None,0,116.87956081499578,None,You lost $5.00!,4.800000000000001,4,9,0.44999999999999996,45.45454545454545,0.24403005979838782,[],49.99999999999999,9,3,None,0.23455352000019047,,Adjusting RT...,,022,Practice,2,2019_Sep_10_1050,MID,3.1.5,60.122225720046565,
SmallPun,2000,0,11,11,11,,118.91281828499632,None,2000,120.94687142700423,None,None,120.94687142700423,None,1.55,12,122.97980769599963,None,None,0,122.97980769599963,None,You lost $0.20!,4.6000000000000005,5,10,0.44999999999999996,41.66666666666667,0.24403005979838782,[0],49.99999999999999,9,3,2,0.5676072020025458,,,0.11760720200254582,022,Practice,2,2019_Sep_10_1050,MID,3.1.5,60.122225720046565,
