Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,fixationResp.rt,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,62.95272960900911,None,2000,64.93527678400278,None,None,64.93527678400278,None,1.65,1,66.97114286999567,None,None,0,66.97114286999567,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,1,0.2158569110033568,0.5658569110033568,,,,023,Practice,2,2019_Aug_29_0931,MID,3.1.5,24.0232475475003,
LgReward,2000,0,1,1,1,,68.97563625100884,None,2000,70.98644300701562,None,None,70.98644300701562,None,1.65,2,73.00811279501067,None,None,0,73.00811279501067,None,You did not win $5.00!,0,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,None,,0.5658569110033568,,,,023,Practice,2,2019_Aug_29_0931,MID,3.1.5,24.0232475475003,
SmallPun,2000,0,2,2,2,,75.01752239599591,None,2000,77.03779884200776,None,1,77.03779884200776,None,1.65,3,79.03819917602232,None,None,0,79.03819917602232,None,You lost $0.20!,-0.2,5,3,0.42,0.0,nan,[],0.0,3,3,1,0.036141397984465584,0.45614139798446557,0.3863386549928691,Adjusting RT...,,023,Practice,2,2019_Aug_29_0931,MID,3.1.5,24.0232475475003,
LgPun,2000,0,3,3,3,,81.01638151300722,None,2000,83.03802028502105,None,None,83.03802028502105,None,1.58,4,85.03873441999895,None,1,1,85.03873441999895,None,You did not lose $5.00!,-0.2,4,4,0.42,25.0,0.3462735039938707,[1],0.0,3,3,None,,0.3462735039938707,,,0.3462735039938707,023,Practice,2,2019_Aug_29_0931,MID,3.1.5,24.0232475475003,
Triangle,2000,0,4,4,4,,87.05806649901206,None,2000,89.07200343802106,None,None,89.07200343802106,None,1.58,5,91.07157851700322,None,None,0,91.07157851700322,None,You did not win or lose anything!,-0.2,3,4,0.42,20.0,0.3462735039938707,[1],0.0,3,3,None,,0.3462735039938707,,,,023,Practice,2,2019_Aug_29_0931,MID,3.1.5,24.0232475475003,
LgReward,2000,0,5,5,5,,93.10001648101024,None,2000,95.10680735702044,None,None,95.10680735702044,None,1.58,6,97.12876988900825,None,1,1,97.12876988900825,None,You won $5.00!,4.8,1,5,0.42,33.33333333333333,0.3453043314948445,"[1, 1]",0.0,3,3,None,,0.34433515899581835,,,0.34433515899581835,023,Practice,2,2019_Aug_29_0931,MID,3.1.5,24.0232475475003,
SmallPun,2000,0,6,6,6,,99.14220682100859,None,2000,101.15668701799586,None,None,101.15668701799586,None,1.58,7,103.15577510400908,None,1,1,103.15577510400908,None,You did not lose $0.20!,4.8,5,6,0.44,42.857142857142854,0.3406454663296851,[],50.0,6,3,None,,0.33132773599936627,,Adjusting RT...,0.33132773599936627,023,Practice,2,2019_Aug_29_0931,MID,3.1.5,24.0232475475003,
SmallReward,2000,0,7,7,7,,105.18404647600255,None,2000,107.1910040609946,None,None,107.1910040609946,None,1.56,8,109.21476146401255,None,1,1,109.21476146401255,None,You won $0.20!,5.0,2,7,0.44,50.0,0.3448134552454576,[1],50.0,6,3,None,,0.35731742199277505,,,0.35731742199277505,023,Practice,2,2019_Aug_29_0931,MID,3.1.5,24.0232475475003,
Triangle,2000,0,8,8,8,,111.22583848601789,None,2000,113.2424475220032,None,None,113.2424475220032,None,1.56,9,115.24337659901357,None,1,1,115.24337659901357,None,You did not win or lose anything!,5.0,3,7,0.44,55.55555555555556,0.34778101079864426,[1],50.0,6,3,None,,0.359651233011391,,,0.359651233011391,023,Practice,2,2019_Aug_29_0931,MID,3.1.5,24.0232475475003,
LgReward,2000,0,9,9,9,,117.22856216601213,None,2000,119.24336372001562,None,None,119.24336372001562,None,1.56,10,121.26019114200608,None,None,0,121.26019114200608,None,You did not win $5.00!,5.0,1,8,0.44,50.0,0.34778101079864426,"[1, 0]",50.0,6,3,None,,0.359651233011391,,,,023,Practice,2,2019_Aug_29_0931,MID,3.1.5,24.0232475475003,
LgPun,2000,0,10,10,10,,123.26803397899494,None,2000,125.27725218000705,None,None,125.27725218000705,None,1.56,11,127.29368495501694,None,1,1,127.29368495501694,None,You did not lose $5.00!,5.0,4,9,0.41000000000000003,54.54545454545454,0.3440598703309661,[],83.33333333333333,9,3,None,,0.3254541679925751,,Adjusting RT...,0.3254541679925751,023,Practice,2,2019_Aug_29_0931,MID,3.1.5,24.0232475475003,
SmallPun,2000,0,11,11,11,,129.268292570021,None,2000,131.2782283819979,None,None,131.2782283819979,None,1.5899999999999999,12,133.28544212400448,None,1,1,133.28544212400448,None,You did not lose $0.20!,5.0,5,10,0.41000000000000003,58.333333333333336,0.3415784462829054,[1],83.33333333333333,9,3,None,,0.3266899019945413,,,0.3266899019945413,023,Practice,2,2019_Aug_29_0931,MID,3.1.5,24.0232475475003,
SmallReward,2000,0,12,12,12,,135.31015518200002,None,2000,137.3287056540139,None,None,137.3287056540139,None,1.5899999999999999,13,139.34473584900843,None,1,1,139.34473584900843,None,You won $0.20!,5.2,2,11,0.41000000000000003,61.53846153846154,0.33880649337152136,"[1, 1]",83.33333333333333,9,3,None,,0.3194028229918331,,,0.3194028229918331,023,Practice,2,2019_Aug_29_0931,MID,3.1.5,24.0232475475003,
LgPun,2000,0,13,13,13,,141.35244301901548,None,2000,143.36303506500553,None,None,143.36303506500553,None,1.5899999999999999,14,145.3796769909968,None,None,0,145.3796769909968,None,You lost $5.00!,0.20000000000000018,4,12,0.39,57.14285714285714,0.33880649337152136,[],66.66666666666666,12,3,None,,0.3194028229918331,,Adjusting RT...,,023,Practice,2,2019_Aug_29_0931,MID,3.1.5,24.0232475475003,
Triangle,2000,0,14,14,14,,147.39592373202322,None,2000,149.41322209400823,None,None,149.41322209400823,None,1.6099999999999999,15,151.4137655980012,None,None,0,151.4137655980012,None,You did not win or lose anything!,0.20000000000000018,3,12,0.39,53.333333333333336,0.33880649337152136,[],66.66666666666666,12,3,1,0.004214805987430736,0.39421480598743075,,,,023,Practice,2,2019_Aug_29_0931,MID,3.1.5,24.0232475475003,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,023,Practice,2,2019_Aug_29_0931,MID,3.1.5,24.0232475475003,
