Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,probeResp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,1500,0,0,0,0,TimeVersion11.csv,43.596263037994504,None,1500,45.61120732099516,None,None,45.61120732099516,None,1.6099999999999999,1,47.11397307200241,None,None,0,47.11397307200241,None,You lost $0.20!,-0.2,5,1,0.39,0.0,nan,[0],0,0,3,None,,,,,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
LgPun,1500,0,1,1,1,,49.09428001899505,None,1500,51.11205263499869,None,None,51.11205263499869,None,1.6099999999999999,2,52.61220113901072,None,None,0,52.61220113901072,None,You lost $5.00!,-5.2,4,2,0.39,0.0,nan,"[0, 0]",0,0,3,None,,,,,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
Triangle,3500,0,2,2,2,,54.594609015999595,None,3500,56.61254271300277,None,None,56.61254271300277,None,1.6099999999999999,3,60.11306460600463,None,None,0,60.11306460600463,None,You did not win or lose anything!,-5.2,3,2,0.39,0.0,nan,"[0, 0]",0,0,3,None,,,,,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
Triangle,1500,0,3,3,3,,62.09472690499388,None,1500,64.11333670798922,None,None,64.11333670798922,None,1.6099999999999999,4,65.614288184006,None,None,0,65.614288184006,None,You did not win or lose anything!,-5.2,3,2,0.39,0.0,nan,"[0, 0]",0,0,3,None,,,,,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
LgReward,3500,0,4,4,4,,67.59494186699158,None,3500,69.61345218200586,None,None,69.61345218200586,None,1.6099999999999999,5,73.13052680200781,None,None,0,73.13052680200781,None,You did not win $5.00!,-5.2,1,3,0.46,0.0,nan,[],0.0,3,3,1,0.46241794000612574,Adjusting RT...,0.0024179400061257184,,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
SmallReward,3000,0,5,5,5,,75.0953899140004,None,3000,77.11529009300284,None,None,77.11529009300284,None,1.54,6,80.13081362200319,None,1,1,80.13081362200319,None,You won $0.20!,-5.0,2,4,0.46,16.666666666666664,0.306997945997864,[1],0.0,3,3,None,0.306997945997864,,,0.306997945997864,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
SmallPun,1500,0,6,6,6,,82.13694321698858,None,1500,84.14258648900432,None,None,84.14258648900432,None,1.54,7,85.65581133100204,None,None,0,85.65581133100204,None,You lost $0.20!,-5.2,5,5,0.46,14.285714285714285,0.306997945997864,"[1, 0]",0.0,3,3,None,0.306997945997864,,,,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
SmallReward,1500,0,7,7,7,,87.67902452099952,None,1500,89.68592386398814,None,None,89.68592386398814,None,1.54,8,91.21601403600653,None,1,1,91.21601403600653,None,You won $0.20!,-5.0,2,6,0.5,25.0,0.30240283800230827,[],33.33333333333333,6,3,None,0.29780773000675254,Adjusting RT...,,0.29780773000675254,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
LgReward,3000,0,8,8,8,,93.22046884399606,None,3000,95.23307379998732,None,None,95.23307379998732,None,1.5,9,98.25120312999934,None,1,1,98.25120312999934,None,You won $5.00!,0.0,1,7,0.5,33.33333333333333,0.31317546300124377,[1],33.33333333333333,6,3,None,0.33472071299911477,,,0.33472071299911477,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
LgPun,1500,0,9,9,9,,100.26345932399272,None,1500,102.26929795899196,None,None,102.26929795899196,None,1.5,10,103.7857341679919,None,1,1,103.7857341679919,None,You did not lose $5.00!,0.0,4,8,0.5,40.0,0.33517914399999427,"[1, 1]",33.33333333333333,6,3,None,0.40119018699624576,,,0.40119018699624576,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
SmallReward,2000,0,10,10,10,,105.80492312798742,None,2000,107.81877335900208,None,1,107.81877335900208,None,1.5,11,109.8345246980025,None,None,0,109.8345246980025,None,You did not win $0.20!,0.0,2,9,0.48,36.36363636363637,0.33517914399999427,[],66.66666666666666,9,3,1,0.7164238050067797,Adjusting RT...,0.23642380500677973,,0.39218176901340485,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
LgReward,2000,0,11,11,11,,111.8488049239968,None,2000,113.85412900798838,None,None,113.85412900798838,None,1.52,12,115.88619024600484,None,1,1,115.88619024600484,None,You won $5.00!,5.0,1,10,0.48,41.66666666666667,0.3422910303983372,[1],66.66666666666666,9,3,None,0.3707385759917088,,,0.3707385759917088,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
Triangle,2500,0,12,12,12,,117.88904586900026,None,2500,119.8948184089968,None,None,119.8948184089968,None,1.52,13,122.40744391200133,None,None,0,122.40744391200133,None,You did not win or lose anything!,5.0,3,10,0.48,38.46153846153847,0.3422910303983372,[1],66.66666666666666,9,3,None,0.3707385759917088,,,,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
LgReward,1500,0,13,13,13,,124.38915074800025,None,1500,126.39498481800547,None,None,126.39498481800547,None,1.52,14,127.92472888799966,None,1,1,127.92472888799966,None,You won $5.00!,10.0,1,11,0.48,42.857142857142854,0.3496072591660777,"[1, 1]",66.66666666666666,9,3,None,0.3861884030047804,,,0.3861884030047804,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
LgPun,2500,0,14,14,14,,129.93139022801188,None,2500,131.9400852629915,None,None,131.9400852629915,None,1.52,15,134.4484791829891,None,1,1,134.4484791829891,None,You did not lose $5.00!,10.0,4,12,0.44999999999999996,46.666666666666664,0.3537266178588782,[],83.33333333333333,12,3,None,0.37844277001568116,Adjusting RT...,,0.37844277001568116,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
SmallReward,1500,0,15,15,15,,136.43069708000985,None,1500,138.43791775000864,None,None,138.43791775000864,None,1.55,16,139.95500830499805,None,1,1,139.95500830499805,None,You won $0.20!,10.2,2,13,0.44999999999999996,50.0,0.35761144037678605,[1],83.33333333333333,12,3,None,0.38480519800214097,,,0.38480519800214097,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
LgReward,1500,0,16,16,16,,141.9750067089917,None,1500,143.99074498401023,None,None,143.99074498401023,None,1.55,17,145.50689811399207,None,1,1,145.50689811399207,None,You won $5.00!,15.2,1,14,0.44999999999999996,52.94117647058824,0.3596568028895288,"[1, 1]",83.33333333333333,12,3,None,0.3760197029914707,,,0.3760197029914707,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
SmallPun,3500,0,17,17,17,,147.51542188200983,None,3500,149.5243166119908,None,None,149.5243166119908,None,1.55,18,153.03319706200273,None,None,0,153.03319706200273,None,You lost $0.20!,15.0,5,15,0.41999999999999993,50.0,0.3596568028895288,[],83.33333333333333,15,3,None,0.3760197029914707,Adjusting RT...,,,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
LgPun,1500,0,18,18,18,,155.05847470200388,None,1500,157.07537448298535,None,None,157.07537448298535,None,1.58,19,158.5753924800083,None,None,0,158.5753924800083,None,You lost $5.00!,10.0,4,16,0.41999999999999993,47.368421052631575,0.3596568028895288,[0],83.33333333333333,15,3,1,0.42019535201136016,,0.00019535201136022806,,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
LgPun,3500,0,19,19,19,,160.59898881500703,None,3500,162.60957451799186,None,None,162.60957451799186,None,1.58,20,166.11681507900357,None,None,0,166.11681507900357,None,You lost $5.00!,5.0,4,17,0.41999999999999993,45.0,0.3596568028895288,"[0, 0]",83.33333333333333,15,3,1,0.42278795100166455,,0.0027879510016646236,,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
SmallReward,2500,0,20,20,20,,168.146634832985,None,2500,170.1605721169908,None,None,170.1605721169908,None,1.58,21,172.67612784099765,None,None,0,172.67612784099765,None,You did not win $0.20!,5.0,2,18,0.4599999999999999,42.857142857142854,0.3596568028895288,[],33.33333333333333,18,3,None,0.42278795100166455,Adjusting RT...,,,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
LgPun,2000,0,21,21,21,,174.683293064998,None,2000,176.68896040599793,None,None,176.68896040599793,None,1.54,22,178.69965210199007,None,1,1,178.69965210199007,None,You did not lose $5.00!,5.0,4,19,0.4599999999999999,45.45454545454545,0.36221808349946516,[1],33.33333333333333,18,3,None,0.3852696089888923,,,0.3852696089888923,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
Triangle,2000,0,22,22,22,,180.7254238750029,None,2000,182.74536078699748,None,None,182.74536078699748,None,1.54,23,184.74578462098725,None,None,0,184.74578462098725,None,You did not win or lose anything!,5.0,3,19,0.4599999999999999,43.47826086956522,0.36221808349946516,[1],33.33333333333333,18,3,None,0.3852696089888923,,,,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
LgPun,4000,0,23,23,23,,186.76716571999714,None,4000,188.77922525501344,None,None,188.77922525501344,None,1.54,24,192.7853610200109,None,1,1,192.7853610200109,None,You did not lose $5.00!,5.0,4,20,0.4599999999999999,45.83333333333333,0.36515224545358005,"[1, 1]",33.33333333333333,18,3,None,0.39449386499472894,,,0.39449386499472894,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
LgPun,2000,0,24,24,24,,194.808478321007,None,2000,196.83128597401083,None,None,196.83128597401083,None,1.54,25,198.83111699001165,None,None,0,198.83111699001165,None,You lost $5.00!,0.0,4,21,0.4999999999999999,44.0,0.36515224545358005,[],33.33333333333333,21,3,1,0.5086578290211036,Adjusting RT...,0.00865782902110368,,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
SmallPun,1500,0,25,25,25,,200.85087971700705,None,1500,202.8635689849907,None,None,202.8635689849907,None,1.5,26,204.36896377900848,None,None,0,204.36896377900848,None,You lost $0.20!,-0.2,5,22,0.4999999999999999,42.30769230769231,0.36515224545358005,[0],33.33333333333333,21,3,1,0.5040434020047541,,0.004043402004754171,,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
LgPun,3000,0,26,26,26,,206.3931248500012,None,3000,208.39842673699604,None,None,208.39842673699604,None,1.5,27,211.41591088401037,None,1,1,211.41591088401037,None,You did not lose $5.00!,-0.2,4,23,0.4999999999999999,44.44444444444444,0.3704781655008749,"[0, 1]",33.33333333333333,21,3,None,0.429063286021119,,,0.429063286021119,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
LgReward,2000,0,27,27,27,,213.4350895700045,None,2000,215.4495736490062,None,None,215.4495736490062,None,1.5,28,217.4646816739987,None,1,1,217.4646816739987,None,You won $5.00!,4.8,1,24,0.47999999999999987,46.42857142857143,0.36953657784705196,[],66.66666666666666,24,3,None,0.35823752600117587,Adjusting RT...,,0.35823752600117587,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
Triangle,1500,0,28,28,28,,219.47693235101178,None,1500,221.48609204700915,None,None,221.48609204700915,None,1.52,29,222.99374262298807,None,None,0,222.99374262298807,None,You did not win or lose anything!,4.8,3,24,0.47999999999999987,44.827586206896555,0.36953657784705196,[],66.66666666666666,24,3,None,0.35823752600117587,,,,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
Triangle,2000,0,29,29,29,,224.97856346701155,None,2000,226.9844398740097,None,None,226.9844398740097,None,1.52,30,228.99359818498488,None,None,0,228.99359818498488,None,You did not win or lose anything!,4.8,3,24,0.47999999999999987,43.333333333333336,0.36953657784705196,[],66.66666666666666,24,3,None,0.35823752600117587,,,,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
SmallReward,4000,0,30,30,30,,230.9772571240028,None,4000,232.9855140169966,None,None,232.9855140169966,None,1.52,31,237.0179394769948,None,1,1,237.0179394769948,None,You won $0.20!,5.0,2,25,0.47999999999999987,45.16129032258064,0.3724970439299276,[1],66.66666666666666,24,3,None,0.410983103007311,,,0.410983103007311,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
Triangle,4000,0,31,31,31,,239.0183531359944,None,4000,241.0359380739974,None,None,241.0359380739974,None,1.52,32,245.03631301398855,None,None,0,245.03631301398855,None,You did not win or lose anything!,5.0,3,25,0.47999999999999987,43.75,0.3724970439299276,[1],66.66666666666666,24,3,None,0.410983103007311,,,,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
SmallReward,3500,0,32,32,32,,247.02219083698583,None,3500,249.03742561500985,None,None,249.03742561500985,None,1.52,33,252.5531557679933,None,1,1,252.5531557679933,None,You won $0.20!,5.2,2,26,0.47999999999999987,45.45454545454545,0.36838181473431175,"[1, 1]",66.66666666666666,24,3,None,0.31076860599569045,,,0.31076860599569045,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
Triangle,1500,0,33,33,33,,254.52021393799805,None,1500,256.53814952398534,None,None,256.53814952398534,None,1.52,34,258.03838538599666,None,None,0,258.03838538599666,None,You did not win or lose anything!,5.2,3,26,0.47999999999999987,44.11764705882353,0.36838181473431175,"[1, 1]",66.66666666666666,24,3,None,0.31076860599569045,,,,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
SmallReward,1500,0,34,34,34,,260.0209910100093,None,1500,262.0393718999985,None,None,262.0393718999985,None,1.52,35,263.5550418320054,None,1,1,263.5550418320054,None,You won $0.20!,5.4,2,27,0.44999999999999984,45.714285714285715,0.3687880861252779,[],83.33333333333333,27,3,None,0.37488215698977,Adjusting RT...,,0.37488215698977,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
SmallPun,4000,0,35,35,35,,265.5621728769911,None,4000,267.57328729800065,None,None,267.57328729800065,None,1.5500000000000003,36,271.58070569401025,None,1,1,271.58070569401025,None,You did not lose $0.20!,5.4,5,28,0.44999999999999984,47.22222222222222,0.3681003431180109,[1],83.33333333333333,27,3,None,0.3570964550017379,,,0.3570964550017379,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
Triangle,1500,0,36,36,36,,273.60320660998696,None,1500,275.6258203269972,None,None,275.6258203269972,None,1.5500000000000003,37,277.12477011300507,None,None,0,277.12477011300507,None,You did not win or lose anything!,5.4,3,28,0.44999999999999984,45.94594594594595,0.3681003431180109,[1],83.33333333333333,27,3,None,0.3570964550017379,,,,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
