Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,feedback_resp.rt,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,1500,0,0,0,0,TimeVersion1.csv,36.20115313195856,None,1500,38.239620262989774,None,None,38.239620262989774,None,1.6,1,39.81293294596253,None,None,0,39.81293294596253,None,You did not win $5.00!,0,1,1,0.39999999999999997,0.0,nan,[0],0,0,3,None,,,,,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
Triangle,3500,0,1,1,1,,41.85946848400636,None,3500,43.87161520001246,None,None,43.87161520001246,None,1.6,2,47.42555954999989,None,None,0,47.42555954999989,None,You did not win or lose anything!,0,3,1,0.39999999999999997,0.0,nan,[0],0,0,3,1,0.40327475299127397,0.003274752991273999,,,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
LgPun,1500,0,2,2,2,,49.44466407899745,None,1500,51.45715552801266,None,None,51.45715552801266,None,1.6,3,53.00751331099309,None,None,0,53.00751331099309,None,You lost $5.00!,-5,4,2,0.39999999999999997,0.0,nan,"[0, 0]",0,0,3,1,0.40162757001817223,0.001627570018172264,,,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
SmallReward,3500,0,3,3,3,,55.026892210007645,None,3500,57.04073760099709,None,None,57.04073760099709,None,1.6,4,60.60744984599296,None,None,0,60.60744984599296,None,You did not win $0.20!,-5,2,3,0.47,0.0,nan,[],0.0,3,3,None,0.40162757001817223,,Adjusting RT...,,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
LgReward,1500,0,4,4,4,,62.65102373500122,None,1500,64.65737441496458,None,None,64.65737441496458,None,1.53,5,66.22449449199485,None,1,1,66.22449449199485,None,You won $5.00!,0,1,4,0.47,20.0,0.31078802898991853,[1],0.0,3,3,None,0.31078802898991853,,,0.31078802898991853,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
LgPun,2500,0,5,5,5,,68.27762350201374,None,2500,70.29268507601228,None,None,70.29268507601228,None,1.53,6,72.84291991096688,None,1,1,72.84291991096688,None,You did not lose $5.00!,0,4,5,0.47,33.33333333333333,0.3231407174898777,"[1, 1]",0.0,3,3,None,0.3354934059898369,,,0.3354934059898369,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
LgReward,3500,0,6,6,6,,74.86137130396673,None,3500,76.87706368899671,None,None,76.87706368899671,None,1.53,7,80.43469090596773,None,1,1,80.43469090596773,None,You won $5.00!,5,1,6,0.49,42.857142857142854,0.3376127543160692,[],50.0,6,3,None,0.3665568279684521,,Adjusting RT...,0.3665568279684521,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
LgPun,2000,0,7,7,7,,82.44421841297299,None,2000,84.46130637801252,None,None,84.46130637801252,None,1.51,8,86.51045487896772,None,1,1,86.51045487896772,None,You did not lose $5.00!,5,4,7,0.49,50.0,0.3449338169884868,[1],50.0,6,3,None,0.36689700500573963,,,0.36689700500573963,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
Triangle,1500,0,8,8,8,,88.52726898097899,None,1500,90.54566178796813,None,None,90.54566178796813,None,1.51,9,92.09510187397245,None,1,1,92.09510187397245,None,You did not win or lose anything!,5,3,7,0.49,55.55555555555556,0.35157606679713355,[1],50.0,6,3,None,0.3781450660317205,,,0.3781450660317205,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
SmallPun,4000,0,9,9,9,,94.15374543896178,None,4000,96.16394760896219,None,None,96.16394760896219,None,1.51,10,100.2140889170114,None,1,1,100.2140889170114,None,You did not lose $0.20!,5,5,8,0.49,60.0,0.34952426033366163,"[1, 1]",50.0,6,3,None,0.339265228016302,,,0.339265228016302,024,Scanner,2,2019_Aug_30_0929,MID,3.1.5,23.98761114505321,
