Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,probeResp.rt,AdjRTmsg,feedback_resp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,46.88280067400774,None,2000,48.86704526701942,None,None,48.86704526701942,None,1.65,1,50.918387446028646,None,None,0,50.918387446028646,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,None,,,,,,025,Practice,2,2019_Sep_02_0939,MID,3.1.5,59.962773800429936,
LgReward,2000,0,1,1,1,,52.98464584600879,None,2000,55.018052971048746,None,None,55.018052971048746,None,1.65,2,57.067850009014364,None,1,1,57.067850009014364,None,You won $5.00!,5,1,2,0.35,50.0,0.2883175309980288,"[0, 1]",0,0,3,None,0.2883175309980288,0.2883175309980288,,,,025,Practice,2,2019_Sep_02_0939,MID,3.1.5,59.962773800429936,
SmallPun,2000,0,2,2,2,,59.10751138505293,None,2000,61.135360095999204,None,None,61.135360095999204,None,1.65,3,63.17415091302246,None,None,0,63.17415091302246,None,You lost $0.20!,4.8,5,3,0.38999999999999996,33.33333333333333,0.2883175309980288,[],33.33333333333333,3,3,1,0.5190081070037558,,Adjusting RT...,0.12900810700375587,,025,Practice,2,2019_Sep_02_0939,MID,3.1.5,59.962773800429936,
LgPun,2000,0,3,3,3,,65.20702053903369,None,2000,67.23667246801779,None,1,67.23667246801779,None,1.61,4,69.26984452700708,None,1,1,69.26984452700708,None,You did not lose $5.00!,4.8,4,4,0.38999999999999996,50.0,0.26182854050421156,[1],33.33333333333333,3,3,None,0.2353395500103943,0.2353395500103943,,,0.20464738801820204,025,Practice,2,2019_Sep_02_0939,MID,3.1.5,59.962773800429936,
Triangle,2000,0,4,4,4,,71.32398015004583,None,2000,73.35318317002384,None,None,73.35318317002384,None,1.61,5,75.39190660702297,None,None,0,75.39190660702297,None,You did not win or lose anything!,4.8,3,4,0.38999999999999996,40.0,0.26182854050421156,[1],33.33333333333333,3,3,None,0.2353395500103943,,,,,025,Practice,2,2019_Sep_02_0939,MID,3.1.5,59.962773800429936,
LgReward,2000,0,5,5,5,,77.45435893104877,None,2000,79.47126136202132,None,None,79.47126136202132,None,1.61,6,81.52104778803186,None,1,1,81.52104778803186,None,You won $5.00!,9.8,1,5,0.38999999999999996,50.0,0.2639300106675364,"[1, 1]",33.33333333333333,3,3,None,0.2681329509941861,0.2681329509941861,,,,025,Practice,2,2019_Sep_02_0939,MID,3.1.5,59.962773800429936,
SmallPun,2000,0,6,6,6,,83.57569701300235,None,2000,85.6050567770144,None,None,85.6050567770144,None,1.61,7,87.63830658304505,None,1,1,87.63830658304505,None,You did not lose $0.20!,9.8,5,6,0.36999999999999994,57.14285714285714,0.255199600753258,[],66.66666666666666,6,3,None,0.2290083710104227,0.2290083710104227,Adjusting RT...,,,025,Practice,2,2019_Sep_02_0939,MID,3.1.5,59.962773800429936,
SmallReward,2000,0,7,7,7,,89.70578097103862,None,2000,91.73929654899985,None,None,91.73929654899985,None,1.6300000000000001,8,93.78948459704407,None,1,1,93.78948459704407,None,You won $0.20!,10.0,2,7,0.36999999999999994,62.5,0.25212033379357307,[1],66.66666666666666,6,3,None,0.23980326595483348,0.23980326595483348,,,,025,Practice,2,2019_Sep_02_0939,MID,3.1.5,59.962773800429936,
Triangle,2000,0,8,8,8,,95.82250561902765,None,2000,97.85713302105432,None,None,97.85713302105432,None,1.6300000000000001,9,99.88966046000132,None,None,0,99.88966046000132,None,You did not win or lose anything!,10.0,3,7,0.36999999999999994,55.55555555555556,0.25212033379357307,[1],66.66666666666666,6,3,None,0.23980326595483348,,,,,025,Practice,2,2019_Sep_02_0939,MID,3.1.5,59.962773800429936,
LgReward,2000,0,9,9,9,,101.9585614540265,None,2000,103.97422772203572,None,None,103.97422772203572,None,1.6300000000000001,10,106.0243788480293,None,1,1,106.0243788480293,None,You won $5.00!,15.0,1,8,0.36999999999999994,60.0,0.2543948478317664,"[1, 1]",66.66666666666666,6,3,None,0.2657674180227332,0.2657674180227332,,,,025,Practice,2,2019_Sep_02_0939,MID,3.1.5,59.962773800429936,
