Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,probeResp.rt,AdjRTmsg,feedback_resp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,1500,0,0,0,0,TimeVersion14.csv,36.63106802600669,None,1500,38.664211720984895,None,None,38.664211720984895,None,1.6,1,40.232689769996796,None,None,0,40.232689769996796,None,You did not win $0.20!,0,2,1,0.3999999999999999,0.0,nan,[0],0,0,3,None,,,,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
LgReward,1500,0,1,1,1,,42.278994211985264,None,1500,44.29912954400061,None,None,44.29912954400061,None,1.6,2,45.85439255600795,None,1,1,45.85439255600795,None,You won $5.00!,5,1,2,0.3999999999999999,50.0,0.32121464499505237,"[0, 1]",0,0,3,None,0.32121464499505237,0.32121464499505237,,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
LgReward,1500,0,2,2,2,,47.90520663099596,None,1500,49.91723396000452,None,None,49.91723396000452,None,1.6,3,51.48256264202064,None,1,1,51.48256264202064,None,You won $5.00!,10,1,3,0.3799999999999999,66.66666666666666,0.3216268329997547,[],66.66666666666666,3,3,None,0.322039021004457,0.322039021004457,Adjusting RT...,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
SmallReward,4000,0,3,3,3,,53.53075725201052,None,4000,55.53540807001991,None,None,55.53540807001991,None,1.62,4,59.60179974400671,None,None,0,59.60179974400671,None,You did not win $0.20!,10,2,4,0.3799999999999999,50.0,0.3216268329997547,[0],66.66666666666666,3,3,1,0.4959039639751426,,,0.11590396397514269,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
LgPun,1500,0,4,4,4,,61.657900126010645,None,1500,63.669041078013834,None,None,63.669041078013834,None,1.62,5,65.2187413739739,None,None,0,65.2187413739739,None,You lost $5.00!,5,4,5,0.3799999999999999,40.0,0.3216268329997547,"[0, 0]",66.66666666666666,3,3,None,0.4959039639751426,,,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
LgPun,1500,0,5,5,5,,67.28072882600827,None,1500,69.30228545499267,None,None,69.30228545499267,None,1.62,6,70.84161295800004,None,None,0,70.84161295800004,None,You lost $5.00!,0,4,6,0.4199999999999999,33.33333333333333,0.3216268329997547,[],33.33333333333333,6,3,1,0.4289006220223381,,Adjusting RT...,0.008900622022338212,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
LgReward,1500,0,6,6,6,,72.86486633698223,None,1500,74.87048195797252,None,None,74.87048195797252,None,1.58,7,76.4373892369913,None,1,1,76.4373892369913,None,You won $5.00!,5,1,7,0.4199999999999999,42.857142857142854,0.29881882867387805,[1],33.33333333333333,6,3,None,0.2532028200221248,0.2532028200221248,,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
SmallPun,3500,0,7,7,7,,78.49035701598041,None,3500,80.50500053499127,None,None,80.50500053499127,None,1.58,8,84.05476221698336,None,1,1,84.05476221698336,None,You did not lose $0.20!,5,5,8,0.4199999999999999,50.0,0.30807219275448006,"[1, 1]",33.33333333333333,6,3,None,0.33583228499628603,0.33583228499628603,,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
LgReward,4000,0,8,8,8,,86.11531879100949,None,4000,88.1249472660129,None,1,88.1249472660129,None,1.58,9,92.19262832897948,None,None,0,92.19262832897948,None,You did not win $5.00!,5,1,9,0.45999999999999985,44.44444444444444,0.30807219275448006,[],33.33333333333333,9,3,None,0.33583228499628603,,Adjusting RT...,,2.7136514330049977,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
LgPun,2500,0,9,9,9,,94.24119666201295,None,2500,96.25704092200613,None,None,96.25704092200613,None,1.54,10,98.80687389097875,None,1,1,98.80687389097875,None,You did not lose $5.00!,5,4,10,0.45999999999999985,50.0,0.3143765743938275,[1],33.33333333333333,9,3,None,0.3395941009512171,0.3395941009512171,,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
