Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,fixationResp.rt,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,56.72341990697896,None,2000,58.717947011988144,None,None,58.717947011988144,None,1.65,1,60.74401856298209,None,None,0,60.74401856298209,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,,,,027,Practice,2,2019_Aug_27_1055,MID,3.1.5,23.99447084801449,
LgReward,2000,0,1,1,1,,62.668347472994355,None,2000,64.6848900289915,None,None,64.6848900289915,None,1.65,2,66.70204377599293,None,None,0,66.70204377599293,None,You did not win $5.00!,0,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,,,,027,Practice,2,2019_Aug_27_1055,MID,3.1.5,23.99447084801449,
SmallPun,2000,0,2,2,2,,68.62723083098535,None,2000,70.63831197097898,None,None,70.63831197097898,None,1.65,3,72.645074688975,None,None,0,72.645074688975,None,You lost $0.20!,-0.2,5,3,0.42,0.0,nan,[],0.0,3,3,Adjusting RT...,,,027,Practice,2,2019_Aug_27_1055,MID,3.1.5,23.99447084801449,
LgPun,2000,0,3,3,3,,74.5855488019879,None,2000,76.60472521500196,None,None,76.60472521500196,None,1.58,4,78.60511162999319,None,None,0,78.60511162999319,None,You lost $5.00!,-5.2,4,4,0.42,0.0,nan,[0],0.0,3,3,,,,027,Practice,2,2019_Aug_27_1055,MID,3.1.5,23.99447084801449,
Triangle,2000,0,4,4,4,,80.58579480397748,None,2000,82.60620911797741,None,None,82.60620911797741,None,1.58,5,84.60622761098784,None,None,0,84.60622761098784,None,You did not win or lose anything!,-5.2,3,4,0.42,0.0,nan,[0],0.0,3,3,,,,027,Practice,2,2019_Aug_27_1055,MID,3.1.5,23.99447084801449,
LgReward,2000,0,5,5,5,,86.59132609399967,None,2000,88.59254453299218,None,None,88.59254453299218,None,1.58,6,90.62337070298963,None,None,0,90.62337070298963,None,You did not win $5.00!,-5.2,1,5,0.42,0.0,nan,"[0, 0]",0.0,3,3,,,,027,Practice,2,2019_Aug_27_1055,MID,3.1.5,23.99447084801449,
SmallPun,2000,0,6,6,6,,92.5856586729933,None,2000,94.58861147199059,None,None,94.58861147199059,None,1.58,7,96.60514949998469,None,None,0,96.60514949998469,None,You lost $0.20!,-5.4,5,6,0.49,0.0,nan,[],0.0,6,3,Adjusting RT...,,,027,Practice,2,2019_Aug_27_1055,MID,3.1.5,23.99447084801449,
SmallReward,2000,0,7,7,7,,98.59642216798966,None,2000,100.59053804798168,None,1,100.59053804798168,None,1.51,8,102.61467632098356,None,None,0,102.61467632098356,None,You did not win $0.20!,-5.4,2,7,0.49,0.0,nan,[0],0.0,6,3,,1.8453693490009755,,027,Practice,2,2019_Aug_27_1055,MID,3.1.5,23.99447084801449,
Triangle,2000,0,8,8,8,,104.58709247098886,None,2000,106.59048829399399,None,None,106.59048829399399,None,1.51,9,108.6094597170013,None,1,1,108.6094597170013,None,You did not win or lose anything!,-5.4,3,7,0.49,11.11111111111111,0.3734345929988194,[0],0.0,6,3,,,0.3734345929988194,027,Practice,2,2019_Aug_27_1055,MID,3.1.5,23.99447084801449,
LgReward,2000,0,9,9,9,,110.58695999099291,None,2000,112.59505076200003,None,None,112.59505076200003,None,1.51,10,114.62527304998366,None,1,1,114.62527304998366,None,You won $5.00!,-0.40000000000000036,1,8,0.49,20.0,0.3450277645024471,"[0, 1]",0.0,6,3,,,0.31662093600607477,027,Practice,2,2019_Aug_27_1055,MID,3.1.5,23.99447084801449,
