Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,probeResp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgPun,2500,0,0,0,0,TimeVersion6.csv,28.19555569300428,None,2500,30.216843553003855,None,None,30.216843553003855,None,1.5,1,32.7177744480141,None,None,0,32.7177744480141,None,You lost $5.00!,-5,4,1,0.5,0.0,nan,[0],0,0,3,,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
LgReward,1500,0,1,1,1,,34.69527664000634,None,1500,36.70309861199348,None,None,36.70309861199348,None,1.5,2,38.23449982501916,None,None,0,38.23449982501916,None,You did not win $5.00!,-5,1,2,0.5,0.0,nan,"[0, 0]",0,0,3,,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
LgPun,1500,0,2,2,2,,40.195292353018885,None,1500,42.20608001499204,None,None,42.20608001499204,None,1.5,3,43.71858114699717,None,1,1,43.71858114699717,None,You did not lose $5.00!,-5,4,3,0.5,33.33333333333333,0.38057462699362077,[],33.33333333333333,3,3,0.38057462699362077,Adjusting RT...,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
SmallReward,2000,0,3,3,3,,45.695138954004506,None,2000,47.703999046003446,None,None,47.703999046003446,None,1.5,4,49.72711433999939,None,None,0,49.72711433999939,None,You did not win $0.20!,-5,2,4,0.5,25.0,0.38057462699362077,[0],33.33333333333333,3,3,,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
Triangle,2000,0,4,4,4,,51.69797258399194,None,2000,53.705570128018735,None,None,53.705570128018735,None,1.5,5,55.72036348900292,None,1,1,55.72036348900292,None,You did not win or lose anything!,-5,3,4,0.5,40.0,0.3726880504982546,[0],33.33333333333333,3,3,0.3648014740028884,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
SmallReward,1500,0,5,5,5,,57.699742771015735,None,1500,59.70456784701673,None,None,59.70456784701673,None,1.5,6,61.23795237901504,None,None,0,61.23795237901504,None,You did not win $0.20!,-5,2,5,0.5,33.33333333333333,0.3726880504982546,"[0, 0]",33.33333333333333,3,3,,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
Triangle,1500,0,6,6,6,,63.19684494199464,None,1500,65.20548431100906,None,None,65.20548431100906,None,1.5,7,66.7215268239961,None,1,1,66.7215268239961,None,You did not win or lose anything!,-5,3,5,0.5,42.857142857142854,0.35701262233002734,"[0, 0]",33.33333333333333,3,3,0.32566176599357277,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
LgPun,1500,0,7,7,7,,68.69743229201413,None,1500,70.70601481900667,None,None,70.70601481900667,None,1.5,8,72.22148162199301,None,None,0,72.22148162199301,None,You lost $5.00!,-10,4,6,0.5,37.5,0.35701262233002734,[],16.666666666666664,6,3,,Adjusting RT...,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
LgReward,2000,0,8,8,8,,74.19746782301809,None,2000,76.20612745900871,None,None,76.20612745900871,None,1.5,9,78.24057630100287,None,1,1,78.24057630100287,None,You won $5.00!,-5,1,7,0.5,44.44444444444444,0.35515524324728176,[1],16.666666666666664,6,3,0.3495831059990451,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
SmallPun,4000,0,9,9,9,,80.19955162500264,None,4000,82.20729343700805,None,None,82.20729343700805,None,1.5,10,86.22287880600197,None,None,0,86.22287880600197,None,You lost $0.20!,-5.2,5,8,0.5,40.0,0.35515524324728176,"[1, 0]",16.666666666666664,6,3,,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
LgPun,1500,0,10,10,10,,88.19829442800255,None,1500,90.2086300800147,None,None,90.2086300800147,None,1.5,11,91.71452440900612,None,None,0,91.71452440900612,None,You lost $5.00!,-10.2,4,9,0.5,36.36363636363637,0.35515524324728176,[],16.666666666666664,9,3,,Adjusting RT...,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
SmallReward,1500,0,11,11,11,,93.69836892900639,None,1500,95.70850676400005,None,None,95.70850676400005,None,1.5,12,97.23057620000327,None,None,0,97.23057620000327,None,You did not win $0.20!,-10.2,2,10,0.5,33.33333333333333,0.35515524324728176,[0],16.666666666666664,9,3,,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
LgReward,4000,0,12,12,12,,99.20058380300179,None,4000,101.2101548089995,None,None,101.2101548089995,None,1.5,13,105.24155401499593,None,None,0,105.24155401499593,None,You did not win $5.00!,-10.2,1,11,0.5,30.76923076923077,0.35515524324728176,"[0, 0]",16.666666666666664,9,3,,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
Triangle,1500,0,13,13,13,,107.19886765201227,None,1500,109.2104124299949,None,None,109.2104124299949,None,1.5,14,110.71626873599598,None,None,0,110.71626873599598,None,You did not win or lose anything!,-10.2,3,11,0.5,28.57142857142857,0.35515524324728176,"[0, 0]",16.666666666666664,9,3,,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
LgPun,2000,0,14,14,14,,112.69920087399078,None,2000,114.71163801199873,None,None,114.71163801199873,None,1.5,15,116.71657168801175,None,1,1,116.71657168801175,None,You did not lose $5.00!,-10.2,4,12,0.5,33.33333333333333,0.3578171864035539,[],33.33333333333333,12,3,0.3684649590286426,Adjusting RT...,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
Triangle,3000,0,15,15,15,,118.69946927001001,None,3000,120.70420196600026,None,None,120.70420196600026,None,1.5,16,123.71820786001626,None,1,1,123.71820786001626,None,You did not win or lose anything!,-10.2,3,12,0.5,37.5,0.35716932983874966,[],33.33333333333333,12,3,0.3539300470147282,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
