Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,48.89736403798452,None,2000,50.92744754703017,None,None,50.92744754703017,None,1.65,1,52.97724315500818,None,None,0,52.97724315500818,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,1,0.1051427079946734,0.4551427079946734,,,,029,Practice,2,2019_Aug_31_1645,MID,3.1.5,59.97873752925677,
LgReward,2000,0,1,1,1,,55.043701219023205,None,2000,57.06216505501652,None,None,57.06216505501652,None,1.65,2,59.11142605601344,None,None,0,59.11142605601344,None,You did not win $5.00!,0,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,1,-0.005549517984036356,0.3444504820159636,,,,029,Practice,2,2019_Aug_31_1645,MID,3.1.5,59.97873752925677,
SmallPun,2000,0,2,2,2,,61.14861807099078,None,2000,63.17896518699126,None,None,63.17896518699126,None,1.65,3,65.21222606603988,None,1,1,65.21222606603988,None,You did not lose $0.20!,0,5,3,0.38999999999999996,33.33333333333333,0.268498293007724,[],33.33333333333333,3,3,None,,0.268498293007724,0.268498293007724,Adjusting RT...,,029,Practice,2,2019_Aug_31_1645,MID,3.1.5,59.97873752925677,
LgPun,2000,0,3,3,3,,67.26562655501766,None,2000,69.29626456502592,None,None,69.29626456502592,None,1.61,4,71.32932151202112,None,1,1,71.32932151202112,None,You did not lose $5.00!,0,4,4,0.38999999999999996,50.0,0.2810118350025732,[1],33.33333333333333,3,3,None,,0.2935253769974224,0.2935253769974224,,,029,Practice,2,2019_Aug_31_1645,MID,3.1.5,59.97873752925677,
Triangle,2000,0,4,4,4,,73.38226687500719,None,2000,75.41382985201199,None,None,75.41382985201199,None,1.61,5,77.44716760603478,None,1,1,77.44716760603478,None,You did not win or lose anything!,0,3,4,0.38999999999999996,60.0,0.2881985286755177,[1],33.33333333333333,3,3,None,,0.30257191602140665,0.30257191602140665,,,029,Practice,2,2019_Aug_31_1645,MID,3.1.5,59.97873752925677,
LgReward,2000,0,5,5,5,,79.49746404099278,None,2000,81.51457686698996,None,1,81.51457686698996,None,1.61,6,83.56451803003438,None,None,0,83.56451803003438,None,You did not win $5.00!,0,1,5,0.38999999999999996,50.0,0.2881985286755177,"[1, 0]",33.33333333333333,3,3,1,-0.008282667957246304,0.38171733204275365,,,0.32629432098474354,029,Practice,2,2019_Aug_31_1645,MID,3.1.5,59.97873752925677,
SmallPun,2000,0,6,6,6,,85.59960484801559,None,2000,87.63256161898607,None,None,87.63256161898607,None,1.61,7,89.6656720280298,None,1,1,89.6656720280298,None,You did not lose $0.20!,0,5,6,0.41,57.14285714285714,0.29892142675817013,[],49.99999999999999,6,3,None,,0.33109012100612745,0.33109012100612745,Adjusting RT...,,029,Practice,2,2019_Aug_31_1645,MID,3.1.5,59.97873752925677,
SmallReward,2000,0,7,7,7,,91.71571305702673,None,2000,93.74957713700132,None,None,93.74957713700132,None,1.59,8,95.7995043140254,None,1,1,95.7995043140254,None,You won $0.20!,0.2,2,7,0.41,62.5,0.3072044082102366,[1],49.99999999999999,6,3,None,,0.3403363340185024,0.3403363340185024,,,029,Practice,2,2019_Aug_31_1645,MID,3.1.5,59.97873752925677,
Triangle,2000,0,8,8,8,,97.85075040603988,None,2000,99.88368656003149,None,None,99.88368656003149,None,1.59,9,101.91764337703353,None,1,1,101.91764337703353,None,You did not win or lose anything!,0.2,3,7,0.41,66.66666666666666,0.3083733768435195,[1],49.99999999999999,6,3,None,,0.31421822000993416,0.31421822000993416,,,029,Practice,2,2019_Aug_31_1645,MID,3.1.5,59.97873752925677,
LgReward,2000,0,9,9,9,,103.98425383103313,None,2000,106.01820569799747,None,None,106.01820569799747,None,1.59,10,108.06814664701233,None,1,1,108.06814664701233,None,You won $5.00!,5.2,1,8,0.41,70.0,0.30870098115078043,"[1, 1]",49.99999999999999,6,3,None,,0.3106666069943458,0.3106666069943458,,,029,Practice,2,2019_Aug_31_1645,MID,3.1.5,59.97873752925677,
