Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
Triangle,2000,0,0,0,0,TimeVersion8.csv,24.47031797503587,None,2000,26.503758125996683,None,None,26.503758125996683,None,1.6300000000000001,1,28.538102614984382,None,1,1,0.3177179679623805,28.538102614984382,None,You did not win or lose anything!,0,3,0,0.36999999999999994,100.0,0.3177179679623805,[],0,0,3,None,0.3177179679623805,,,029,Scanner,1,2019_Aug_31_1648,MID,3.1.5,60.042315301185965,
SmallReward,3500,0,1,1,1,,30.611442191991955,None,3500,32.65459534002002,None,None,32.65459534002002,None,1.6300000000000001,2,36.20451388403308,None,1,1,0.31343397800810635,36.20451388403308,None,You won $0.20!,0.2,2,1,0.36999999999999994,100.0,0.3155759729852434,[1],0,0,3,None,0.31343397800810635,,,029,Scanner,1,2019_Aug_31_1648,MID,3.1.5,60.042315301185965,
LgPun,2000,0,2,2,2,,38.23753925698111,None,2000,40.27195202198345,None,None,40.27195202198345,None,1.6300000000000001,3,42.30433094402542,None,1,1,0.30762441898696125,42.30433094402542,None,You did not lose $5.00!,0.2,4,2,0.36999999999999994,100.0,0.31292545498581603,"[1, 1]",0,0,3,None,0.30762441898696125,,,029,Scanner,1,2019_Aug_31_1648,MID,3.1.5,60.042315301185965,
SmallReward,1500,0,3,3,3,,44.354166676988825,None,1500,46.37792893103324,None,None,46.37792893103324,None,1.6300000000000001,4,47.93782872898737,None,1,1,0.3150050330441445,47.93782872898737,None,You won $0.20!,0.4,2,3,0.31999999999999995,100.0,0.31344534950039815,[],100.0,3,3,None,0.3150050330441445,Adjusting RT...,,029,Scanner,1,2019_Aug_31_1648,MID,3.1.5,60.042315301185965,
LgReward,4000,0,4,4,4,,49.98769821302267,None,4000,51.99500482802978,None,None,51.99500482802978,None,1.6800000000000002,5,56.05598360399017,None,None,0,,56.05598360399017,None,You did not win $5.00!,0.4,1,4,0.31999999999999995,80.0,0.31344534950039815,[0],100.0,3,3,1,0.3257466679718345,,0.00574666797183454,029,Scanner,1,2019_Aug_31_1648,MID,3.1.5,60.042315301185965,
LgPun,1500,0,5,5,5,,58.088596582005266,None,1500,60.11267040402163,None,None,60.11267040402163,None,1.6800000000000002,6,61.65582460700534,None,None,0,,61.65582460700534,None,You lost $5.00!,-4.6,4,5,0.31999999999999995,66.66666666666666,0.31344534950039815,"[0, 0]",100.0,3,3,1,0.34124990598531435,,0.0212499059853144,029,Scanner,1,2019_Aug_31_1648,MID,3.1.5,60.042315301185965,
Triangle,3500,0,6,6,6,,63.688987546018325,None,3500,65.71361358300783,None,None,65.71361358300783,None,1.6800000000000002,7,69.2553265360184,None,None,0,,69.2553265360184,None,You did not win or lose anything!,-4.6,3,5,0.31999999999999995,57.14285714285714,0.31344534950039815,"[0, 0]",100.0,3,3,1,0.31702054698718707,,-0.0029794530128128827,029,Scanner,1,2019_Aug_31_1648,MID,3.1.5,60.042315301185965,
LgPun,1500,0,7,7,7,,71.2895862699952,None,1500,73.31481062201783,None,None,73.31481062201783,None,1.6800000000000002,8,74.85693146899575,None,1,1,0.26307741401251405,74.85693146899575,None,You did not lose $5.00!,-4.6,4,6,0.29999999999999993,62.5,0.3033717624028213,[],66.66666666666666,6,3,None,0.26307741401251405,Adjusting RT...,,029,Scanner,1,2019_Aug_31_1648,MID,3.1.5,60.042315301185965,
SmallReward,1500,0,8,8,8,,76.90644947899273,None,1500,78.91484308301006,None,None,78.91484308301006,None,1.7000000000000002,9,80.47328649001429,None,1,1,0.25966955098556355,80.47328649001429,None,You won $0.20!,-4.3999999999999995,2,7,0.29999999999999993,66.66666666666666,0.296088060499945,[1],66.66666666666666,6,3,None,0.25966955098556355,,,029,Scanner,1,2019_Aug_31_1648,MID,3.1.5,60.042315301185965,
SmallPun,2500,0,9,9,9,,82.50727021700004,None,2500,84.53284833399812,None,None,84.53284833399812,None,1.7000000000000002,10,87.0738252060255,None,None,0,,87.0738252060255,None,You lost $0.20!,-4.6,5,8,0.29999999999999993,60.0,0.296088060499945,"[1, 0]",66.66666666666666,6,3,1,0.3021499799913726,,0.0021499799913726747,029,Scanner,1,2019_Aug_31_1648,MID,3.1.5,60.042315301185965,
