Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,1500,0,0,0,0,TimeVersion11.csv,23.17015502997674,None,1500,25.20386085700011,None,None,25.20386085700011,None,1.6300000000000001,1,26.74110112496419,None,None,0,26.74110112496419,None,You lost $0.20!,-0.2,5,1,0.36999999999999994,0.0,nan,[0],0,0,3,1,-0.00260115199489519,0.36739884800510475,,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
LgPun,1500,0,1,1,1,,28.791498115984723,None,1500,30.821724622976035,None,None,30.821724622976035,None,1.6300000000000001,2,32.35491665999871,None,1,1,32.35491665999871,None,You did not lose $5.00!,-0.2,4,2,0.36999999999999994,50.0,0.2750872540054843,"[0, 1]",0,0,3,None,,0.2750872540054843,0.2750872540054843,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
Triangle,3500,0,2,2,2,,34.40869589900831,None,3500,36.43913041299675,None,None,36.43913041299675,None,1.6300000000000001,3,39.97218314599013,None,1,1,39.97218314599013,None,You did not win or lose anything!,-0.2,3,2,0.36999999999999994,66.66666666666666,0.29446047852979973,"[0, 1]",0,0,3,None,,0.3138337030541152,0.3138337030541152,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
Triangle,1500,0,3,3,3,,42.009278456971515,None,1500,44.03946478298167,None,None,44.03946478298167,None,1.6300000000000001,4,45.572901448991615,None,None,0,45.572901448991615,None,You did not win or lose anything!,-0.2,3,2,0.36999999999999994,50.0,0.29446047852979973,"[0, 1]",0,0,3,1,0.012909887009300292,0.38290988700930023,,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
LgReward,3500,0,4,4,4,,47.62301832996309,None,3500,49.640300141996704,None,None,49.640300141996704,None,1.6300000000000001,5,53.19088194798678,None,None,0,53.19088194798678,None,You did not win $5.00!,-0.2,1,3,0.4099999999999999,40.0,0.29446047852979973,[],33.33333333333333,3,3,1,0.24321838998002931,0.6532183899800292,,Adjusting RT...,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
SmallReward,3000,0,5,5,5,,55.24093390296912,None,3000,57.27538691199152,None,None,57.27538691199152,None,1.59,6,60.32480730296811,None,None,0,60.32480730296811,None,You did not win $0.20!,-0.2,2,4,0.4099999999999999,33.33333333333333,0.29446047852979973,[0],33.33333333333333,3,3,1,0.07067015499342233,0.48067015499342225,,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
SmallPun,1500,0,6,6,6,,62.376772912975866,None,1500,64.40909135597758,None,None,64.40909135597758,None,1.59,7,65.94302520400379,None,None,0,65.94302520400379,None,You lost $0.20!,-0.4,5,5,0.4099999999999999,28.57142857142857,0.29446047852979973,"[0, 0]",33.33333333333333,3,3,1,0.021870336029678583,0.4318703360296785,,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
SmallReward,1500,0,7,7,7,,68.00970767595572,None,1500,70.04324279195862,None,None,70.04324279195862,None,1.59,8,71.59368455898948,None,1,1,71.59368455898948,None,You won $0.20!,-0.2,2,6,0.4499999999999999,37.5,0.32443606535283226,[],33.33333333333333,6,3,None,,0.3843872389988974,0.3843872389988974,Adjusting RT...,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
LgReward,3000,0,8,8,8,,73.6597686719615,None,3000,75.69417442695703,None,None,75.69417442695703,None,1.55,9,78.74444734095596,None,1,1,78.74444734095596,None,You won $5.00!,4.8,1,7,0.4499999999999999,44.44444444444444,0.30796779826050624,[1],33.33333333333333,6,3,None,,0.25856299698352814,0.25856299698352814,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
LgPun,1500,0,9,9,9,,80.77810230699833,None,1500,82.81137378496351,None,None,82.81137378496351,None,1.55,10,84.34437409200473,None,1,1,84.34437409200473,None,You did not lose $5.00!,4.8,4,8,0.4499999999999999,50.0,0.30968231180449945,"[1, 1]",33.33333333333333,6,3,None,,0.3165403659804724,0.3165403659804724,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
