TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,run,trial_order
2,0,[],,031,2,practice
1,0,[],,031,2,practice
5,0,[],,031,2,practice
4,1,0.33312115899752825,,031,2,practice
3,0,[],,031,2,practice
1,1,0.28888221899978817,,031,2,practice
5,1,0.30793355201603845,,031,2,practice
2,0,[],,031,2,practice
3,1,0.3338332950079348,,031,2,practice
1,0,[],,031,2,practice
4,1,0.2872176609816961,,031,2,practice
5,0,[],,031,2,practice
2,1,0.3232578650058713,,031,2,practice
4,0,[],,031,2,practice
3,1,0.3280175059917383,,031,2,practice
