Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,65.12986604700563,None,2000,67.13839129399275,None,None,67.13839129399275,None,1.65,1,69.15372889800346,None,None,0,69.15372889800346,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,None,,,,,031,Practice,2,2019_Aug_29_1205,MID,3.1.5,23.990468894518607,
LgReward,2000,0,1,1,1,,71.12550189200556,None,2000,73.1389399789914,None,None,73.1389399789914,None,1.65,2,75.15839519401197,None,None,0,75.15839519401197,None,You did not win $5.00!,0,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,None,,,,,031,Practice,2,2019_Aug_29_1205,MID,3.1.5,23.990468894518607,
SmallPun,2000,0,2,2,2,,77.16768474399578,None,2000,79.17417969999951,None,None,79.17417969999951,None,1.65,3,81.19029539899202,None,None,0,81.19029539899202,None,You lost $0.20!,-0.2,5,3,0.42,0.0,nan,[],0.0,3,3,1,0.6297878789936657,Adjusting RT...,0.2097878789936658,,031,Practice,2,2019_Aug_29_1205,MID,3.1.5,23.990468894518607,
LgPun,2000,0,3,3,3,,83.16629271200509,None,2000,85.17480557001545,None,None,85.17480557001545,None,1.58,4,87.1909298679966,None,1,1,87.1909298679966,None,You did not lose $5.00!,-0.2,4,4,0.42,25.0,0.33312115899752825,[1],0.0,3,3,None,0.33312115899752825,,,0.33312115899752825,031,Practice,2,2019_Aug_29_1205,MID,3.1.5,23.990468894518607,
Triangle,2000,0,4,4,4,,89.20823815499898,None,2000,91.22557082699495,None,None,91.22557082699495,None,1.58,5,93.2257755070168,None,None,0,93.2257755070168,None,You did not win or lose anything!,-0.2,3,4,0.42,20.0,0.33312115899752825,[1],0.0,3,3,None,0.33312115899752825,,,,031,Practice,2,2019_Aug_29_1205,MID,3.1.5,23.990468894518607,
LgReward,2000,0,5,5,5,,95.24963204501546,None,2000,97.25912668500678,None,None,97.25912668500678,None,1.58,6,99.28016537701478,None,1,1,99.28016537701478,None,You won $5.00!,4.8,1,5,0.42,33.33333333333333,0.3110016889986582,"[1, 1]",0.0,3,3,None,0.28888221899978817,,,0.28888221899978817,031,Practice,2,2019_Aug_29_1205,MID,3.1.5,23.990468894518607,
SmallPun,2000,0,6,6,6,,101.29356584901689,None,2000,103.31050804199185,None,None,103.31050804199185,None,1.58,7,105.31011291599134,None,1,1,105.31011291599134,None,You did not lose $0.20!,4.8,5,6,0.44,42.857142857142854,0.3099789766711183,[],50.0,6,3,None,0.30793355201603845,Adjusting RT...,,0.30793355201603845,031,Practice,2,2019_Aug_29_1205,MID,3.1.5,23.990468894518607,
SmallReward,2000,0,7,7,7,,107.333756773005,None,2000,109.34356894600205,None,None,109.34356894600205,None,1.56,8,111.36347249400569,None,None,0,111.36347249400569,None,You did not win $0.20!,4.8,2,7,0.44,37.5,0.3099789766711183,[0],50.0,6,3,None,0.30793355201603845,,,,031,Practice,2,2019_Aug_29_1205,MID,3.1.5,23.990468894518607,
Triangle,2000,0,8,8,8,,113.3775412820105,None,2000,115.39509913299116,None,None,115.39509913299116,None,1.56,9,117.39521750001586,None,1,1,117.39521750001586,None,You did not win or lose anything!,4.8,3,7,0.44,44.44444444444444,0.3159425562553224,[0],50.0,6,3,None,0.3338332950079348,,,0.3338332950079348,031,Practice,2,2019_Aug_29_1205,MID,3.1.5,23.990468894518607,
LgReward,2000,0,9,9,9,,119.37577214400517,None,2000,121.39575652501662,None,None,121.39575652501662,None,1.56,10,123.43047032301547,None,None,0,123.43047032301547,None,You did not win $5.00!,4.8,1,8,0.44,40.0,0.3159425562553224,"[0, 0]",50.0,6,3,None,0.3338332950079348,,,,031,Practice,2,2019_Aug_29_1205,MID,3.1.5,23.990468894518607,
LgPun,2000,0,10,10,10,,125.41807284599054,None,2000,127.42938721401151,None,None,127.42938721401151,None,1.56,11,129.4458340940182,None,1,1,129.4458340940182,None,You did not lose $5.00!,4.8,4,9,0.42,45.45454545454545,0.31019757720059715,[],66.66666666666666,9,3,None,0.2872176609816961,Adjusting RT...,,0.2872176609816961,031,Practice,2,2019_Aug_29_1205,MID,3.1.5,23.990468894518607,
SmallPun,2000,0,11,11,11,,131.41852215401013,None,2000,133.43073635399924,None,None,133.43073635399924,None,1.58,12,135.4362346320122,None,None,0,135.4362346320122,None,You lost $0.20!,4.6,5,10,0.42,41.66666666666667,0.31019757720059715,[0],66.66666666666666,9,3,1,0.5170865239796694,,0.09708652397966944,,031,Practice,2,2019_Aug_29_1205,MID,3.1.5,23.990468894518607,
SmallReward,2000,0,12,12,12,,137.46391087400843,None,2000,139.46541706100106,None,None,139.46541706100106,None,1.58,13,141.51172613800736,None,1,1,141.51172613800736,None,You won $0.20!,4.8,2,11,0.42,46.15384615384615,0.3123742918348095,"[0, 1]",66.66666666666666,9,3,None,0.3232578650058713,,,0.3232578650058713,031,Practice,2,2019_Aug_29_1205,MID,3.1.5,23.990468894518607,
LgPun,2000,0,13,13,13,,143.5440815030015,None,2000,145.5658241570054,None,None,145.5658241570054,None,1.58,14,147.56635768301203,None,None,0,147.56635768301203,None,You lost $5.00!,-0.20000000000000018,4,12,0.45999999999999996,42.857142857142854,0.3123742918348095,[],33.33333333333333,12,3,1,0.47814179800567214,Adjusting RT...,0.01814179800567217,,031,Practice,2,2019_Aug_29_1205,MID,3.1.5,23.990468894518607,
Triangle,2000,0,14,14,14,,149.58524622401455,None,2000,151.60012516801362,None,None,151.60012516801362,None,1.54,15,153.6040298519947,None,1,1,153.6040298519947,None,You did not win or lose anything!,-0.20000000000000018,3,12,0.45999999999999996,46.666666666666664,0.31460903671437074,[],33.33333333333333,12,3,None,0.3280175059917383,,,0.3280175059917383,031,Practice,2,2019_Aug_29_1205,MID,3.1.5,23.990468894518607,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,031,Practice,2,2019_Aug_29_1205,MID,3.1.5,23.990468894518607,
