Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,fixationResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,1500,0,0,0,0,TimeVersion11.csv,77.60838550899643,None,1500,79.61729006402311,None,None,79.61729006402311,None,1.54,1,81.13238458099659,None,None,0,81.13238458099659,None,You lost $0.20!,-0.2,5,1,0.45999999999999996,0.0,nan,[0],0,0,3,1,0.013289627997437492,0.47328962799743746,,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
LgPun,1500,0,1,1,1,,83.15009593899595,None,1500,85.1536425500235,None,None,85.1536425500235,None,1.54,2,86.66811097500613,None,1,1,86.66811097500613,None,You did not lose $5.00!,-0.2,4,2,0.45999999999999996,50.0,0.2832789400126785,"[0, 1]",0,0,3,None,,0.2832789400126785,0.2832789400126785,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
Triangle,3500,0,2,2,2,,88.69239813400782,None,3500,90.7000549689983,None,1,90.7000549689983,None,1.54,3,94.21691760901012,None,1,1,94.21691760901012,None,You did not win or lose anything!,-0.2,3,2,0.45999999999999996,66.66666666666666,0.325375829503173,"[0, 1]",0,0,3,None,,0.3674727189936675,0.3674727189936675,0.3653262899897527,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
Triangle,1500,0,3,3,3,,96.23434520000592,None,1500,98.25188586002332,None,None,98.25188586002332,None,1.54,4,99.75228463401436,None,1,1,99.75228463401436,None,You did not win or lose anything!,-0.2,3,2,0.45999999999999996,75.0,0.34395092533668503,"[0, 1]",0,0,3,None,,0.3811011170037091,0.3811011170037091,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
LgReward,3500,0,4,4,4,,101.77502568301861,None,3500,103.78528425301192,None,None,103.78528425301192,None,1.54,5,107.30651806501555,None,None,0,107.30651806501555,None,You did not win $5.00!,-0.2,1,3,0.49999999999999994,60.0,0.34395092533668503,[],33.33333333333333,3,3,1,0.02793076800298877,0.5279307680029888,,,Adjusting RT...,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
SmallReward,3000,0,5,5,5,,109.3184362440079,None,3000,111.33732295400114,None,None,111.33732295400114,None,1.5,6,114.35308105300646,None,1,1,114.35308105300646,None,You won $0.20!,0.0,2,4,0.49999999999999994,66.66666666666666,0.34528704374679364,[1],33.33333333333333,3,3,None,,0.3492953989771195,0.3492953989771195,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
SmallPun,1500,0,6,6,6,,116.3588962329959,None,1500,118.37132924702018,None,None,118.37132924702018,None,1.5,7,119.8779845200188,None,None,0,119.8779845200188,None,You lost $0.20!,-0.2,5,5,0.49999999999999994,57.14285714285714,0.34528704374679364,"[1, 0]",33.33333333333333,3,3,None,,0.3492953989771195,,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
SmallReward,1500,0,7,7,7,,121.90187814302044,None,1500,123.92180306502269,None,None,123.92180306502269,None,1.5,8,125.43801933800569,None,1,1,125.43801933800569,None,You won $0.20!,0.0,2,6,0.5,62.5,0.33570390479872003,[],49.99999999999999,6,3,None,,0.2973713490064256,0.2973713490064256,,Adjusting RT...,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
LgReward,3000,0,8,8,8,,127.44530363800004,None,3000,129.45480865001446,None,None,129.45480865001446,None,1.5,9,132.47529151602066,None,1,1,132.47529151602066,None,You won $5.00!,5.0,1,7,0.5,66.66666666666666,0.32909025916887913,[1],49.99999999999999,6,3,None,,0.2960220310196746,0.2960220310196746,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
LgPun,1500,0,9,9,9,,134.48769631501636,None,1500,136.49030677601695,None,None,136.49030677601695,None,1.5,10,138.00645284701022,None,1,1,138.00645284701022,None,You did not lose $5.00!,5.0,4,8,0.5,70.0,0.33735436843042926,"[1, 1]",49.99999999999999,6,3,None,,0.3869390239997301,0.3869390239997301,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
SmallReward,2000,0,10,10,10,,140.02767464201315,None,2000,142.04029961500783,None,None,142.04029961500783,None,1.5,11,144.0631407680048,None,1,1,144.0631407680048,None,You won $0.20!,5.2,2,9,0.47,72.72727272727273,0.3310886107501574,[],83.33333333333333,9,3,None,,0.2872283069882542,0.2872283069882542,,Adjusting RT...,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
LgReward,2000,0,11,11,11,,146.06935043100384,None,2000,148.07532554899808,None,None,148.07532554899808,None,1.53,12,150.10001582000405,None,None,0,150.10001582000405,None,You did not win $5.00!,5.2,1,10,0.47,66.66666666666666,0.3310886107501574,[0],83.33333333333333,9,3,None,,0.2872283069882542,,,,031,Scanner,2,2019_Aug_29_1215,MID,3.1.5,24.035149426294588,
