Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,fixationResp.rt,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgPun,1500,0,0,0,0,TimeVersion10.csv,27.58765488100471,None,1500,29.59009708900703,None,None,29.59009708900703,None,1.62,1,31.107946689997334,None,None,0,31.107946689997334,None,You lost $5.00!,-5,4,1,0.37999999999999995,0.0,nan,[0],0,0,3,,,,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
LgPun,2500,0,1,1,1,,33.083863696985645,None,2500,35.08530221498222,None,1,35.08530221498222,None,1.62,2,37.601123628992354,None,None,0,37.601123628992354,None,You lost $5.00!,-10,4,2,0.37999999999999995,0.0,nan,"[0, 0]",0,0,3,1.9517843759967946,,,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
Triangle,2000,0,2,2,2,,39.584248556988314,None,2000,41.60104301100364,None,None,41.60104301100364,None,1.62,3,43.6011612220027,None,None,0,43.6011612220027,None,You did not win or lose anything!,-10,3,2,0.37999999999999995,0.0,nan,"[0, 0]",0,0,3,,,,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
SmallPun,2500,0,3,3,3,,45.58573469298426,None,2500,47.60158447298454,None,None,47.60158447298454,None,1.62,4,50.10101741598919,None,None,0,50.10101741598919,None,You lost $0.20!,-10.2,5,3,0.44999999999999996,0.0,nan,[],0.0,3,3,,Adjusting RT...,,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
LgReward,2000,0,4,4,4,,52.084699027007446,None,2000,54.10238681299961,None,None,54.10238681299961,None,1.55,5,56.1187304139894,None,1,1,56.1187304139894,None,You won $5.00!,-5.199999999999999,1,4,0.44999999999999996,20.0,0.28641377098392695,[1],0.0,3,3,,,0.28641377098392695,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
Triangle,1500,0,5,5,5,,58.085362608981086,None,1500,60.103028256999096,None,None,60.103028256999096,None,1.55,6,61.602274245989975,None,1,1,61.602274245989975,None,You did not win or lose anything!,-5.199999999999999,3,4,0.44999999999999996,33.33333333333333,0.3186414675001288,[1],0.0,3,3,,,0.3508691640163306,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
SmallPun,1500,0,6,6,6,,63.58535307299462,None,1500,65.6033785000036,None,None,65.6033785000036,None,1.55,7,67.10315853299107,None,1,1,67.10315853299107,None,You did not lose $0.20!,-5.199999999999999,5,5,0.44999999999999996,42.857142857142854,0.3067540690050616,"[1, 1]",0.0,3,3,,,0.2829792720149271,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
Triangle,2500,0,7,7,7,,69.08580575199449,None,2500,71.10379167998326,None,1,71.10379167998326,None,1.55,8,73.60519507800927,None,None,0,73.60519507800927,None,You did not win or lose anything!,-5.199999999999999,3,5,0.44999999999999996,37.5,0.3067540690050616,"[1, 1]",0.0,3,3,2.374359174980782,,,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
Triangle,3000,0,8,8,8,,75.5862358979939,None,3000,77.6059922069835,None,None,77.6059922069835,None,1.55,9,80.60600382898701,None,1,1,80.60600382898701,None,You did not win or lose anything!,-5.199999999999999,3,5,0.44999999999999996,44.44444444444444,0.3103490015055286,"[1, 1]",0.0,3,3,,,0.3211337990069296,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
SmallReward,3500,0,9,9,9,,82.58614075998776,None,3500,84.60623276600381,None,None,84.60623276600381,None,1.55,10,88.12300519898417,None,1,1,88.12300519898417,None,You won $0.20!,-4.999999999999999,2,6,0.47,50.0,0.3117073700064793,[],50.0,6,3,,Adjusting RT...,0.3171408440102823,033,Scanner,1,2019_Aug_27_1247,MID,3.1.5,24.00162285512307,
