Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,28.551533043995732,None,2000,30.542105158994673,None,None,30.542105158994673,None,1.65,1,32.56323960798909,None,None,0,32.56323960798909,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,,,034,Practice,2,2019_Aug_27_0918,MID,3.1.5,23.999301429496537,
LgReward,2000,0,1,1,1,,34.49906055201427,None,2000,36.511273457988864,None,None,36.511273457988864,None,1.65,2,38.52821074600797,None,None,0,38.52821074600797,None,You did not win $5.00!,0,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,,,034,Practice,2,2019_Aug_27_0918,MID,3.1.5,23.999301429496537,
SmallPun,2000,0,2,2,2,,40.45911904500099,None,2000,42.46446842100704,None,None,42.46446842100704,None,1.65,3,44.4788764900004,None,None,0,44.4788764900004,None,You lost $0.20!,-0.2,5,3,0.42,0.0,nan,[],0.0,3,3,Adjusting RT...,,034,Practice,2,2019_Aug_27_0918,MID,3.1.5,23.999301429496537,
LgPun,2000,0,3,3,3,,46.41616438399069,None,2000,48.42911256599473,None,None,48.42911256599473,None,1.58,4,50.43370458399295,None,1,1,50.43370458399295,None,You did not lose $5.00!,-0.2,4,4,0.42,25.0,0.2868232440087013,[1],0.0,3,3,,0.2868232440087013,034,Practice,2,2019_Aug_27_0918,MID,3.1.5,23.999301429496537,
Triangle,2000,0,4,4,4,,52.41703440100537,None,2000,54.429894816013984,None,None,54.429894816013984,None,1.58,5,56.435391344013624,None,1,1,56.435391344013624,None,You did not win or lose anything!,-0.2,3,4,0.42,40.0,0.2825117875036085,[1],0.0,3,3,,0.2782003309985157,034,Practice,2,2019_Aug_27_0918,MID,3.1.5,23.999301429496537,
LgReward,2000,0,5,5,5,,58.41691698599607,None,2000,60.43070707199513,None,None,60.43070707199513,None,1.58,6,62.436395447002724,None,1,1,62.436395447002724,None,You won $5.00!,4.8,1,5,0.42,50.0,0.278698465670459,"[1, 1]",0.0,3,3,,0.2710718220041599,034,Practice,2,2019_Aug_27_0918,MID,3.1.5,23.999301429496537,
SmallPun,2000,0,6,6,6,,64.41731392301153,None,2000,66.4314192259917,None,None,66.4314192259917,None,1.58,7,68.43721140001435,None,1,1,68.43721140001435,None,You did not lose $0.20!,4.8,5,6,0.44,57.14285714285714,0.28236349200597033,[],50.0,6,3,Adjusting RT...,0.2933585710125044,034,Practice,2,2019_Aug_27_0918,MID,3.1.5,23.999301429496537,
SmallReward,2000,0,7,7,7,,70.41735270200297,None,2000,72.42312677801237,None,None,72.42312677801237,None,1.56,8,74.44878254301148,None,1,1,74.44878254301148,None,You won $0.20!,5.0,2,7,0.44,62.5,0.28004320860491133,[1],50.0,6,3,,0.2707620750006754,034,Practice,2,2019_Aug_27_0918,MID,3.1.5,23.999301429496537,
Triangle,2000,0,8,8,8,,76.3751552850008,None,2000,78.38563247400452,None,None,78.38563247400452,None,1.56,9,80.39283936200081,None,1,1,80.39283936200081,None,You did not win or lose anything!,5.0,3,7,0.44,66.66666666666666,0.27965985233701457,[1],50.0,6,3,,0.2777430709975306,034,Practice,2,2019_Aug_27_0918,MID,3.1.5,23.999301429496537,
LgReward,2000,0,9,9,9,,82.33660619700095,None,2000,84.35023105298751,None,None,84.35023105298751,None,1.56,10,86.36701570500736,None,1,1,86.36701570500736,None,You won $5.00!,10.0,1,8,0.44,70.0,0.28007283657539767,"[1, 1]",50.0,6,3,,0.2825507420056965,034,Practice,2,2019_Aug_27_0918,MID,3.1.5,23.999301429496537,
LgPun,2000,0,10,10,10,,88.29339410198736,None,2000,90.30090004700469,None,None,90.30090004700469,None,1.56,11,92.31799262700952,None,1,1,92.31799262700952,None,You did not lose $5.00!,10.0,4,9,0.39,72.72727272727273,0.2663886635018571,[],100.0,9,3,Adjusting RT...,0.17059945198707283,034,Practice,2,2019_Aug_27_0918,MID,3.1.5,23.999301429496537,
SmallPun,2000,0,11,11,11,,94.25207451698952,None,2000,96.26857245899737,None,None,96.26857245899737,None,1.6099999999999999,12,98.26902916398831,None,None,0,98.26902916398831,None,You lost $0.20!,9.8,5,10,0.39,66.66666666666666,0.2663886635018571,[0],100.0,9,3,,,034,Practice,2,2019_Aug_27_0918,MID,3.1.5,23.999301429496537,
SmallReward,2000,0,12,12,12,,100.21296200400684,None,2000,102.22029438000754,None,None,102.22029438000754,None,1.6099999999999999,13,104.24276203699992,None,1,1,104.24276203699992,None,You won $0.20!,10.0,2,11,0.39,69.23076923076923,0.23899109477901626,"[0, 1]",100.0,9,3,,0.019810544996289536,034,Practice,2,2019_Aug_27_0918,MID,3.1.5,23.999301429496537,
LgPun,2000,0,13,13,13,,106.17071744799614,None,2000,108.17502643901389,None,None,108.17502643901389,None,1.6099999999999999,14,110.187128029007,None,None,0,110.187128029007,None,You lost $5.00!,5.0,4,12,0.37,64.28571428571429,0.23899109477901626,[],66.66666666666666,12,3,Adjusting RT...,,034,Practice,2,2019_Aug_27_0918,MID,3.1.5,23.999301429496537,
Triangle,2000,0,14,14,14,,112.12795109799481,None,2000,114.13874256898998,None,None,114.13874256898998,None,1.63,15,116.14479787301389,None,1,1,116.14479787301389,None,You did not win or lose anything!,5.0,3,12,0.37,66.66666666666666,0.23007601519930176,[],66.66666666666666,12,3,,0.14984029898187146,034,Practice,2,2019_Aug_27_0918,MID,3.1.5,23.999301429496537,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,034,Practice,2,2019_Aug_27_0918,MID,3.1.5,23.999301429496537,
