Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,probeResp.rt,fixationResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgPun,1500,0,0,0,0,TimeVersion13.csv,32.70047729398357,None,1500,34.70754803600721,None,None,34.70754803600721,None,1.63,1,36.223417781002354,None,None,0,36.223417781002354,None,You lost $5.00!,-5,4,1,0.37,0.0,nan,[0],0,0,3,,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
LgReward,2000,0,1,1,1,,38.20017043498228,None,2000,40.208176874992205,None,None,40.208176874992205,None,1.63,2,42.223897226998815,None,1,1,42.223897226998815,None,You won $5.00!,0,1,2,0.37,50.0,0.0524475839920342,"[0, 1]",0,0,3,0.0524475839920342,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
Triangle,4000,0,2,2,2,,44.20050316498964,None,4000,46.204981474991655,None,1,46.204981474991655,None,1.63,3,50.21864894600003,None,None,0,50.21864894600003,None,You did not win or lose anything!,0,3,2,0.37,33.33333333333333,0.0524475839920342,"[0, 1]",0,0,3,,2.431367899000179,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
LgPun,1500,0,3,3,3,,52.202972333005164,None,1500,54.2100828269904,None,None,54.2100828269904,None,1.63,4,55.726077047991566,None,None,0,55.726077047991566,None,You lost $5.00!,-5,4,3,0.41,25.0,0.0524475839920342,[],33.33333333333333,3,3,,,Adjusting RT...,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
LgReward,1500,0,4,4,4,,57.701722609985154,None,1500,59.707429650006816,None,None,59.707429650006816,None,1.59,5,61.23019586998271,None,None,0,61.23019586998271,None,You did not win $5.00!,-5,1,4,0.41,20.0,0.0524475839920342,[0],33.33333333333333,3,3,,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
LgPun,2000,0,5,5,5,,63.2033497869852,None,2000,65.20708135300083,None,None,65.20708135300083,None,1.59,6,67.22778624598868,None,1,1,67.22778624598868,None,You did not lose $5.00!,-5,4,5,0.41,33.33333333333333,0.13450022749020718,"[0, 1]",33.33333333333333,3,3,0.21655287098838016,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
Triangle,3000,0,6,6,6,,69.20161938399542,None,3000,71.21251359800226,None,1,71.21251359800226,None,1.59,7,74.21936786800507,None,None,0,74.21936786800507,None,You did not win or lose anything!,-5,3,5,0.41,28.57142857142857,0.13450022749020718,"[0, 1]",33.33333333333333,3,3,,2.2607205039821565,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
SmallReward,2000,0,7,7,7,,76.20228649300407,None,2000,78.21326521600713,None,None,78.21326521600713,None,1.59,8,80.2448501290055,None,None,0,80.2448501290055,None,You did not win $0.20!,-5,2,6,0.44999999999999996,25.0,0.13450022749020718,[],33.33333333333333,6,3,,,Adjusting RT...,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
Triangle,2000,0,8,8,8,,82.20292427798267,None,2000,84.21407924999949,None,None,84.21407924999949,None,1.55,9,86.21952266799053,None,1,1,86.21952266799053,None,You did not win or lose anything!,-5,3,6,0.44999999999999996,33.33333333333333,0.198262753993428,[],33.33333333333333,6,3,0.32578780699986964,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
SmallReward,2500,0,9,9,9,,88.20297845700406,None,2500,90.20884689199738,None,None,90.20884689199738,None,1.55,10,92.73198540098383,None,1,1,92.73198540098383,None,You won $0.20!,-4.8,2,7,0.44999999999999996,40.0,0.2170355867492617,[1],33.33333333333333,6,3,0.27335408501676284,,,034,Scanner,1,2019_Aug_27_0920,MID,3.1.5,24.003985757773233,
