Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,fixationResp.rt,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,1500,0,0,0,0,TimeVersion1.csv,26.554553614987526,None,1500,28.574363569001434,None,None,28.574363569001434,None,1.63,1,30.07810234898352,None,None,0,30.07810234898352,None,You did not win $5.00!,0,1,1,0.37,0.0,nan,[0],0,0,3,,,,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
Triangle,3500,0,1,1,1,,32.054017657996155,None,3500,34.059556814987445,None,None,34.059556814987445,None,1.63,2,37.575990613986505,None,None,0,37.575990613986505,None,You did not win or lose anything!,0,3,1,0.37,0.0,nan,[0],0,0,3,,,,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
LgPun,1500,0,2,2,2,,39.553167762001976,None,1500,41.56064722198062,None,None,41.56064722198062,None,1.63,3,43.077114585990785,None,None,0,43.077114585990785,None,You lost $5.00!,-5,4,2,0.37,0.0,nan,"[0, 0]",0,0,3,,,,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
SmallReward,3500,0,3,3,3,,45.05320178598049,None,3500,47.062628730986034,None,None,47.062628730986034,None,1.63,4,50.582277916983,None,None,0,50.582277916983,None,You did not win $0.20!,-5,2,3,0.44,0.0,nan,[],0.0,3,3,Adjusting RT...,,,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
LgReward,1500,0,4,4,4,,52.55508535300032,None,1500,54.55934616699233,None,1,54.55934616699233,None,1.56,5,56.081707948003896,None,None,0,56.081707948003896,None,You did not win $5.00!,-5,1,4,0.44,0.0,nan,[0],0.0,3,3,,0.008548058016458526,,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
LgPun,2500,0,5,5,5,,58.012214399001095,None,2500,60.0285803169827,None,None,60.0285803169827,None,1.56,6,62.52899240399711,None,1,1,62.52899240399711,None,You did not lose $5.00!,-5,4,5,0.44,16.666666666666664,0.2749063160154037,"[0, 1]",0.0,3,3,,,0.2749063160154037,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
LgReward,3500,0,6,6,6,,64.47306761899381,None,3500,66.47926746998564,None,None,66.47926746998564,None,1.56,7,70.00354214798426,None,1,1,70.00354214798426,None,You won $5.00!,0,1,6,0.48,28.57142857142857,0.2771220305148745,[],33.33333333333333,6,3,Adjusting RT...,,0.2793377450143453,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
LgPun,2000,0,7,7,7,,71.92901733898907,None,2000,73.93308591598179,None,None,73.93308591598179,None,1.52,8,75.94834086499759,None,1,1,75.94834086499759,None,You did not lose $5.00!,0,4,7,0.48,37.5,0.284598113008542,[1],33.33333333333333,6,3,,,0.29955027799587697,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
Triangle,1500,0,8,8,8,,77.88827482998022,None,1500,79.89859101100592,None,None,79.89859101100592,None,1.52,9,81.40550417400664,None,None,0,81.40550417400664,None,You did not win or lose anything!,0,3,7,0.48,33.33333333333333,0.284598113008542,[1],33.33333333333333,6,3,,,,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
SmallPun,4000,0,9,9,9,,83.34681840898702,None,4000,85.36530906398548,None,None,85.36530906398548,None,1.52,10,89.36660187999951,None,1,1,89.36660187999951,None,You did not lose $0.20!,0,5,8,0.48,40.0,0.2725227637565695,"[1, 1]",33.33333333333333,6,3,,,0.23629671600065194,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
Triangle,2000,0,10,10,10,,91.3053724099882,None,2000,93.31632400298258,None,None,93.31632400298258,None,1.52,11,95.32504267399781,None,None,0,95.32504267399781,None,You did not win or lose anything!,0,3,8,0.48,36.36363636363637,0.2725227637565695,"[1, 1]",33.33333333333333,6,3,,,,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
Triangle,3000,0,11,11,11,,97.26389121299144,None,3000,99.28338865799014,None,None,99.28338865799014,None,1.52,12,102.28416284298874,None,None,0,102.28416284298874,None,You did not win or lose anything!,0,3,8,0.48,33.33333333333333,0.2725227637565695,"[1, 1]",33.33333333333333,6,3,,,,034,Scanner,2,2019_Aug_27_0927,MID,3.1.5,23.992436719718384,
