Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,fixationResp.rt,feedback_resp.rt,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,66.43818449694663,None,2000,68.45555271394551,None,None,68.45555271394551,None,1.65,1,70.50703069899464,None,None,0,70.50703069899464,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,None,,,,,,035,Practice,2,2019_Sep_01_0953,MID,3.1.5,60.079801586616064,
LgReward,2000,0,1,1,1,,72.58903817099053,None,2000,74.60658591496758,None,1,74.60658591496758,None,1.65,2,76.65690894494765,None,None,0,76.65690894494765,None,You did not win $5.00!,0,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,1,0.36622042700182644,0.3232144660432823,0.016220427001826465,,,035,Practice,2,2019_Sep_01_0953,MID,3.1.5,60.079801586616064,
SmallPun,2000,0,2,2,2,,78.71118286397541,None,2000,80.74034459498944,None,None,80.74034459498944,None,1.65,3,82.77400171296904,None,None,0,82.77400171296904,None,You lost $0.20!,-0.2,5,3,0.42,0.0,nan,[],0.0,3,3,None,0.36622042700182644,,,Adjusting RT...,,035,Practice,2,2019_Sep_01_0953,MID,3.1.5,60.079801586616064,
LgPun,2000,0,3,3,3,,84.81135767296655,None,2000,86.84168922394747,None,None,86.84168922394747,None,1.58,4,88.87463392299833,None,1,1,88.87463392299833,None,You did not lose $5.00!,-0.2,4,4,0.42,25.0,0.2561693209572695,[1],0.0,3,3,None,0.2561693209572695,,,,0.2561693209572695,035,Practice,2,2019_Sep_01_0953,MID,3.1.5,60.079801586616064,
Triangle,2000,0,4,4,4,,90.91241130995331,None,2000,92.9426571209915,None,None,92.9426571209915,None,1.58,5,94.9752021219465,None,1,1,94.9752021219465,None,You did not win or lose anything!,-0.2,3,4,0.42,40.0,0.2748874874669127,[1],0.0,3,3,None,0.2936056539765559,,,,0.2936056539765559,035,Practice,2,2019_Sep_01_0953,MID,3.1.5,60.079801586616064,
LgReward,2000,0,5,5,5,,97.02562267699977,None,2000,99.05963929195423,None,None,99.05963929195423,None,1.58,6,101.10946812597103,None,1,1,101.10946812597103,None,You won $5.00!,4.8,1,5,0.42,50.0,0.2810361016502914,"[1, 1]",0.0,3,3,None,0.29333333001704887,,,,0.29333333001704887,035,Practice,2,2019_Sep_01_0953,MID,3.1.5,60.079801586616064,
SmallPun,2000,0,6,6,6,,103.14291302498896,None,2000,105.17708041297738,None,None,105.17708041297738,None,1.58,7,107.21022011496825,None,1,1,107.21022011496825,None,You did not lose $0.20!,4.8,5,6,0.44,57.14285714285714,0.2811425717372913,[],50.0,6,3,None,0.28146198199829087,,,Adjusting RT...,0.28146198199829087,035,Practice,2,2019_Sep_01_0953,MID,3.1.5,60.079801586616064,
SmallReward,2000,0,7,7,7,,109.26113264996093,None,2000,111.2945290869684,None,None,111.2945290869684,None,1.56,8,113.34448293998139,None,1,1,113.34448293998139,None,You won $0.20!,5.0,2,7,0.44,62.5,0.2911677521886304,[1],50.0,6,3,None,0.33126847399398685,,,,0.33126847399398685,035,Practice,2,2019_Sep_01_0953,MID,3.1.5,60.079801586616064,
Triangle,2000,0,8,8,8,,115.38032313197618,None,2000,117.41211690899218,None,None,117.41211690899218,None,1.56,9,119.44543209299445,None,1,1,119.44543209299445,None,You did not win or lose anything!,5.0,3,7,0.44,66.66666666666666,0.29753532699154067,[1],50.0,6,3,None,0.32937320100609213,,,,0.32937320100609213,035,Practice,2,2019_Sep_01_0953,MID,3.1.5,60.079801586616064,
LgReward,2000,0,9,9,9,,121.49580221698852,None,2000,123.52961443795357,None,None,123.52961443795357,None,1.56,10,125.5799368499429,None,1,1,125.5799368499429,None,You won $5.00!,10.0,1,8,0.44,70.0,0.2997195529917787,"[1, 1]",50.0,6,3,None,0.3128249089932069,,,,0.3128249089932069,035,Practice,2,2019_Sep_01_0953,MID,3.1.5,60.079801586616064,
