Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,fixationResp.rt,AdjRTmsg,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,1500,0,0,0,0,TimeVersion1.csv,37.61714047298301,None,1500,39.635268778016325,None,None,39.635268778016325,None,1.66,1,41.18459902598988,None,1,1,0.2396171319996938,41.18459902598988,None,You won $5.00!,5,1,1,0.34,100.0,0.2396171319996938,[1],0,0,3,None,0.2396171319996938,,,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
Triangle,3500,0,1,1,1,,43.23909214598825,None,3500,45.26980900601484,None,1,45.26980900601484,None,1.66,2,48.80554414802464,None,None,0,,48.80554414802464,None,You did not win or lose anything!,5,3,1,0.34,50.0,0.2396171319996938,[1],0,0,3,None,0.2396171319996938,0.30443778401240706,,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
LgPun,1500,0,2,2,2,,50.86884260899387,None,1500,52.9041343589779,None,None,52.9041343589779,None,1.66,3,54.43629582802532,None,1,1,0.2629609680152498,54.43629582802532,None,You did not lose $5.00!,5,4,2,0.34,66.66666666666666,0.2512890500074718,"[1, 1]",0,0,3,None,0.2629609680152498,,,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
SmallReward,3500,0,3,3,3,,56.486676967993844,None,3500,58.504083863983396,None,None,58.504083863983396,None,1.66,4,62.053761021001264,None,1,1,0.25537807203363627,62.053761021001264,None,You won $0.20!,5.2,2,3,0.29000000000000004,75.0,0.2526520573495266,[],100.0,3,3,None,0.25537807203363627,,Adjusting RT...,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
LgReward,1500,0,4,4,4,,64.10428980801953,None,1500,66.13833262497792,None,None,66.13833262497792,None,1.71,5,67.6880840450176,None,None,0,,67.6880840450176,None,You did not win $5.00!,5.2,1,4,0.29000000000000004,60.0,0.2526520573495266,[0],100.0,3,3,None,0.25537807203363627,,,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
LgPun,2500,0,5,5,5,,69.72479904501233,None,2500,71.75559837301262,None,None,71.75559837301262,None,1.71,6,74.28870311501669,None,None,0,,74.28870311501669,None,You lost $5.00!,0.20000000000000018,4,5,0.29000000000000004,50.0,0.2526520573495266,"[0, 0]",100.0,3,3,None,0.25537807203363627,,,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
LgReward,3500,0,6,6,6,,76.33892313000979,None,3500,78.37393363402225,None,None,78.37393363402225,None,1.71,7,81.92354650300695,None,None,0,,81.92354650300695,None,You did not win $5.00!,0.20000000000000018,1,6,0.31000000000000005,42.857142857142854,0.2526520573495266,[],50.0,6,3,None,0.25537807203363627,,Adjusting RT...,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
LgPun,2000,0,7,7,7,,83.9583016189863,None,2000,85.99177166901063,None,None,85.99177166901063,None,1.69,8,88.02439292002236,None,1,1,0.24772231304086745,88.02439292002236,None,You did not lose $5.00!,0.20000000000000018,4,7,0.31000000000000005,50.0,0.25141962127236184,[1],50.0,6,3,None,0.24772231304086745,,,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
Triangle,1500,0,8,8,8,,90.07525127899135,None,1500,92.10838150698692,None,None,92.10838150698692,None,1.69,9,93.64231613301672,None,1,1,0.2699793510255404,93.64231613301672,None,You did not win or lose anything!,0.20000000000000018,3,7,0.31000000000000005,55.55555555555556,0.25513156722299757,[1],50.0,6,3,None,0.2699793510255404,,,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
SmallPun,4000,0,9,9,9,,95.69261100201402,None,4000,97.72618316998705,None,None,97.72618316998705,None,1.69,10,101.75953551800922,None,1,1,0.24572679901029915,101.75953551800922,None,You did not lose $0.20!,0.20000000000000018,5,8,0.31000000000000005,60.0,0.25356410585421446,"[1, 1]",50.0,6,3,None,0.24572679901029915,,,,035,Scanner,2,2019_Sep_01_1003,MID,3.1.5,60.114669822777586,
