Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,probeResp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,59.600139036017936,None,2000,61.60846432801918,None,None,61.60846432801918,None,1.65,1,63.62552438300918,None,None,0,63.62552438300918,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,,,,036,Practice,2,2019_Aug_25_0948,MID,3.1.5,24.042883405942746,
LgReward,2000,0,1,1,1,,65.54783201700775,None,2000,67.55918877900694,None,None,67.55918877900694,None,1.65,2,69.58003665300203,None,None,0,69.58003665300203,None,You did not win $5.00!,0,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,,,,036,Practice,2,2019_Aug_25_0948,MID,3.1.5,24.042883405942746,
SmallPun,2000,0,2,2,2,,71.50482661600108,None,2000,73.51046477700584,None,None,73.51046477700584,None,1.65,3,75.52755668401369,None,None,0,75.52755668401369,None,You lost $0.20!,-0.2,5,3,0.42,0.0,nan,[],0.0,3,3,Adjusting RT...,,,036,Practice,2,2019_Aug_25_0948,MID,3.1.5,24.042883405942746,
LgPun,2000,0,3,3,3,,77.46304041400435,None,2000,79.4772871400055,None,None,79.4772871400055,None,1.58,4,81.48085778200766,None,1,1,81.48085778200766,None,You did not lose $5.00!,-0.2,4,4,0.42,25.0,0.29079305299092084,[1],0.0,3,3,,0.29079305299092084,,036,Practice,2,2019_Aug_25_0948,MID,3.1.5,24.042883405942746,
Triangle,2000,0,4,4,4,,83.46316480301903,None,2000,85.47850462401402,None,None,85.47850462401402,None,1.58,5,87.48510265600635,None,None,0,87.48510265600635,None,You did not win or lose anything!,-0.2,3,4,0.42,20.0,0.29079305299092084,[1],0.0,3,3,,,,036,Practice,2,2019_Aug_25_0948,MID,3.1.5,24.042883405942746,
LgReward,2000,0,5,5,5,,89.46371864000685,None,2000,91.47920076100854,None,None,91.47920076100854,None,1.58,6,93.49617032401147,None,None,0,93.49617032401147,None,You did not win $5.00!,-0.2,1,5,0.42,16.666666666666664,0.29079305299092084,"[1, 0]",0.0,3,3,,,,036,Practice,2,2019_Aug_25_0948,MID,3.1.5,24.042883405942746,
SmallPun,2000,0,6,6,6,,95.46354961500037,None,2000,97.47994701302378,None,None,97.47994701302378,None,1.58,7,99.48124169500079,None,None,0,99.48124169500079,None,You lost $0.20!,-0.4,5,6,0.47,14.285714285714285,0.29079305299092084,[],16.666666666666664,6,3,Adjusting RT...,,,036,Practice,2,2019_Aug_25_0948,MID,3.1.5,24.042883405942746,
SmallReward,2000,0,7,7,7,,101.46610556400265,None,2000,103.48040569000295,None,None,103.48040569000295,None,1.53,8,105.48797929700231,None,1,1,105.48797929700231,None,You won $0.20!,-0.2,2,7,0.47,25.0,0.29173299350077286,[1],16.666666666666664,6,3,,0.2926729340106249,,036,Practice,2,2019_Aug_25_0948,MID,3.1.5,24.042883405942746,
Triangle,2000,0,8,8,8,,107.4247045860102,None,2000,109.43133901400142,None,1,109.43133901400142,None,1.53,9,111.44814296401455,None,None,0,111.44814296401455,None,You did not win or lose anything!,-0.2,3,7,0.47,22.22222222222222,0.29173299350077286,[1],16.666666666666664,6,3,,,1.857338442991022,036,Practice,2,2019_Aug_25_0948,MID,3.1.5,24.042883405942746,
LgReward,2000,0,9,9,9,,113.38042944599874,None,2000,115.39847888701479,None,None,115.39847888701479,None,1.53,10,117.41528527799528,None,1,1,117.41528527799528,None,You won $5.00!,4.8,1,8,0.47,30.0,0.2839414916622142,"[1, 1]",16.666666666666664,6,3,,0.26835848798509687,,036,Practice,2,2019_Aug_25_0948,MID,3.1.5,24.042883405942746,
LgPun,2000,0,10,10,10,,119.38189039201825,None,2000,121.39957259199582,None,None,121.39957259199582,None,1.53,11,123.40042886600713,None,1,1,123.40042886600713,None,You did not lose $5.00!,4.8,4,9,0.44999999999999996,36.36363636363637,0.28626389824057696,[],66.66666666666666,9,3,Adjusting RT...,0.29323111797566526,,036,Practice,2,2019_Aug_25_0948,MID,3.1.5,24.042883405942746,
SmallPun,2000,0,11,11,11,,125.38215476600453,None,2000,127.4000658680161,None,None,127.4000658680161,None,1.55,12,129.40086411702214,None,1,1,129.40086411702214,None,You did not lose $0.20!,4.8,5,10,0.44999999999999996,41.66666666666667,0.2877684235922061,[1],66.66666666666666,9,3,,0.2937865249987226,,036,Practice,2,2019_Aug_25_0948,MID,3.1.5,24.042883405942746,
SmallReward,2000,0,12,12,12,,131.38225482200505,None,2000,133.4006804090168,None,None,133.4006804090168,None,1.55,13,135.42030890201568,None,1,1,135.42030890201568,None,You won $0.20!,5.0,2,11,0.44999999999999996,46.15384615384615,0.29250885482664063,"[1, 1]",66.66666666666666,9,3,,0.31621101099881344,,036,Practice,2,2019_Aug_25_0948,MID,3.1.5,24.042883405942746,
LgPun,2000,0,13,13,13,,137.38284484200994,None,2000,139.40254387800815,None,None,139.40254387800815,None,1.55,14,141.40238681001938,None,1,1,141.40238681001938,None,You did not lose $5.00!,5.0,4,12,0.39999999999999997,50.0,0.29333119713867617,[],100.0,12,3,Adjusting RT...,0.2982652510108892,,036,Practice,2,2019_Aug_25_0948,MID,3.1.5,24.042883405942746,
