Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.rt,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
Triangle,2000,0,0,0,0,TimeVersion9.csv,25.848460366018116,None,2000,27.85615029602195,None,1,0.3980344539741054,27.85615029602195,None,1.6,1,29.876254891016288,None,None,0,29.876254891016288,None,You did not win or lose anything!,0,3,0,0.39999999999999997,0.0,nan,[],0,0,3,,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
Triangle,1500,0,1,1,1,,31.807052435993683,None,1500,33.822431225009495,None,None,,33.822431225009495,None,1.6,2,35.322230474004755,None,None,0,35.322230474004755,None,You did not win or lose anything!,0,3,0,0.39999999999999997,0.0,nan,[],0,0,3,,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
LgPun,2500,0,2,2,2,,37.26550762000261,None,2500,39.27573889301857,None,None,,39.27573889301857,None,1.6,3,41.791503408021526,None,None,0,41.791503408021526,None,You lost $5.00!,-5,4,1,0.39999999999999997,0.0,nan,[0],0,0,3,,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
Triangle,1500,0,3,3,3,,43.723886020015925,None,1500,45.74200339100207,None,None,,45.74200339100207,None,1.6,4,47.24399562101462,None,None,0,47.24399562101462,None,You did not win or lose anything!,-5,3,1,0.39999999999999997,0.0,nan,[0],0,0,3,,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
LgReward,1500,0,4,4,4,,49.182549012009986,None,1500,51.192552282009274,None,None,,51.192552282009274,None,1.6,5,52.71077501200489,None,None,0,52.71077501200489,None,You did not win $5.00!,-5,1,2,0.39999999999999997,0.0,nan,"[0, 0]",0,0,3,,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
SmallPun,1500,0,5,5,5,,54.64139736801735,None,1500,56.66013835000922,None,None,,56.66013835000922,None,1.6,6,58.16016636401764,None,None,0,58.16016636401764,None,You lost $0.20!,-5.2,5,3,0.47,0.0,nan,[],0.0,3,3,Adjusting RT...,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
LgPun,4000,0,6,6,6,,60.09986670099897,None,4000,62.11118919000728,None,1,1.5750093969982117,62.11118919000728,None,1.53,7,66.11834067900782,None,None,0,66.11834067900782,None,You lost $5.00!,-10.2,4,4,0.47,0.0,nan,[0],0.0,3,3,,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
Triangle,3500,0,7,7,7,,68.09940985799767,None,3500,70.11185818901868,None,1,2.634451441001147,70.11185818901868,None,1.53,8,73.6198124079965,None,None,0,73.6198124079965,None,You did not win or lose anything!,-10.2,3,4,0.47,0.0,nan,[0],0.0,3,3,,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
SmallReward,2500,0,8,8,8,,75.59952032801812,None,2500,77.61261518599349,None,None,,77.61261518599349,None,1.53,9,80.13596298301127,None,1,1,80.13596298301127,None,You won $0.20!,-10.0,2,5,0.47,11.11111111111111,0.3183377489913255,"[0, 1]",0.0,3,3,,0.3183377489913255,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
LgPun,2000,0,9,9,9,,82.06114586102194,None,2000,84.06616085700807,None,None,,84.06616085700807,None,1.53,10,86.08042971999384,None,None,0,86.08042971999384,None,You lost $5.00!,-15.0,4,6,0.5,10.0,0.3183377489913255,[],16.666666666666664,6,3,Adjusting RT...,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
SmallPun,1500,0,10,10,10,,88.05977818599786,None,1500,90.06667556500179,None,None,,90.06667556500179,None,1.5,11,91.58171512599802,None,None,0,91.58171512599802,None,You lost $0.20!,-15.2,5,7,0.5,9.090909090909092,0.3183377489913255,[0],16.666666666666664,6,3,,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
SmallReward,3000,0,11,11,11,,93.55962315900251,None,3000,95.56758945502224,None,None,,95.56758945502224,None,1.5,12,98.59730338200461,None,1,1,98.59730338200461,None,You won $0.20!,-15.0,2,8,0.5,16.666666666666664,0.2971645559882745,"[0, 1]",16.666666666666664,6,3,,0.27599136298522353,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
