TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,run,trial_order
1,0,[],,037,2,11
1,1,0.2856741799914744,,037,2,11
2,0,[],,037,2,11
2,0,[],,037,2,11
1,0,[],,037,2,11
3,1,0.2834091469994746,,037,2,11
5,0,[],,037,2,11
4,1,0.3553882510168478,,037,2,11
1,0,[],,037,2,11
4,0,[],,037,2,11
3,1,0.34651354199741036,,037,2,11
5,1,0.35057397399214096,,037,2,11
5,0,[],,037,2,11
4,0,[],,037,2,11
2,0,[],,037,2,11
5,1,0.37618435101467185,,037,2,11
4,0,[],,037,2,11
1,1,0.3803290570212994,,037,2,11
3,0,[],,037,2,11
5,1,0.38771676798933186,,037,2,11
3,0,[],,037,2,11
2,0,[],,037,2,11
3,0,[],,037,2,11
2,1,0.3630340759991668,,037,2,11
1,0,[],,037,2,11
3,0,[],,037,2,11
2,0,[],,037,2,11
5,0,[],,037,2,11
5,0,[],,037,2,11
3,0,[],,037,2,11
2,0,[],,037,2,11
2,1,0.3621503009926528,,037,2,11
1,0,[],,037,2,11
1,1,0.35832522698910907,,037,2,11
5,0,[],,037,2,11
5,1,0.3777820579998661,,037,2,11
2,1,0.3742218670086004,,037,2,11
5,0,[],,037,2,11
4,0,[],,037,2,11
3,0,[],,037,2,11
3,0,[],,037,2,11
4,0,[],,037,2,11
4,1,0.3814915159891825,,037,2,11
3,1,0.35584613398532383,,037,2,11
2,0,[],,037,2,11
1,0,[],,037,2,11
1,0,[],,037,2,11
4,1,0.34232491700095125,,037,2,11
4,1,0.37484622301417403,,037,2,11
4,0,[],,037,2,11
