Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,fixationResp.rt,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,18.089325648004888,None,2000,20.101681970001664,None,None,20.101681970001664,None,1.65,1,22.12639415601734,None,None,0,22.12639415601734,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,,,,038,Practice,2,2019_Aug_25_1123,MID,3.1.5,23.946546460994256,
LgReward,2000,0,1,1,1,,24.045802588021616,None,2000,26.046261657000287,None,None,26.046261657000287,None,1.65,2,28.071741590014426,None,None,0,28.071741590014426,None,You did not win $5.00!,0,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,,,,038,Practice,2,2019_Aug_25_1123,MID,3.1.5,23.946546460994256,
SmallPun,2000,0,2,2,2,,30.00467565501458,None,2000,32.01809259102447,None,1,32.01809259102447,None,1.65,3,34.02255059100571,None,None,0,34.02255059100571,None,You lost $0.20!,-0.2,5,3,0.42,0.0,nan,[],0.0,3,3,0.3675673140096478,Adjusting RT...,,038,Practice,2,2019_Aug_25_1123,MID,3.1.5,23.946546460994256,
LgPun,2000,0,3,3,3,,35.96280847402522,None,2000,37.97238292201655,None,None,37.97238292201655,None,1.58,4,39.98693650701898,None,None,0,39.98693650701898,None,You lost $5.00!,-5.2,4,4,0.42,0.0,nan,[0],0.0,3,3,,,,038,Practice,2,2019_Aug_25_1123,MID,3.1.5,23.946546460994256,
Triangle,2000,0,4,4,4,,41.96334272401873,None,2000,43.97098593600094,None,None,43.97098593600094,None,1.58,5,45.98769478802569,None,None,0,45.98769478802569,None,You did not win or lose anything!,-5.2,3,4,0.42,0.0,nan,[0],0.0,3,3,,,,038,Practice,2,2019_Aug_25_1123,MID,3.1.5,23.946546460994256,
LgReward,2000,0,5,5,5,,47.96365155902458,None,2000,49.971884814003715,None,1,49.971884814003715,None,1.58,6,51.99688682102715,None,None,0,51.99688682102715,None,You did not win $5.00!,-5.2,1,5,0.42,0.0,nan,"[0, 0]",0.0,3,3,0.34969083897885866,,,038,Practice,2,2019_Aug_25_1123,MID,3.1.5,23.946546460994256,
SmallPun,2000,0,6,6,6,,53.96448269300163,None,2000,55.972486291022506,None,None,55.972486291022506,None,1.58,7,57.98859975801315,None,None,0,57.98859975801315,None,You lost $0.20!,-5.4,5,6,0.49,0.0,nan,[],0.0,6,3,,Adjusting RT...,,038,Practice,2,2019_Aug_25_1123,MID,3.1.5,23.946546460994256,
SmallReward,2000,0,7,7,7,,59.96830659400439,None,2000,61.973684488009894,None,None,61.973684488009894,None,1.51,8,64.00597502401797,None,1,1,64.00597502401797,None,You won $0.20!,-5.2,2,7,0.49,12.5,0.33968249399913475,[1],0.0,6,3,,,0.33968249399913475,038,Practice,2,2019_Aug_25_1123,MID,3.1.5,23.946546460994256,
Triangle,2000,0,8,8,8,,65.96466395302559,None,2000,67.97479846302303,None,None,67.97479846302303,None,1.51,9,69.99025452401838,None,1,1,69.99025452401838,None,You did not win or lose anything!,-5.2,3,7,0.49,22.22222222222222,0.34497778049262706,[1],0.0,6,3,,,0.3502730669861194,038,Practice,2,2019_Aug_25_1123,MID,3.1.5,23.946546460994256,
LgReward,2000,0,9,9,9,,71.96480071102269,None,2000,73.97512486000778,None,None,73.97512486000778,None,1.51,10,75.99513324702275,None,1,1,75.99513324702275,None,You won $5.00!,-0.20000000000000018,1,8,0.49,30.0,0.33916113766220707,"[1, 1]",0.0,6,3,,,0.32752785200136714,038,Practice,2,2019_Aug_25_1123,MID,3.1.5,23.946546460994256,
