Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,15.44746024000051,None,2000,17.447707147992332,None,None,17.447707147992332,None,1.65,1,19.46504878999258,None,1,1,0.24416999699315056,19.46504878999258,None,You won $0.20!,0.2,2,1,0.35,100.0,0.24416999699315056,[1],0,0,3,,039,Practice,2,2019_Aug_22_0848,MID,3.1.5,60.21207221667816,
LgReward,2000,0,1,1,1,,21.431477625999833,None,2000,23.449050433991943,None,None,23.449050433991943,None,1.65,2,25.465635230997577,None,None,0,,25.465635230997577,None,You did not win $5.00!,0.2,1,2,0.35,50.0,0.24416999699315056,"[1, 0]",0,0,3,,039,Practice,2,2019_Aug_22_0848,MID,3.1.5,60.21207221667816,
SmallPun,2000,0,2,2,2,,27.417893672987702,None,2000,29.450177562990575,None,None,29.450177562990575,None,1.65,3,31.45060527799069,None,1,1,0.25023018100182526,31.45060527799069,None,You did not lose $0.20!,0.2,5,3,0.32999999999999996,66.66666666666666,0.2472000889974879,[],66.66666666666666,3,3,Adjusting RT...,039,Practice,2,2019_Aug_22_0848,MID,3.1.5,60.21207221667816,
LgPun,2000,0,3,3,3,,33.41661416199349,None,2000,35.45020926199504,None,None,35.45020926199504,None,1.67,4,37.45113877298718,None,1,1,0.25265280599705875,37.45113877298718,None,You did not lose $5.00!,0.2,4,4,0.32999999999999996,75.0,0.24901766133067818,[1],66.66666666666666,3,3,,039,Practice,2,2019_Aug_22_0848,MID,3.1.5,60.21207221667816,
Triangle,2000,0,4,4,4,,39.41868245899968,None,2000,41.451363493993995,None,None,41.451363493993995,None,1.67,5,43.45153392798966,None,1,1,0.25685975400847383,43.45153392798966,None,You did not win or lose anything!,0.2,3,4,0.32999999999999996,80.0,0.2509781845001271,[1],66.66666666666666,3,3,,039,Practice,2,2019_Aug_22_0848,MID,3.1.5,60.21207221667816,
LgReward,2000,0,5,5,5,,45.435394072992494,None,2000,47.45208579199971,None,None,47.45208579199971,None,1.67,6,49.469305135993636,None,None,0,,49.469305135993636,None,You did not win $5.00!,0.2,1,5,0.32999999999999996,66.66666666666666,0.2509781845001271,"[1, 0]",66.66666666666666,3,3,,039,Practice,2,2019_Aug_22_0848,MID,3.1.5,60.21207221667816,
SmallPun,2000,0,6,6,6,,51.421190766996006,None,2000,53.4531216549949,None,None,53.4531216549949,None,1.67,7,55.45299083199643,None,1,1,0.25595488598628435,55.45299083199643,None,You did not lose $0.20!,0.2,5,6,0.30999999999999994,71.42857142857143,0.2519735247973586,[],66.66666666666666,6,3,Adjusting RT...,039,Practice,2,2019_Aug_22_0848,MID,3.1.5,60.21207221667816,
SmallReward,2000,0,7,7,7,,57.43666527098685,None,2000,59.45401436999964,None,None,59.45401436999964,None,1.69,8,61.470514121989254,None,None,0,,61.470514121989254,None,You did not win $0.20!,0.2,2,7,0.30999999999999994,62.5,0.2519735247973586,[0],66.66666666666666,6,3,,039,Practice,2,2019_Aug_22_0848,MID,3.1.5,60.21207221667816,
Triangle,2000,0,8,8,8,,63.4037568049971,None,2000,65.43789416499203,None,None,65.43789416499203,None,1.69,9,67.43822683699545,None,None,0,,67.43822683699545,None,You did not win or lose anything!,0.2,3,7,0.30999999999999994,55.55555555555556,0.2519735247973586,[0],66.66666666666666,6,3,,039,Practice,2,2019_Aug_22_0848,MID,3.1.5,60.21207221667816,
LgReward,2000,0,9,9,9,,69.40479832098936,None,2000,71.4213701869885,None,None,71.4213701869885,None,1.69,10,73.43855596099456,None,None,0,,73.43855596099456,None,You did not win $5.00!,0.2,1,8,0.30999999999999994,50.0,0.2519735247973586,"[0, 0]",66.66666666666666,6,3,,039,Practice,2,2019_Aug_22_0848,MID,3.1.5,60.21207221667816,
LgPun,2000,0,10,10,10,,75.37441994799883,None,2000,77.40603635799198,None,None,77.40603635799198,None,1.69,11,79.40619782298745,None,1,1,0.22004252299666405,79.40619782298745,None,You did not lose $5.00!,0.2,4,9,0.32999999999999996,54.54545454545454,0.24665169116390948,[],49.99999999999999,9,3,Adjusting RT...,039,Practice,2,2019_Aug_22_0848,MID,3.1.5,60.21207221667816,
SmallPun,2000,0,11,11,11,,81.35806583998783,None,2000,83.39024079499359,None,None,83.39024079499359,None,1.67,12,85.39090292599576,None,None,0,,85.39090292599576,None,You lost $0.20!,0.0,5,10,0.32999999999999996,50.0,0.24665169116390948,[0],49.99999999999999,9,3,,039,Practice,2,2019_Aug_22_0848,MID,3.1.5,60.21207221667816,
SmallReward,2000,0,12,12,12,,87.3736644199962,None,2000,89.39059024999733,None,None,89.39059024999733,None,1.67,13,91.40746864399989,None,None,0,,91.40746864399989,None,You did not win $0.20!,0.0,2,11,0.32999999999999996,46.15384615384615,0.24665169116390948,"[0, 0]",49.99999999999999,9,3,,039,Practice,2,2019_Aug_22_0848,MID,3.1.5,60.21207221667816,
LgPun,2000,0,13,13,13,,93.35717827398912,None,2000,95.391809585999,None,None,95.391809585999,None,1.67,14,97.39247445799992,None,1,1,0.23967706499388441,97.39247445799992,None,You did not lose $5.00!,0.0,4,12,0.36999999999999994,50.0,0.24565531599676302,[],33.33333333333333,12,3,Adjusting RT...,039,Practice,2,2019_Aug_22_0848,MID,3.1.5,60.21207221667816,
Triangle,2000,0,14,14,14,,99.36078022498987,None,2000,101.3924870849878,None,None,101.3924870849878,None,1.6300000000000001,15,103.39207535798778,None,1,1,0.24665906799782533,103.39207535798778,None,You did not win or lose anything!,0.0,3,12,0.36999999999999994,53.333333333333336,0.24578078499689582,[],33.33333333333333,12,3,,039,Practice,2,2019_Aug_22_0848,MID,3.1.5,60.21207221667816,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,039,Practice,2,2019_Aug_22_0848,MID,3.1.5,60.21207221667816,
