Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,1500,0,0,0,0,TimeVersion11.csv,37.008419286008575,None,1500,39.02722057100618,None,None,39.02722057100618,None,1.6300000000000001,1,40.53139636600099,None,None,0,40.53139636600099,None,You lost $0.20!,-0.2,5,1,0.36999999999999994,0.0,nan,[0],0,0,3,,,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
LgPun,1500,0,1,1,1,,42.50822338600119,None,1500,44.52840931600076,None,None,44.52840931600076,None,1.6300000000000001,2,46.02836140000727,None,None,0,46.02836140000727,None,You lost $5.00!,-5.2,4,2,0.36999999999999994,0.0,nan,"[0, 0]",0,0,3,,,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
Triangle,3500,0,2,2,2,,48.00826931500342,None,3500,50.015817865001736,None,None,50.015817865001736,None,1.6300000000000001,3,53.52967862600053,None,None,0,53.52967862600053,None,You did not win or lose anything!,-5.2,3,2,0.36999999999999994,0.0,nan,"[0, 0]",0,0,3,,,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
Triangle,1500,0,3,3,3,,55.50925519000157,None,1500,57.516977480001515,None,None,57.516977480001515,None,1.6300000000000001,4,59.02975677700306,None,None,0,59.02975677700306,None,You did not win or lose anything!,-5.2,3,2,0.36999999999999994,0.0,nan,"[0, 0]",0,0,3,,,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
LgReward,3500,0,4,4,4,,61.009167416006676,None,3500,63.03065663900634,None,None,63.03065663900634,None,1.6300000000000001,5,66.53843435599993,None,None,0,66.53843435599993,None,You did not win $5.00!,-5.2,1,3,0.43999999999999995,0.0,nan,[],0.0,3,3,Adjusting RT...,,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
SmallReward,3000,0,5,5,5,,68.50984123699891,None,3000,70.53169534899644,None,None,70.53169534899644,None,1.56,6,73.54707485000836,None,None,0,73.54707485000836,None,You did not win $0.20!,-5.2,2,4,0.43999999999999995,0.0,nan,[0],0.0,3,3,,,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
SmallPun,1500,0,6,6,6,,75.46827001600468,None,1500,77.48260286499863,None,None,77.48260286499863,None,1.56,7,78.98700651200488,None,None,0,78.98700651200488,None,You lost $0.20!,-5.4,5,5,0.43999999999999995,0.0,nan,"[0, 0]",0.0,3,3,,,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
SmallReward,1500,0,7,7,7,,80.92674969299696,None,1500,82.94932851899648,None,None,82.94932851899648,None,1.56,8,84.46657224099908,None,None,0,84.46657224099908,None,You did not win $0.20!,-5.4,2,6,0.5,0.0,nan,[],0.0,6,3,Adjusting RT...,,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
LgReward,3000,0,8,8,8,,86.38567289800267,None,3000,88.40057162400626,None,None,88.40057162400626,None,1.5,9,91.41721241200867,None,1,1,91.41721241200867,None,You won $5.00!,-0.40000000000000036,1,7,0.5,11.11111111111111,0.33765391301130876,[1],0.0,6,3,,0.33765391301130876,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
LgPun,1500,0,9,9,9,,93.3870138630009,None,1500,95.39164550400164,None,None,95.39164550400164,None,1.5,10,96.90362656900834,None,1,1,96.90362656900834,None,You did not lose $5.00!,-0.40000000000000036,4,8,0.5,20.0,0.34294795200548833,"[1, 1]",0.0,6,3,,0.3482419909996679,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
