TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,run,trial_order
5,0,[],,040,1,11
4,1,0.30884155099920463,,040,1,11
3,0,[],,040,1,11
3,0,[],,040,1,11
1,0,[],,040,1,11
2,0,[],,040,1,11
5,1,0.31741348101058975,,040,1,11
2,1,0.3007717399887042,,040,1,11
1,1,0.32225542500964366,,040,1,11
4,1,0.31292901799315587,,040,1,11
2,1,0.3132990659942152,,040,1,11
1,1,0.3063910149940057,,040,1,11
3,1,0.26893609399849083,,040,1,11
1,1,0.3065971509931842,,040,1,11
4,1,0.2837652690068353,,040,1,11
2,0,[],,040,1,11
1,1,0.2949816030013608,,040,1,11
5,1,0.3105728429945884,,040,1,11
4,0,[],,040,1,11
4,0,[],,040,1,11
2,0,[],,040,1,11
4,0,[],,040,1,11
3,0,[],,040,1,11
4,0,[],,040,1,11
4,1,0.30227376299444586,,040,1,11
5,1,0.32194743400032166,,040,1,11
4,1,0.3327595520095201,,040,1,11
1,1,0.3374437900056364,,040,1,11
3,0,[],,040,1,11
3,1,0.31682221801020205,,040,1,11
2,1,0.3273754059919156,,040,1,11
3,0,[],,040,1,11
2,1,0.3074545970011968,,040,1,11
3,0,[],,040,1,11
2,0,[],,040,1,11
5,0,[],,040,1,11
3,0,[],,040,1,11
5,0,[],,040,1,11
1,1,-0.009057969000423327,,040,1,11
1,0,[],,040,1,11
4,0,[],,040,1,11
5,1,0.2859146230039187,,040,1,11
1,1,0.28832376000355,,040,1,11
5,1,0.3123597449884983,,040,1,11
2,1,0.3085269200091716,,040,1,11
1,1,0.28304334000858944,,040,1,11
3,1,0.2780232929944759,,040,1,11
5,1,0.29908003799209837,,040,1,11
5,1,0.2950503190077143,,040,1,11
2,1,0.3043095040047774,,040,1,11
